cell_line	context_role	target_gene	n_cells_target	observed_shift_mean_abs	matched_null_shift_mean	noise_corrected_shift	equal_n_primary_shift	depmap_gene_dependency	corrected_shift_percentile	corrected_dependency_percentile	corrected_shift_band	corrected_dependency_band	endpoint_category	raw_category	category_changed_from_raw	source_file	source_data_row_1based
HCC1143	qualified_primary_context	ARID1A	195	0.0073327186787756999	0.0048052333428389004	0.0025274853359366998	0.0149698629334307	0.2654515287532237	0.79166666666666663	0.79166666666666663	high	high	endpoint_anchor	middle	True	docs/revision_delivery/Results/27_sampling_aware_endpoint_object.csv	1
HCC1143	qualified_primary_context	BMPR1A	93	0.0070281282052424001	0.0066565208193518997	0.00037160738589040002	0.013708179679071999	0.30713027036516499	0.1875	0.8125	low	high	dependency_excess	middle	True	docs/revision_delivery/Results/27_sampling_aware_endpoint_object.csv	2
HCC1143	qualified_primary_context	CDKN2A	169	0.0050523230156553998	0.0051075672526007003	-5.5244236945386361e-05	0.0137339112205155	6.1984898264650767e-05	0.041666666666666602	0.020833333333333301	low	low	low_information	middle	True	docs/revision_delivery/Results/27_sampling_aware_endpoint_object.csv	3
HCC1143	qualified_primary_context	COMMD6	324	0.0045342930040740996	0.0039866948278788001	0.00054759817619519997	0.014072970551924	0.13517562937302449	0.39583333333333331	0.625	middle	middle	middle	middle	False	docs/revision_delivery/Results/27_sampling_aware_endpoint_object.csv	4
HCC1143	qualified_primary_context	ENY2	161	0.010513743744466101	0.0052166660305483998	0.0052970777139176002	0.017643394216748501	0.14888115160238899	0.97916666666666663	0.6875	high	middle	middle	middle	False	docs/revision_delivery/Results/27_sampling_aware_endpoint_object.csv	5
HCC1143	qualified_primary_context	ERC1	412	0.0048784834929896997	0.0037057192444415001	0.0011727642485481	0.0140050132111776	0.030384021588629899	0.625	0.45833333333333331	middle	middle	middle	middle	False	docs/revision_delivery/Results/27_sampling_aware_endpoint_object.csv	6
HCC1143	qualified_primary_context	ETV3	187	0.0053871026377591003	0.0049046898578923	0.00048241277986670002	0.0136492645426465	0.14449885334935481	0.35416666666666669	0.66666666666666663	middle	middle	middle	middle	False	docs/revision_delivery/Results/27_sampling_aware_endpoint_object.csv	7
HCC1143	qualified_primary_context	GON4L	115	0.0076879048971421997	0.0060481406117831003	0.001639764285359	0.015054446126953201	0.14933632883283471	0.70833333333333337	0.70833333333333337	middle	middle	middle	middle	False	docs/revision_delivery/Results/27_sampling_aware_endpoint_object.csv	8
HCC1143	qualified_primary_context	HDGF	319	0.0039901671750222001	0.0039923992107600004	-2.2320357378358829e-06	0.0139084989174735	0.0196252078195258	0.083333333333333301	0.3125	low	middle	middle	middle	False	docs/revision_delivery/Results/27_sampling_aware_endpoint_object.csv	9
HCC1143	qualified_primary_context	HLX	213	0.0050212083343797002	0.0046405994340213003	0.00038060890035830001	0.013607011146368701	0.0236239287972883	0.20833333333333329	0.375	low	middle	middle	middle	False	docs/revision_delivery/Results/27_sampling_aware_endpoint_object.csv	10
HCC1143	qualified_primary_context	KLF3	223	0.0053919861225157004	0.0045723960104433999	0.00081959011207219997	0.0141017240814643	0.036938570377060498	0.5625	0.47916666666666669	middle	middle	middle	middle	False	docs/revision_delivery/Results/27_sampling_aware_endpoint_object.csv	11
HCC1143	qualified_primary_context	LAMTOR5	274	0.0093777769035242008	0.0042299068060673998	0.0051478700974567004	0.016763547024781899	0.1226400958971878	0.95833333333333337	0.58333333333333337	high	middle	middle	middle	False	docs/revision_delivery/Results/27_sampling_aware_endpoint_object.csv	12
HCC1143	qualified_primary_context	MAML3	341	0.0042930848646171998	0.0039057684681849001	0.00038731639643220002	0.0140282318980046	0.0050198572939971001	0.25	0.0625	low	low	low_information	low_information	False	docs/revision_delivery/Results/27_sampling_aware_endpoint_object.csv	13
