cell_line	context_role	entrant_id	entrant_kind	reference_type	reference_seed	full_endpoint_n_targets	contract_n_targets	endpoint_coverage_fraction	missing_endpoint_targets	contract_n_genes	endpoint_alignment_spearman	endpoint_alignment_ci_low	endpoint_alignment_ci_high	endpoint_alignment_status	endpoint_alignment_n	directional_recovery_median_signed_cosine	directional_recovery_ci_low	directional_recovery_ci_high	directional_recovery_n	anchor_separation_auc	anchor_separation_ci_low	anchor_separation_ci_high	anchor_n	low_information_n	target_identity_spearman	target_identity_label_permutation_pvalue	target_identity_status	target_identity_n_targets	target_identity_n_pairs	predicted_homogenization_uncentered	observed_homogenization_uncentered	excess_homogenization_uncentered	predicted_homogenization_uncentered_n	observed_homogenization_uncentered_n	predicted_homogenization_centered	observed_homogenization_centered	excess_homogenization_centered	predicted_homogenization_centered_n	observed_homogenization_centered_n	conventional_pearson_median	conventional_pearson_ci_low	conventional_pearson_ci_high	conventional_pearson_n	conventional_normalized_rmse_median	conventional_normalized_rmse_ci_low	conventional_normalized_rmse_ci_high	conventional_normalized_rmse_n	secondary_absolute_projection_median	secondary_absolute_projection_ci_low	secondary_absolute_projection_ci_high	secondary_absolute_projection_n	entrant_role	display_name	model_family	endpoint_alignment_label_permutation_pvalue	endpoint_alignment_permutation_qvalue_bh	target_identity_permutation_qvalue_bh	scored_target_held_out	training_seed	predicted_homogenization_uncentered_ci_low	predicted_homogenization_uncentered_ci_high	predicted_homogenization_uncentered_jackknife_status	observed_homogenization_uncentered_ci_low	observed_homogenization_uncentered_ci_high	observed_homogenization_uncentered_jackknife_status	excess_homogenization_uncentered_ci_low	excess_homogenization_uncentered_ci_high	excess_homogenization_uncentered_jackknife_status	predicted_homogenization_centered_ci_low	predicted_homogenization_centered_ci_high	predicted_homogenization_centered_jackknife_status	observed_homogenization_centered_ci_low	observed_homogenization_centered_ci_high	observed_homogenization_centered_jackknife_status	excess_homogenization_centered_ci_low	excess_homogenization_centered_ci_high	excess_homogenization_centered_jackknife_status	source_file	source_data_row_1based	context_order	model_order
HCC1143	qualified_primary_context	geneformer_hcc_formal_v1	formal			48	47	0.97916666666666663	SS18L2	47	0.14606221908706271	-0.17640512527440241	0.45481282517825661	estimated	47	0.1018667240083994	0.012885852542447999	0.20017292290725991	47	0.85416666666666663	0.60416666666666663	1	8	6	-0.029641253952538901	0.7094290570942906	estimated	47	1081	0.47775656436213909	0.0605282495699902	0.41722831479214889	47	47	0.0039246225213689003	0.036130035956706497	-0.032205413435337601	47	47	0.054817416654904402	-0.0065718716944593997	0.16083032014457871	47	1.0754171739727101	1.0170747332800505	1.1259698248659142	47	0.0244260759327618	0.0183681548839951	0.034412698721876599	47	formal	Geneformer kernel	Geneformer	0.32896710328967099	0.53830980538309803	0.79762023797620241			0.38575491577116228	0.56975821295311546	target_delete_one_jackknife	0.021331611724677499	0.099724887415302804	target_delete_one_jackknife	0.31427847289763172	0.52017815668666567	target_delete_one_jackknife	-0.0186111119976047	0.0264603570403425	target_delete_one_jackknife	0.00062296332272300005	0.071637108590689905	target_delete_one_jackknife	-0.074033023616862495	0.0096221967461872001	target_delete_one_jackknife	docs/revision_delivery/Results/01_formal_and_diagnostic_context_metrics.csv	4	0	0
HCC1143	qualified_primary_context	lm_g_geneformer_ridge_hcc_formal_v1	formal			48	47	0.97916666666666663	SS18L2	47	-0.0010408234139219999	-0.31452563768899622	0.30757142119740161	estimated	47	0.099858330220184394	0.035054955637603101	0.17424720505651159	47	0.35416666666666669	0.0625	0.66666666666666663	8	6	-0.018006050854306899	0.68763123687631234	estimated	47	1081	0.036795523810985602	0.0605282495699902	-0.023732725759004501	47	47	-0.012898532931013699	0.036130035956706497	-0.049028568887720198	47	47	0.085847256498540803	0.011839852897123301	0.15179525553541551	47	1.7856987571127376	1.4186873497048085	2.1366950940622345	47	0.097362181640045495	0.051492074114125201	0.11070982408501059	47	formal	Geneformer ridge	linear_embedding	0.99430056994300575	0.99430056994300597	0.79762023797620241			-0.0066563205541094999	0.080247368176080802	target_delete_one_jackknife	0.021331611724677499	0.099724887415302804	target_delete_one_jackknife	-0.078189514917777606	0.030724063399768499	target_delete_one_jackknife	-0.023167311431205099	-0.0026297544308222999	target_delete_one_jackknife	0.00062296332272300005	0.071637108590689905	target_delete_one_jackknife	-0.086448784206184098	-0.0116083535692563	target_delete_one_jackknife	docs/revision_delivery/Results/01_formal_and_diagnostic_context_metrics.csv	5	0	1
HCC1143	qualified_primary_context	lm_train_lowrank_hcc_formal_v1	formal			48	47	0.97916666666666663	SS18L2	47	0.1952122136333824	-0.093344418999319903	0.45598280219167719	estimated	47	0.00037696600442159998	-0.022239326963012999	0.1197545980905113	47	0.625	0.3125	0.95833333333333337	8	6	0.0281941444951152	0.1918808119188081	estimated	47	1081	0.032587441532425203	0.0605282495699902	-0.0279408080375649	47	47	-0.018810661674116401	0.036130035956706497	-0.054940697630823002	47	47	0.004775871929632	-0.027957819683023199	0.096236927176877193	47	1.9137659926429853	1.5438249725723323	2.6022980823566262	47	0.071543729765484898	0.044060123642604802	0.092332061428290493	47	formal	Linear low-rank	linear	0.18728127187281271	0.4213828617138286	0.57564243575642426			-0.0054482057894351997	0.070623088854285698	target_delete_one_jackknife	0.021331611724677499	0.099724887415302804	target_delete_one_jackknife	-0.086249567753976394	0.030367951678846501	target_delete_one_jackknife	-0.023206898300013899	-0.014414425048219	target_delete_one_jackknife	0.00062296332272300005	0.071637108590689905	target_delete_one_jackknife	-0.090173932956585295	-0.019707462305060701	target_delete_one_jackknife	docs/revision_delivery/Results/01_formal_and_diagnostic_context_metrics.csv	7	0	2
HCC1143	qualified_primary_context	scgpt_hcc_formal_v1	formal			48	47	0.97916666666666663	SS18L2	47	0.2626344414463338	-0.034469160333260897	0.52495498993402812	estimated	47	0.1595910513790243	0.0954998501056495	0.21676949454897851	47	0.58333333333333337	0.20833333333333329	0.89583333333333337	8	6	-0.0338890114335079	0.79762023797620241	estimated	47	1081	0.25356365363656957	0.0605282495699902	0.19303540406657929	47	47	0.046521141741883001	0.036130035956706497	0.010391105785176401	47	47	0.11619037522522679	0.057129604567105398	0.2252993937821105	47	1.1534134564503935	1.1011668597664677	1.183352857247624	47	0.048609185302640703	0.0338162944512439	0.066605535934557494	47	formal	scGPT kernel	scGPT	0.073892610738926098	0.2216778322167782	0.79762023797620241			0.20119376084977381	0.3059335464233654	target_delete_one_jackknife	0.021331611724677499	0.099724887415302804	target_delete_one_jackknife	0.1249927892127482	0.2610780189204106	target_delete_one_jackknife	0.0111820559030521	0.081860227580713804	target_delete_one_jackknife	0.00062296332272300005	0.071637108590689905	target_delete_one_jackknife	-0.037243823560290101	0.058026035130643	target_delete_one_jackknife	docs/revision_delivery/Results/01_formal_and_diagnostic_context_metrics.csv	10	0	3
HCC1143	qualified_primary_context	lm_g_scgpt_ridge_hcc_formal_v1	formal			48	47	0.97916666666666663	SS18L2	47	0.040245172004986403	-0.27784274460213498	0.35366568024999379	estimated	47	0.042998886974103701	-0.041803134268772399	0.1057298733049315	47	0.58333333333333337	0.2291666666666666	0.91666666666666663	8	6	0.0107242215994295	0.34556544345565438	estimated	47	1081	0.0272587066867515	0.0605282495699902	-0.033269542883238599	47	47	-0.018544231803275701	0.036130035956706497	-0.054674267759982298	47	47	0.027453791017057801	-0.074804003881256201	0.098729257063395803	47	2.328098930127477	2.031217174717856	2.8542557689923149	47	0.072961670997381406	0.056997727822447497	0.096410313128911698	47	formal	scGPT ridge	linear_embedding	0.78512148785121483	0.97730226977302281	0.77752224777522239			-0.012679582137783999	0.067196995511287105	target_delete_one_jackknife	0.021331611724677499	0.099724887415302804	target_delete_one_jackknife	-0.095210659443020304	0.028671573676543001	target_delete_one_jackknife	-0.021976939786124201	-0.0151115238204272	target_delete_one_jackknife	0.00062296332272300005	0.071637108590689905	target_delete_one_jackknife	-0.090217616499896194	-0.019130919020068301	target_delete_one_jackknife	docs/revision_delivery/Results/01_formal_and_diagnostic_context_metrics.csv	6	0	4
HCC1143	qualified_primary_context	cpa_v0.8.8	formal			48	47	0.97916666666666663	SS18L2	47	-0.1615589232499024	-0.4180724270644452	0.12473540461893499	estimated	47	0.097906344466677703	-0.0103470352456814	0.13067554581240851	47	0.54166666666666663	0.2291666666666666	0.83385416666665912	8	6	0.0061119841227771001	0.43065693430656932	estimated	47	1081	0.93874386091064221	0.0605282495699902	0.87821561134065207	47	47	-0.020744274957950101	0.036130035956706497	-0.056874310914656598	47	47	0.060329624865146703	-0.0147802634193097	0.10730274053331749	47	1.0517264653774263	1.0268453477532016	1.1007567546580894	47	0.015802540783342301	0.013835850249904399	0.017174737396377	47	formal	CPA	CPA	0.27247275272472748	0.5237476252374762	0.78418158184181574			0.91564653923687622	0.96184118258440821	target_delete_one_jackknife	0.021331611724677499	0.099724887415302804	target_delete_one_jackknife	0.83296552313409788	0.92346569954720603	target_delete_one_jackknife	-0.0260334746801874	-0.0154550752357127	target_delete_one_jackknife	0.00062296332272300005	0.071637108590689905	target_delete_one_jackknife	-0.092073978982926394	-0.021674642846386798	target_delete_one_jackknife	docs/revision_delivery/Results/01_formal_and_diagnostic_context_metrics.csv	2	0	5
HCC1143	qualified_primary_context	cellot_hcc_seed123_retrain_v1	formal			48	47	0.97916666666666663	SS18L2	47	0.48803053408345598	0.189054248604445	0.71752887791789577	estimated	47	0.1384657840067752	0.092696064387505703	0.1833934772633985	47	0.8125	0.54166666666666663	1	8	6	-0.0028502833440583	0.51414858514148587	estimated	47	1081	0.56655888338220406	0.0605282495699902	0.5060306338122138	47	47	-0.0060251124092239004	0.036130035956706497	-0.042155148365930498	47	47	0.1188964974818149	0.061694708458109697	0.19025051094490239	47	15.797246377432209	11.771028820685862	19.641488240465367	47	0.69871587950604919	0.54882748288678018	0.8870048163725458	47	formal	CellOT	CellOT	0.00069993000699929999	0.0031496850314968001	0.79762023797620241	False	123	0.53305003906941817	0.60006772769498995	target_delete_one_jackknife	0.021331611724677499	0.099724887415302804	target_delete_one_jackknife	0.45392173198173968	0.55813953564268792	target_delete_one_jackknife	-0.030888296247880101	0.018838071429432099	target_delete_one_jackknife	0.00062296332272300005	0.071637108590689905	target_delete_one_jackknife	-0.089393912850151594	0.0050836161182904998	target_delete_one_jackknife	docs/revision_delivery/Results/01_formal_and_diagnostic_context_metrics.csv	1	0	6
HCC1143	qualified_primary_context	gears_hcc_formal_v1	formal			48	47	0.97916666666666663	SS18L2	47	0.015727998254822202	-0.26482658926708358	0.29883103582292758	estimated	47	0.2077752686848556	0.17193930518524339	0.2738607377377234	47	0.375	0.083333333333333301	0.70833333333333337	8	6	0.0034259390670155002	0.43565643435656431	estimated	47	1081	0.4724202434574844	0.0605282495699902	0.4118919938874942	47	47	-0.00050980848609599998	0.036130035956706497	-0.036639844442802501	47	47	0.20654858104008361	0.15219842987487861	0.27605547234463362	47	1.6386190345487297	1.2493660278599443	2.0212304206945042	47	0.0923707019444861	0.062119310629716901	0.132949943436838	47	formal	GEARS	GEARS	0.91770822917708239	0.97730226977302281	0.78418158184181574			0.42578426668948172	0.51905622022548703	target_delete_one_jackknife	0.021331611724677499	0.099724887415302804	target_delete_one_jackknife	0.35351651002515988	0.47026747774982841	target_delete_one_jackknife	-0.0145159686171582	0.0134963516449662	target_delete_one_jackknife	0.00062296332272300005	0.071637108590689905	target_delete_one_jackknife	-0.072672113525490301	-0.00060757536011469995	target_delete_one_jackknife	docs/revision_delivery/Results/01_formal_and_diagnostic_context_metrics.csv	3	0	7
HCC1143	qualified_primary_context	scgen_hcc_formal_v1	formal			48	47	0.97916666666666663	SS18L2	47	0.52006476582305727	0.25696610363352568	0.72285434325783193	estimated	47	0.53554259255638592	0.33821218714082429	0.61639735143159269	47	0.875	0.5625	1	8	6	0.3272104246902518	9.9990000999900015e-05	estimated	47	1081	0.77896924715976679	0.0605282495699902	0.71844099758977653	47	47	0.078297561802656901	0.036130035956706497	0.042167525845950397	47	47	0.55375510365745428	0.40314237109590428	0.63062566365880746	47	1.859120079082673	1.3103627406870513	2.5589527806988892	47	0.32642792543400678	0.20567291719228381	0.4671881186938992	47	formal	scGen	scGen	9.9990000999900015e-05	0.00089991000899910004	0.00089991000899910004			0.72744282681926942	0.83049566750026371	target_delete_one_jackknife	0.021331611724677499	0.099724887415302804	target_delete_one_jackknife	0.66349842956212135	0.77338356561743127	target_delete_one_jackknife	0.0227739657758423	0.1338211578294716	target_delete_one_jackknife	0.00062296332272300005	0.071637108590689905	target_delete_one_jackknife	0.017173037206964999	0.067162014484935806	target_delete_one_jackknife	docs/revision_delivery/Results/01_formal_and_diagnostic_context_metrics.csv	9	0	8
HCC38	sensitivity_boundary_context	geneformer_hcc_formal_v1	formal			47	47	1		47	-0.1224595993689141	-0.37692805994290901	0.1425381756421083	estimated	47	0.1321248955352351	0.093061807094393406	0.2117718382533243	47	0.3571428571428571	0.071428571428571397	0.69047619047619047	7	6	0.085760856740780503	0.0488951104889511	estimated	47	1081	0.51468729986312312	0.057312556253560597	0.45737474360956248	47	47	0.0085994864880354002	0.022149926807736101	-0.0135504403197006	47	47	0.14220773270005721	0.086457534986118897	0.2078166698928845	47	1.0339432051088768	1.0062674368458242	1.0979452197865245	47	0.022208483761836199	0.017611601405777	0.025961227104905199	47	formal	Geneformer kernel	Geneformer	0.4148585141485851	0.62228777122287771	0.22002799720027991			0.42996328730690619	0.59941131241934031	target_delete_one_jackknife	0.0255548804635405	0.0890702320435805	target_delete_one_jackknife	0.37798149105690421	0.53676799616222104	target_delete_one_jackknife	-0.0107398310359003	0.027938804011971199	target_delete_one_jackknife	-0.0060058151622281999	0.050305668777700499	target_delete_one_jackknife	-0.048161031500548297	0.0210601508611469	target_delete_one_jackknife	docs/revision_delivery/Results/01_formal_and_diagnostic_context_metrics.csv	15	1	0
