cell_line	metric_i	metric_j	i	j	n_formal_outputs	source_spearman_rho	display_sign	spearman_rho	source_file	source_data_row_1based
HCC1143	endpoint_alignment_spearman	endpoint_alignment_spearman	0	0	9	1	1	1	docs/revision_delivery/Results/34_metric_correlation_summary.csv	1
HCC1143	endpoint_alignment_spearman	anchor_separation_auc	0	1	9	0.81172258649305129	1	0.81172258649305129	docs/revision_delivery/Results/34_metric_correlation_summary.csv	3
HCC1143	endpoint_alignment_spearman	directional_recovery_median_signed_cosine	0	2	9	0.45000000000000001	1	0.45000000000000001	docs/revision_delivery/Results/34_metric_correlation_summary.csv	2
HCC1143	endpoint_alignment_spearman	target_identity_spearman	0	3	9	0.1333333333333333	1	0.1333333333333333	docs/revision_delivery/Results/34_metric_correlation_summary.csv	4
HCC1143	endpoint_alignment_spearman	excess_homogenization_uncentered	0	4	9	-0.1166666666666666	-1	0.1166666666666666	docs/revision_delivery/Results/34_metric_correlation_summary.csv	5
HCC1143	anchor_separation_auc	endpoint_alignment_spearman	1	0	9	0.81172258649305129	1	0.81172258649305129	docs/revision_delivery/Results/34_metric_correlation_summary.csv	3
HCC1143	anchor_separation_auc	anchor_separation_auc	1	1	9	1	1	1	docs/revision_delivery/Results/34_metric_correlation_summary.csv	14
HCC1143	anchor_separation_auc	directional_recovery_median_signed_cosine	1	2	9	0.2259434003640452	1	0.2259434003640452	docs/revision_delivery/Results/34_metric_correlation_summary.csv	9
HCC1143	anchor_separation_auc	target_identity_spearman	1	3	9	0.25104822262671689	1	0.25104822262671689	docs/revision_delivery/Results/34_metric_correlation_summary.csv	15
HCC1143	anchor_separation_auc	excess_homogenization_uncentered	1	4	9	-0.30962614123961751	-1	0.30962614123961751	docs/revision_delivery/Results/34_metric_correlation_summary.csv	16
HCC1143	directional_recovery_median_signed_cosine	endpoint_alignment_spearman	2	0	9	0.45000000000000001	1	0.45000000000000001	docs/revision_delivery/Results/34_metric_correlation_summary.csv	2
HCC1143	directional_recovery_median_signed_cosine	anchor_separation_auc	2	1	9	0.2259434003640452	1	0.2259434003640452	docs/revision_delivery/Results/34_metric_correlation_summary.csv	9
HCC1143	directional_recovery_median_signed_cosine	directional_recovery_median_signed_cosine	2	2	9	1	1	1	docs/revision_delivery/Results/34_metric_correlation_summary.csv	8
HCC1143	directional_recovery_median_signed_cosine	target_identity_spearman	2	3	9	-0.18333333333333329	1	-0.18333333333333329	docs/revision_delivery/Results/34_metric_correlation_summary.csv	10
HCC1143	directional_recovery_median_signed_cosine	excess_homogenization_uncentered	2	4	9	-0.5	-1	0.5	docs/revision_delivery/Results/34_metric_correlation_summary.csv	11
HCC1143	target_identity_spearman	endpoint_alignment_spearman	3	0	9	0.1333333333333333	1	0.1333333333333333	docs/revision_delivery/Results/34_metric_correlation_summary.csv	4
HCC1143	target_identity_spearman	anchor_separation_auc	3	1	9	0.25104822262671689	1	0.25104822262671689	docs/revision_delivery/Results/34_metric_correlation_summary.csv	15
HCC1143	target_identity_spearman	directional_recovery_median_signed_cosine	3	2	9	-0.18333333333333329	1	-0.18333333333333329	docs/revision_delivery/Results/34_metric_correlation_summary.csv	10
HCC1143	target_identity_spearman	target_identity_spearman	3	3	9	1	1	1	docs/revision_delivery/Results/34_metric_correlation_summary.csv	19
HCC1143	target_identity_spearman	excess_homogenization_uncentered	3	4	9	-0.033333333333333298	-1	0.033333333333333298	docs/revision_delivery/Results/34_metric_correlation_summary.csv	20
HCC1143	excess_homogenization_uncentered	endpoint_alignment_spearman	4	0	9	-0.1166666666666666	-1	0.1166666666666666	docs/revision_delivery/Results/34_metric_correlation_summary.csv	5
HCC1143	excess_homogenization_uncentered	anchor_separation_auc	4	1	9	-0.30962614123961751	-1	0.30962614123961751	docs/revision_delivery/Results/34_metric_correlation_summary.csv	16
HCC1143	excess_homogenization_uncentered	directional_recovery_median_signed_cosine	4	2	9	-0.5	-1	0.5	docs/revision_delivery/Results/34_metric_correlation_summary.csv	11
HCC1143	excess_homogenization_uncentered	target_identity_spearman	4	3	9	-0.033333333333333298	-1	0.033333333333333298	docs/revision_delivery/Results/34_metric_correlation_summary.csv	20
HCC1143	excess_homogenization_uncentered	excess_homogenization_uncentered	4	4	9	1	1	1	docs/revision_delivery/Results/34_metric_correlation_summary.csv	23
HCC38	endpoint_alignment_spearman	endpoint_alignment_spearman	0	0	9	1	1	1	docs/revision_delivery/Results/34_metric_correlation_summary.csv	29
HCC38	endpoint_alignment_spearman	anchor_separation_auc	0	1	9	0.77313654227073647	1	0.77313654227073647	docs/revision_delivery/Results/34_metric_correlation_summary.csv	31
HCC38	endpoint_alignment_spearman	directional_recovery_median_signed_cosine	0	2	9	0.23333333333333331	1	0.23333333333333331	docs/revision_delivery/Results/34_metric_correlation_summary.csv	30
HCC38	endpoint_alignment_spearman	target_identity_spearman	0	3	9	-0.23333333333333331	1	-0.23333333333333331	docs/revision_delivery/Results/34_metric_correlation_summary.csv	32
HCC38	endpoint_alignment_spearman	excess_homogenization_uncentered	0	4	9	-0.1333333333333333	-1	0.1333333333333333	docs/revision_delivery/Results/34_metric_correlation_summary.csv	33
HCC38	anchor_separation_auc	endpoint_alignment_spearman	1	0	9	0.77313654227073647	1	0.77313654227073647	docs/revision_delivery/Results/34_metric_correlation_summary.csv	31
HCC38	anchor_separation_auc	anchor_separation_auc	1	1	9	1	1	1	docs/revision_delivery/Results/34_metric_correlation_summary.csv	42
HCC38	anchor_separation_auc	directional_recovery_median_signed_cosine	1	2	9	0.63867801318017359	1	0.63867801318017359	docs/revision_delivery/Results/34_metric_correlation_summary.csv	37
HCC38	anchor_separation_auc	target_identity_spearman	1	3	9	-0.042018290340800901	1	-0.042018290340800901	docs/revision_delivery/Results/34_metric_correlation_summary.csv	43
HCC38	anchor_separation_auc	excess_homogenization_uncentered	1	4	9	-0.49581582602145052	-1	0.49581582602145052	docs/revision_delivery/Results/34_metric_correlation_summary.csv	44
HCC38	directional_recovery_median_signed_cosine	endpoint_alignment_spearman	2	0	9	0.23333333333333331	1	0.23333333333333331	docs/revision_delivery/Results/34_metric_correlation_summary.csv	30
HCC38	directional_recovery_median_signed_cosine	anchor_separation_auc	2	1	9	0.63867801318017359	1	0.63867801318017359	docs/revision_delivery/Results/34_metric_correlation_summary.csv	37
HCC38	directional_recovery_median_signed_cosine	directional_recovery_median_signed_cosine	2	2	9	1	1	1	docs/revision_delivery/Results/34_metric_correlation_summary.csv	36
HCC38	directional_recovery_median_signed_cosine	target_identity_spearman	2	3	9	0.3833333333333333	1	0.3833333333333333	docs/revision_delivery/Results/34_metric_correlation_summary.csv	38
HCC38	directional_recovery_median_signed_cosine	excess_homogenization_uncentered	2	4	9	-0.96666666666666679	-1	0.96666666666666679	docs/revision_delivery/Results/34_metric_correlation_summary.csv	39
HCC38	target_identity_spearman	endpoint_alignment_spearman	3	0	9	-0.23333333333333331	1	-0.23333333333333331	docs/revision_delivery/Results/34_metric_correlation_summary.csv	32
HCC38	target_identity_spearman	anchor_separation_auc	3	1	9	-0.042018290340800901	1	-0.042018290340800901	docs/revision_delivery/Results/34_metric_correlation_summary.csv	43
HCC38	target_identity_spearman	directional_recovery_median_signed_cosine	3	2	9	0.3833333333333333	1	0.3833333333333333	docs/revision_delivery/Results/34_metric_correlation_summary.csv	38
HCC38	target_identity_spearman	target_identity_spearman	3	3	9	1	1	1	docs/revision_delivery/Results/34_metric_correlation_summary.csv	47
HCC38	target_identity_spearman	excess_homogenization_uncentered	3	4	9	-0.29999999999999999	-1	0.29999999999999999	docs/revision_delivery/Results/34_metric_correlation_summary.csv	48
HCC38	excess_homogenization_uncentered	endpoint_alignment_spearman	4	0	9	-0.1333333333333333	-1	0.1333333333333333	docs/revision_delivery/Results/34_metric_correlation_summary.csv	33
HCC38	excess_homogenization_uncentered	anchor_separation_auc	4	1	9	-0.49581582602145052	-1	0.49581582602145052	docs/revision_delivery/Results/34_metric_correlation_summary.csv	44
HCC38	excess_homogenization_uncentered	directional_recovery_median_signed_cosine	4	2	9	-0.96666666666666679	-1	0.96666666666666679	docs/revision_delivery/Results/34_metric_correlation_summary.csv	39
HCC38	excess_homogenization_uncentered	target_identity_spearman	4	3	9	-0.29999999999999999	-1	0.29999999999999999	docs/revision_delivery/Results/34_metric_correlation_summary.csv	48
HCC38	excess_homogenization_uncentered	excess_homogenization_uncentered	4	4	9	1	1	1	docs/revision_delivery/Results/34_metric_correlation_summary.csv	51
