scope	cell_line	entrant_id	display_name	low_quantile	high_quantile	full_endpoint_anchor_n	full_low_information_n	scored_anchor_n	scored_low_information_n	anchor_auc	estimable	source_file	source_data_row_1based
primary_hcc	HCC1143	cellot_hcc_seed123_retrain_v1	CellOT	0.10000000000000001	0.90000000000000002	1	1	0	1		False	docs/revision_delivery/Results/05_cutoff_grid_scores.csv	1
primary_hcc	HCC1143	cpa_v0.8.8	CPA	0.10000000000000001	0.90000000000000002	1	1	0	1		False	docs/revision_delivery/Results/05_cutoff_grid_scores.csv	2
primary_hcc	HCC1143	gears_hcc_formal_v1	GEARS	0.10000000000000001	0.90000000000000002	1	1	0	1		False	docs/revision_delivery/Results/05_cutoff_grid_scores.csv	3
primary_hcc	HCC1143	geneformer_hcc_formal_v1	Geneformer kernel	0.10000000000000001	0.90000000000000002	1	1	0	1		False	docs/revision_delivery/Results/05_cutoff_grid_scores.csv	4
primary_hcc	HCC1143	lm_g_geneformer_ridge_hcc_formal_v1	Geneformer ridge	0.10000000000000001	0.90000000000000002	1	1	0	1		False	docs/revision_delivery/Results/05_cutoff_grid_scores.csv	5
primary_hcc	HCC1143	lm_g_scgpt_ridge_hcc_formal_v1	scGPT ridge	0.10000000000000001	0.90000000000000002	1	1	0	1		False	docs/revision_delivery/Results/05_cutoff_grid_scores.csv	6
primary_hcc	HCC1143	lm_train_lowrank_hcc_formal_v1	Linear low-rank	0.10000000000000001	0.90000000000000002	1	1	0	1		False	docs/revision_delivery/Results/05_cutoff_grid_scores.csv	7
primary_hcc	HCC1143	scgen_hcc_formal_v1	scGen	0.10000000000000001	0.90000000000000002	1	1	0	1		False	docs/revision_delivery/Results/05_cutoff_grid_scores.csv	8
primary_hcc	HCC1143	scgpt_hcc_formal_v1	scGPT kernel	0.10000000000000001	0.90000000000000002	1	1	0	1		False	docs/revision_delivery/Results/05_cutoff_grid_scores.csv	9
primary_hcc	HCC1143	cellot_hcc_seed123_retrain_v1	CellOT	0.14999999999999999	0.84999999999999998	3	1	2	1		False	docs/revision_delivery/Results/05_cutoff_grid_scores.csv	10
primary_hcc	HCC1143	cpa_v0.8.8	CPA	0.14999999999999999	0.84999999999999998	3	1	2	1		False	docs/revision_delivery/Results/05_cutoff_grid_scores.csv	11
primary_hcc	HCC1143	gears_hcc_formal_v1	GEARS	0.14999999999999999	0.84999999999999998	3	1	2	1		False	docs/revision_delivery/Results/05_cutoff_grid_scores.csv	12
primary_hcc	HCC1143	geneformer_hcc_formal_v1	Geneformer kernel	0.14999999999999999	0.84999999999999998	3	1	2	1		False	docs/revision_delivery/Results/05_cutoff_grid_scores.csv	13
primary_hcc	HCC1143	lm_g_geneformer_ridge_hcc_formal_v1	Geneformer ridge	0.14999999999999999	0.84999999999999998	3	1	2	1		False	docs/revision_delivery/Results/05_cutoff_grid_scores.csv	14
primary_hcc	HCC1143	lm_g_scgpt_ridge_hcc_formal_v1	scGPT ridge	0.14999999999999999	0.84999999999999998	3	1	2	1		False	docs/revision_delivery/Results/05_cutoff_grid_scores.csv	15
primary_hcc	HCC1143	lm_train_lowrank_hcc_formal_v1	Linear low-rank	0.14999999999999999	0.84999999999999998	3	1	2	1		False	docs/revision_delivery/Results/05_cutoff_grid_scores.csv	16
primary_hcc	HCC1143	scgen_hcc_formal_v1	scGen	0.14999999999999999	0.84999999999999998	3	1	2	1		False	docs/revision_delivery/Results/05_cutoff_grid_scores.csv	17
primary_hcc	HCC1143	scgpt_hcc_formal_v1	scGPT kernel	0.14999999999999999	0.84999999999999998	3	1	2	1		False	docs/revision_delivery/Results/05_cutoff_grid_scores.csv	18
primary_hcc	HCC1143	cellot_hcc_seed123_retrain_v1	CellOT	0.20000000000000001	0.80000000000000004	6	3	5	3	0.8666666666666667	True	docs/revision_delivery/Results/05_cutoff_grid_scores.csv	19
primary_hcc	HCC1143	cpa_v0.8.8	CPA	0.20000000000000001	0.80000000000000004	6	3	5	3	0.40000000000000002	True	docs/revision_delivery/Results/05_cutoff_grid_scores.csv	20
primary_hcc	HCC1143	gears_hcc_formal_v1	GEARS	0.20000000000000001	0.80000000000000004	6	3	5	3	0.26666666666666661	True	docs/revision_delivery/Results/05_cutoff_grid_scores.csv	21
primary_hcc	HCC1143	geneformer_hcc_formal_v1	Geneformer kernel	0.20000000000000001	0.80000000000000004	6	3	5	3	0.80000000000000004	True	docs/revision_delivery/Results/05_cutoff_grid_scores.csv	22
primary_hcc	HCC1143	lm_g_geneformer_ridge_hcc_formal_v1	Geneformer ridge	0.20000000000000001	0.80000000000000004	6	3	5	3	0.20000000000000001	True	docs/revision_delivery/Results/05_cutoff_grid_scores.csv	23
primary_hcc	HCC1143	lm_g_scgpt_ridge_hcc_formal_v1	scGPT ridge	0.20000000000000001	0.80000000000000004	6	3	5	3	0.33333333333333331	True	docs/revision_delivery/Results/05_cutoff_grid_scores.csv	24
primary_hcc	HCC1143	lm_train_lowrank_hcc_formal_v1	Linear low-rank	0.20000000000000001	0.80000000000000004	6	3	5	3	0.59999999999999998	True	docs/revision_delivery/Results/05_cutoff_grid_scores.csv	25
primary_hcc	HCC1143	scgen_hcc_formal_v1	scGen	0.20000000000000001	0.80000000000000004	6	3	5	3	0.80000000000000004	True	docs/revision_delivery/Results/05_cutoff_grid_scores.csv	26
