replicate	cell_line	truth_metric	depmap_endpoint	n_targets	spearman_rho_raw	spearman_rho_aligned	n_control_subsample
0	HCC38	real_shift_L2	depmap_gene_dependency	47	0.697927206790445	0.697927206790445	500
0	HCC38	real_shift_mean_abs	depmap_gene_dependency	47	0.7190887806190674	0.7190887806190674	500
0	HCC38	real_shift_top20_mean	depmap_gene_dependency	47	0.6532913188240608	0.6532913188240608	500
0	HCC38	real_shift_top50_mean	depmap_gene_dependency	47	0.6387210548764846	0.6387210548764846	500
0	HCC38	real_shift_top100_mean	depmap_gene_dependency	47	0.6406290656315243	0.6406290656315243	500
0	HCC38	real_shift_top50_concentration	depmap_gene_dependency	47	0.1983753000164043	0.1983753000164043	500
0	HCC38	real_Edistance	depmap_gene_dependency	47	0.6178485735865042	0.6178485735865042	500
0	HCC38	real_DEG_burden	depmap_gene_dependency	47	0.5681730927833132	0.5681730927833132	500
1	HCC38	real_shift_L2	depmap_gene_dependency	47	0.7154462146321734	0.7154462146321734	500
1	HCC38	real_shift_mean_abs	depmap_gene_dependency	47	0.7418692726640872	0.7418692726640872	500
1	HCC38	real_shift_top20_mean	depmap_gene_dependency	47	0.6406868841392527	0.6406868841392527	500
1	HCC38	real_shift_top50_mean	depmap_gene_dependency	47	0.6395883324924118	0.6395883324924118	500
1	HCC38	real_shift_top100_mean	depmap_gene_dependency	47	0.6393570584614978	0.6393570584614978	500
1	HCC38	real_shift_top50_concentration	depmap_gene_dependency	47	0.2368824261635699	0.2368824261635699	500
1	HCC38	real_Edistance	depmap_gene_dependency	47	0.6345003038123057	0.6345003038123057	500
1	HCC38	real_DEG_burden	depmap_gene_dependency	47	0.5542550827102504	0.5542550827102504	500
2	HCC38	real_shift_L2	depmap_gene_dependency	47	0.7076407160888288	0.7076407160888288	500
2	HCC38	real_shift_mean_abs	depmap_gene_dependency	47	0.7398456248935906	0.7398456248935906	500
2	HCC38	real_shift_top20_mean	depmap_gene_dependency	47	0.6332861151500078	0.6332861151500078	500
2	HCC38	real_shift_top50_mean	depmap_gene_dependency	47	0.6329392041036368	0.6329392041036368	500
2	HCC38	real_shift_top100_mean	depmap_gene_dependency	47	0.6376225032296434	0.6376225032296434	500
2	HCC38	real_shift_top50_concentration	depmap_gene_dependency	47	0.2704171606460865	0.2704171606460865	500
2	HCC38	real_Edistance	depmap_gene_dependency	47	0.6164609294010209	0.6164609294010209	500
2	HCC38	real_DEG_burden	depmap_gene_dependency	47	0.5987702251887189	0.5987702251887189	500
3	HCC38	real_shift_L2	depmap_gene_dependency	47	0.7030730539782793	0.7030730539782793	500
3	HCC38	real_shift_mean_abs	depmap_gene_dependency	47	0.7245237203455444	0.7245237203455444	500
3	HCC38	real_shift_top20_mean	depmap_gene_dependency	47	0.6384319623378422	0.6384319623378422	500
3	HCC38	real_shift_top50_mean	depmap_gene_dependency	47	0.6303373712558554	0.6303373712558554	500
3	HCC38	real_shift_top100_mean	depmap_gene_dependency	47	0.6413807062319944	0.6413807062319944	500
3	HCC38	real_shift_top50_concentration	depmap_gene_dependency	47	0.2387904369186096	0.2387904369186096	500
3	HCC38	real_Edistance	depmap_gene_dependency	47	0.6173282070169481	0.6173282070169481	500
3	HCC38	real_DEG_burden	depmap_gene_dependency	47	0.5211065241440976	0.5211065241440976	500
4	HCC38	real_shift_L2	depmap_gene_dependency	47	0.7038246945787495	0.7038246945787495	500
4	HCC38	real_shift_mean_abs	depmap_gene_dependency	47	0.7331964965048158	0.7331964965048158	500
4	HCC38	real_shift_top20_mean	depmap_gene_dependency	47	0.6403977916006103	0.6403977916006103	500
4	HCC38	real_shift_top50_mean	depmap_gene_dependency	47	0.6397617880155971	0.6397617880155971	500
4	HCC38	real_shift_top100_mean	depmap_gene_dependency	47	0.6420167098170078	0.6420167098170078	500
4	HCC38	real_shift_top50_concentration	depmap_gene_dependency	47	0.2430111879827884	0.2430111879827884	500
4	HCC38	real_Edistance	depmap_gene_dependency	47	0.6359457665055176	0.6359457665055176	500
4	HCC38	real_DEG_burden	depmap_gene_dependency	47	0.605831465065598	0.605831465065598	500
5	HCC38	real_shift_L2	depmap_gene_dependency	47	0.6939955482649084	0.6939955482649084	500
5	HCC38	real_shift_mean_abs	depmap_gene_dependency	47	0.7128443817843919	0.7128443817843919	500
5	HCC38	real_shift_top20_mean	depmap_gene_dependency	47	0.6328235670881799	0.6328235670881799	500
5	HCC38	real_shift_top50_mean	depmap_gene_dependency	47	0.6214911395733984	0.6214911395733984	500
5	HCC38	real_shift_top100_mean	depmap_gene_dependency	47	0.6217224136043122	0.6217224136043122	500
5	HCC38	real_shift_top50_concentration	depmap_gene_dependency	47	0.1983174815086758	0.1983174815086758	500
5	HCC38	real_Edistance	depmap_gene_dependency	47	0.6090601604117759	0.6090601604117759	500
5	HCC38	real_DEG_burden	depmap_gene_dependency	47	0.5266862977733007	0.5266862977733007	500
6	HCC38	real_shift_L2	depmap_gene_dependency	47	0.6874620568915905	0.6874620568915905	500
6	HCC38	real_shift_mean_abs	depmap_gene_dependency	47	0.7179324104644978	0.7179324104644978	500
6	HCC38	real_shift_top20_mean	depmap_gene_dependency	47	0.6463530978966435	0.6463530978966435	500
6	HCC38	real_shift_top50_mean	depmap_gene_dependency	47	0.6358301294900607	0.6358301294900607	500
6	HCC38	real_shift_top100_mean	depmap_gene_dependency	47	0.6417276172783654	0.6417276172783654	500
6	HCC38	real_shift_top50_concentration	depmap_gene_dependency	47	0.1890665202721195	0.1890665202721195	500
6	HCC38	real_Edistance	depmap_gene_dependency	47	0.6289497270703719	0.6289497270703719	500
6	HCC38	real_DEG_burden	depmap_gene_dependency	47	0.6893506596024999	0.6893506596024999	500
7	HCC38	real_shift_L2	depmap_gene_dependency	47	0.7052701572719614	0.7052701572719614	500
7	HCC38	real_shift_mean_abs	depmap_gene_dependency	47	0.7361452403989681	0.7361452403989681	500
7	HCC38	real_shift_top20_mean	depmap_gene_dependency	47	0.6185423956792461	0.6185423956792461	500
7	HCC38	real_shift_top50_mean	depmap_gene_dependency	47	0.6193518547874448	0.6193518547874448	500
7	HCC38	real_shift_top100_mean	depmap_gene_dependency	47	0.628718453039458	0.628718453039458	500
7	HCC38	real_shift_top50_concentration	depmap_gene_dependency	47	0.2604723773167885	0.2604723773167885	500
7	HCC38	real_Edistance	depmap_gene_dependency	47	0.6127605449063984	0.6127605449063984	500
7	HCC38	real_DEG_burden	depmap_gene_dependency	47	0.4944419047072625	0.4944419047072625	500
8	HCC38	real_shift_L2	depmap_gene_dependency	47	0.697695932759531	0.697695932759531	500
8	HCC38	real_shift_mean_abs	depmap_gene_dependency	47	0.7115723746143654	0.7115723746143654	500
8	HCC38	real_shift_top20_mean	depmap_gene_dependency	47	0.6131074559527693	0.6131074559527693	500
8	HCC38	real_shift_top50_mean	depmap_gene_dependency	47	0.6238038798825375	0.6238038798825375	500
8	HCC38	real_shift_top100_mean	depmap_gene_dependency	47	0.6240351539134514	0.6240351539134514	500
8	HCC38	real_shift_top50_concentration	depmap_gene_dependency	47	0.1573819780369141	0.1573819780369141	500
8	HCC38	real_Edistance	depmap_gene_dependency	47	0.5907316934618486	0.5907316934618486	500
8	HCC38	real_DEG_burden	depmap_gene_dependency	47	0.5664132917960705	0.5664132917960705	500
9	HCC38	real_shift_L2	depmap_gene_dependency	47	0.7108785525216237	0.7108785525216237	500
9	HCC38	real_shift_mean_abs	depmap_gene_dependency	47	0.7205342433122794	0.7205342433122794	500
9	HCC38	real_shift_top20_mean	depmap_gene_dependency	47	0.6417276172783654	0.6417276172783654	500
9	HCC38	real_shift_top50_mean	depmap_gene_dependency	47	0.6399930620465111	0.6399930620465111	500
9	HCC38	real_shift_top100_mean	depmap_gene_dependency	47	0.6477985605898554	0.6477985605898554	500
9	HCC38	real_shift_top50_concentration	depmap_gene_dependency	47	0.270474979153815	0.270474979153815	500
9	HCC38	real_Edistance	depmap_gene_dependency	47	0.6321875635031666	0.6321875635031666	500
9	HCC38	real_DEG_burden	depmap_gene_dependency	47	0.5945311369031193	0.5945311369031193	500
10	HCC38	real_shift_L2	depmap_gene_dependency	47	0.6837616723969681	0.6837616723969681	500
10	HCC38	real_shift_mean_abs	depmap_gene_dependency	47	0.7224422540673191	0.7224422540673191	500
10	HCC38	real_shift_top20_mean	depmap_gene_dependency	47	0.6074412421953785	0.6074412421953785	500
10	HCC38	real_shift_top50_mean	depmap_gene_dependency	47	0.6043768612857692	0.6043768612857692	500
10	HCC38	real_shift_top100_mean	depmap_gene_dependency	47	0.5931600707864447	0.5931600707864447	500
10	HCC38	real_shift_top50_concentration	depmap_gene_dependency	47	0.1508484866635963	0.1508484866635963	500
10	HCC38	real_Edistance	depmap_gene_dependency	47	0.6157092888005506	0.6157092888005506	500
10	HCC38	real_DEG_burden	depmap_gene_dependency	47	0.6159408936896722	0.6159408936896722	500
11	HCC38	real_shift_L2	depmap_gene_dependency	47	0.6924922670639682	0.6924922670639682	500
11	HCC38	real_shift_mean_abs	depmap_gene_dependency	47	0.7255644534846568	0.7255644534846568	500
11	HCC38	real_shift_top20_mean	depmap_gene_dependency	47	0.6372755921832726	0.6372755921832726	500
11	HCC38	real_shift_top50_mean	depmap_gene_dependency	47	0.6421901653401931	0.6421901653401931	500
11	HCC38	real_shift_top100_mean	depmap_gene_dependency	47	0.6447919981879746	0.6447919981879746	500
11	HCC38	real_shift_top50_concentration	depmap_gene_dependency	47	0.2693186089992455	0.2693186089992455	500
11	HCC38	real_Edistance	depmap_gene_dependency	47	0.6305108267790408	0.6305108267790408	500
11	HCC38	real_DEG_burden	depmap_gene_dependency	47	0.5930503115018279	0.5930503115018279	500
12	HCC38	real_shift_L2	depmap_gene_dependency	47	0.7056748868260608	0.7056748868260608	500
12	HCC38	real_shift_mean_abs	depmap_gene_dependency	47	0.7317510338116039	0.7317510338116039	500
12	HCC38	real_shift_top20_mean	depmap_gene_dependency	47	0.6490127492521535	0.6490127492521535	500
12	HCC38	real_shift_top50_mean	depmap_gene_dependency	47	0.6368708626291734	0.6368708626291734	500
12	HCC38	real_shift_top100_mean	depmap_gene_dependency	47	0.6421323468324648	0.6421323468324648	500
12	HCC38	real_shift_top50_concentration	depmap_gene_dependency	47	0.2565985372989806	0.2565985372989806	500
12	HCC38	real_Edistance	depmap_gene_dependency	47	0.6372177736755441	0.6372177736755441	500
12	HCC38	real_DEG_burden	depmap_gene_dependency	47	0.5624360944368545	0.5624360944368545	500
13	HCC38	real_shift_L2	depmap_gene_dependency	47	0.6906998933243853	0.6906998933243853	500
13	HCC38	real_shift_mean_abs	depmap_gene_dependency	47	0.7210546098818357	0.7210546098818357	500
13	HCC38	real_shift_top20_mean	depmap_gene_dependency	47	0.6145529186459812	0.6145529186459812	500
13	HCC38	real_shift_top50_mean	depmap_gene_dependency	47	0.6067474201026367	0.6067474201026367	500
13	HCC38	real_shift_top100_mean	depmap_gene_dependency	47	0.6119510857981997	0.6119510857981997	500
13	HCC38	real_shift_top50_concentration	depmap_gene_dependency	47	0.240409355135007	0.240409355135007	500
13	HCC38	real_Edistance	depmap_gene_dependency	47	0.5857593017971996	0.5857593017971996	500
13	HCC38	real_DEG_burden	depmap_gene_dependency	47	0.5230601215936158	0.5230601215936158	500
14	HCC38	real_shift_L2	depmap_gene_dependency	47	0.682663120750127	0.682663120750127	500
14	HCC38	real_shift_mean_abs	depmap_gene_dependency	47	0.6993726694836568	0.6993726694836568	500
14	HCC38	real_shift_top20_mean	depmap_gene_dependency	47	0.6092914344426897	0.6092914344426897	500
14	HCC38	real_shift_top50_mean	depmap_gene_dependency	47	0.6051285018862395	0.6051285018862395	500
14	HCC38	real_shift_top100_mean	depmap_gene_dependency	47	0.6081350642881203	0.6081350642881203	500
14	HCC38	real_shift_top50_concentration	depmap_gene_dependency	47	0.2220808881850798	0.2220808881850798	500
14	HCC38	real_Edistance	depmap_gene_dependency	47	0.5932757078019016	0.5932757078019016	500
14	HCC38	real_DEG_burden	depmap_gene_dependency	47	0.4949138309096919	0.4949138309096919	500
15	HCC38	real_shift_L2	depmap_gene_dependency	47	0.6979850252981733	0.6979850252981733	500
15	HCC38	real_shift_mean_abs	depmap_gene_dependency	47	0.7261426385619415	0.7261426385619415	500
15	HCC38	real_shift_top20_mean	depmap_gene_dependency	47	0.6464687349121004	0.6464687349121004	500
15	HCC38	real_shift_top50_mean	depmap_gene_dependency	47	0.6641611982770144	0.6641611982770144	500
15	HCC38	real_shift_top100_mean	depmap_gene_dependency	47	0.669943049049862	0.669943049049862	500
15	HCC38	real_shift_top50_concentration	depmap_gene_dependency	47	0.1955421931377089	0.1955421931377089	500
15	HCC38	real_Edistance	depmap_gene_dependency	47	0.613685641030054	0.613685641030054	500
15	HCC38	real_DEG_burden	depmap_gene_dependency	47	0.6544467821317785	0.6544467821317785	500
16	HCC38	real_shift_L2	depmap_gene_dependency	47	0.7129022002921205	0.7129022002921205	500
16	HCC38	real_shift_mean_abs	depmap_gene_dependency	47	0.740481628478604	0.740481628478604	500
16	HCC38	real_shift_top20_mean	depmap_gene_dependency	47	0.6388366918919414	0.6388366918919414	500
16	HCC38	real_shift_top50_mean	depmap_gene_dependency	47	0.6340377557504779	0.6340377557504779	500
16	HCC38	real_shift_top100_mean	depmap_gene_dependency	47	0.6408603396624383	0.6408603396624383	500
16	HCC38	real_shift_top50_concentration	depmap_gene_dependency	47	0.2443988321682719	0.2443988321682719	500
16	HCC38	real_Edistance	depmap_gene_dependency	47	0.6156514702928223	0.6156514702928223	500
16	HCC38	real_DEG_burden	depmap_gene_dependency	47	0.5344203936511799	0.5344203936511799	500
17	HCC38	real_shift_L2	depmap_gene_dependency	47	0.6933595446798954	0.6933595446798954	500
17	HCC38	real_shift_mean_abs	depmap_gene_dependency	47	0.7105316414752529	0.7105316414752529	500
17	HCC38	real_shift_top20_mean	depmap_gene_dependency	47	0.6371021366600872	0.6371021366600872	500
17	HCC38	real_shift_top50_mean	depmap_gene_dependency	47	0.622531872712511	0.622531872712511	500
17	HCC38	real_shift_top100_mean	depmap_gene_dependency	47	0.6284293605008155	0.6284293605008155	500
17	HCC38	real_shift_top50_concentration	depmap_gene_dependency	47	0.1964672892613645	0.1964672892613645	500
17	HCC38	real_Edistance	depmap_gene_dependency	47	0.6168656589551202	0.6168656589551202	500
17	HCC38	real_DEG_burden	depmap_gene_dependency	47	0.5532007185739993	0.5532007185739993	500
18	HCC38	real_shift_L2	depmap_gene_dependency	47	0.7015119542696104	0.7015119542696104	500
18	HCC38	real_shift_mean_abs	depmap_gene_dependency	47	0.7264895496083126	0.7264895496083126	500
18	HCC38	real_shift_top20_mean	depmap_gene_dependency	47	0.622416235697054	0.622416235697054	500
18	HCC38	real_shift_top50_mean	depmap_gene_dependency	47	0.6201613138956433	0.6201613138956433	500
18	HCC38	real_shift_top100_mean	depmap_gene_dependency	47	0.628602816024001	0.628602816024001	500
18	HCC38	real_shift_top50_concentration	depmap_gene_dependency	47	0.2313318494216361	0.2313318494216361	500
18	HCC38	real_Edistance	depmap_gene_dependency	47	0.6171547514937628	0.6171547514937628	500
18	HCC38	real_DEG_burden	depmap_gene_dependency	47	0.5286048350611067	0.5286048350611067	500
19	HCC38	real_shift_L2	depmap_gene_dependency	47	0.707409442057915	0.707409442057915	500
19	HCC38	real_shift_mean_abs	depmap_gene_dependency	47	0.7345841406902992	0.7345841406902992	500
19	HCC38	real_shift_top20_mean	depmap_gene_dependency	47	0.6352519444127759	0.6352519444127759	500
19	HCC38	real_shift_top50_mean	depmap_gene_dependency	47	0.6363504960596169	0.6363504960596169	500
19	HCC38	real_shift_top100_mean	depmap_gene_dependency	47	0.6368708626291734	0.6368708626291734	500
19	HCC38	real_shift_top50_concentration	depmap_gene_dependency	47	0.1895290683339473	0.1895290683339473	500
19	HCC38	real_Edistance	depmap_gene_dependency	47	0.6314359229026963	0.6314359229026963	500
19	HCC38	real_DEG_burden	depmap_gene_dependency	47	0.6131295350550416	0.6131295350550416	500
20	HCC38	real_shift_L2	depmap_gene_dependency	47	0.7008181321768687	0.7008181321768687	500
20	HCC38	real_shift_mean_abs	depmap_gene_dependency	47	0.7251597239305575	0.7251597239305575	500
20	HCC38	real_shift_top20_mean	depmap_gene_dependency	47	0.6177329365710473	0.6177329365710473	500
20	HCC38	real_shift_top50_mean	depmap_gene_dependency	47	0.6094648899658751	0.6094648899658751	500
20	HCC38	real_shift_top100_mean	depmap_gene_dependency	47	0.6172125700014911	0.6172125700014911	500
20	HCC38	real_shift_top50_concentration	depmap_gene_dependency	47	0.2247405395405898	0.2247405395405898	500
20	HCC38	real_Edistance	depmap_gene_dependency	47	0.6085397938422196	0.6085397938422196	500
20	HCC38	real_DEG_burden	depmap_gene_dependency	47	0.5489330933204027	0.5489330933204027	500
21	HCC38	real_shift_L2	depmap_gene_dependency	47	0.711167645060266	0.711167645060266	500
21	HCC38	real_shift_mean_abs	depmap_gene_dependency	47	0.7309993932111336	0.7309993932111336	500
21	HCC38	real_shift_top20_mean	depmap_gene_dependency	47	0.628834090054915	0.628834090054915	500
21	HCC38	real_shift_top50_mean	depmap_gene_dependency	47	0.6216067765888553	0.6216067765888553	500
21	HCC38	real_shift_top100_mean	depmap_gene_dependency	47	0.6289497270703719	0.6289497270703719	500
