cell_line	target_gene	n_cells_target	log_n_cells_target	depmap_gene_dependency	observed_shift_mean_abs	recomputed_shift_mean_abs	shift_recalculation_abs_error	real_shift_L2	real_shift_top20_mean	real_shift_top50_mean	real_shift_top100_mean	real_DEG_burden	median_raw_library_size	median_detected_gene_count	median_protospacer_umis	baseline_target_expression	perturbed_target_expression	rna_level_reduction_strength	target_expression_available	equal_n_primary_shift	matched_null_shift_mean	noise_corrected_shift
HCC38	ARID1A	365	5.899897353582492	0.0939245801107399	0.0085365617536346	0.0085365617536346	2.255140518769849e-17	4.5521106820450274	0.41084663373779	0.31870914363923	0.256314648404856	35.0	32026.0	6845.0	46.0	0.3453377932011671	0.2543086970963735	0.0910290961047935	True	0.0187305108965319	0.0042792754536844	0.0042572862999502
HCC38	BMPR1A	212	5.356586274672012	0.2329854350238944	0.0056197913890013	0.0056197913890013	5.984795992119983e-17	2.4112086854129164	0.1607056301105885	0.1198906234823434	0.0986097664209315	3.0	35682.0	7151.5	49.0	0.4919387716015872	0.485194685799392	0.0067440858021951	True	0.0158109493883429	0.0052794015726892	0.000340389816312
HCC38	CDKN2A	399	5.988961416889864	0.0034117871973033	0.0040551040534158	0.0040551040534158	3.4694469519536136e-17	1.6153802596872924	0.0705642285462587	0.0630156452727782	0.0564257139208651	0.0	37198.0	7295.0	65.0	0.0	0.0	0.0	True	0.0157968638185981	0.0041334527897679	-7.83487363521405e-05
HCC38	COMMD6	395	5.978885764901122	0.0087958879569685	0.0042202270388882	0.0042202270388882	4.336808689942018e-17	1.715292039582324	0.0912586486445996	0.0746733752831189	0.064967658368902	0.0	34429.0	7101.0	49.0	0.5569688420837176	0.3824899960290012	0.1744788460547163	True	0.0158610467523189	0.0041524125175712	6.78145213169612e-05
HCC38	ENY2	93	4.532599493153256	0.4895161201697765	0.0103397858020701	0.0103397858020701	6.591949208711867e-17	4.544919712264169	0.2917423714764887	0.2362799890211731	0.2003900068514441	14.0	37454.0	7274.0	49.0	1.3251324262636834	0.9496100394815022	0.3755223867821812	True	0.0174832487292563	0.0076455284916398	0.0026942573104302
HCC38	ERC1	433	6.07073772800249	0.0054295617631019	0.00417172244801	0.00417172244801	9.54097911787244e-18	1.7068626495623005	0.0939941271692788	0.0759905199899519	0.0646887614733722	0.0	35691.0	7113.0	75.0	1.1250777682034827	0.925711290172477	0.1993664780310057	True	0.0160564684202989	0.004017669305619	0.0001540531423909
HCC38	ETV3	244	5.497168225293202	0.0807914252803547	0.0051298888376656	0.0051298888376656	6.071532165918825e-17	2.131250251028423	0.1202520673834786	0.0976057317693104	0.0835667705967653	0.0	36738.5	7180.0	57.0	0.0997709770441688	0.1126830350289894	-0.0129120579848206	True	0.0156384888962326	0.004982591071783	0.0001472977658825
HCC38	GON4L	167	5.117993812416755	0.3129469325001975	0.0060144581054616	0.0060144581054616	4.163336342344337e-17	2.438389539750892	0.1312072613898295	0.1040296560141868	0.0898378970438039	1.0	37787.0	7413.0	52.0	0.5221827268180124	0.4143579131661185	0.1078248136518938	True	0.0159178293405656	0.005846513129882	0.0001679449755795
HCC38	HDGF	254	5.537334267018537	0.0286996254177853	0.0053940020400889	0.0053940020400889	8.760353553682876e-17	2.310398267970584	0.1533492306088471	0.1178306675327504	0.0978328739693608	1.0	34698.5	7083.0	48.5	1.2909423891193306	0.7719348816219834	0.5190075074973471	True	0.0161295046066455	0.0048945686495058	0.000499433390583
HCC38	HLX	289	5.666426688112432	0.006315463793662	0.0052991294769277	0.0052991294769277	8.413408858487513e-17	2.2837459862813443	0.1528302155414405	0.1231100955963321	0.100538112853386	0.0	34674.0	7132.0	49.0	0.0131048094326769	0.006370106916067	0.0067347025166098	True	0.0163687572433246	0.0046456460880187	0.0006534833889089
HCC38	KLF3	236	5.4638318050256105	0.1616884807733207	0.0054676604656395	0.0054676604656395	6.678685382510706e-17	2.319837106922052	0.1583479892177527	0.1242309120996855	0.1024132102228947	0.0	34516.5	7099.0	62.0	0.2120900876356372	0.2267965580115683	-0.014706470375931	True	0.0162768765202744	0.0050524726129868	0.0004151878526526
HCC38	LAMTOR5	157	5.056245805348308	0.0890975409858624	0.0106435490794122	0.0106435490794122	9.194034422677078e-17	5.5264970297394775	0.5011713827328982	0.3877554563730358	0.307837923945111	59.0	36425.0	7230.0	52.0	1.4994687109774216	0.7936987479602056	0.7057699630172161	True	0.0184613157123066	0.0060315700115976	0.0046119790678145
HCC38	MAML3	423	6.0473721790462776	0.009549016733777	0.0039010408237359	0.0039010408237359	7.155734338404328e-17	1.5384476186420233	0.0626874537424947	0.056597881160178	0.051537698287254	0.0	37500.0	7280.0	74.0	0.0199903809527318	0.0381132509437493	-0.0181228699910175	True	0.0157502305237748	0.0040598705917933	-0.0001588297680574
HCC38	MIER1	267	5.58724865840025	0.0068709338808792	0.0049938655360828	0.0049938655360828	7.63278329429795e-17	2.045207713573186	0.1101133047226791	0.0890285826337256	0.0762914107006821	0.0	36010.0	7062.0	70.0	0.5140016179980074	0.3512363583903707	0.1627652596076366	True	0.0157189403107321	0.0048050458977893	0.0001888196382934
HCC38	MTDH	282	5.641907070938114	0.0342163047187118	0.0056310162158605	0.0056310162158605	2.6020852139652106e-18	2.564566136296016	0.1834632984809108	0.1375150093016028	0.1116694997155183	1.0	33577.5	6997.5	60.0	2.1767164375021526	1.3112430135910065	0.8654734239111463	True	0.0168390239074519	0.0047152656860639	0.0009157505297965
HCC38	MYBL1	220	5.393627546352362	0.0145675964421822	0.0071407239504648	0.0071407239504648	9.714451465470121e-17	3.414490893578291	0.2715294700642121	0.2160393210971072	0.1770059801844841	12.0	39215.5	7380.5	70.0	0.6186016328585443	0.5425370207758815	0.0760646120826628	True	0.0161164751986796	0.005199614170322	0.0019411097801427
HCC38	NCOA1	389	5.963579343618446	0.0459486880054965	0.0043489041564256	0.0043489041564256	7.37257477290143e-17	1.803675839063153	0.1064235480969592	0.0854668305068864	0.0714710005187241	1.0	34257.0	7113.0	35.0	0.2794101748506761	0.2532203096473268	0.0261898652033492	True	0.0161017896806173	0.0041669167072387	0.0001819874491868
HCC38	NPM1	80	4.382026634673881	0.8555302996262993	0.0113723052385142	0.0113723052385142	3.9898639947466563e-17	5.049583398617561	0.3091787250623715	0.2438272070138093	0.2066476959138929	11.0	32908.5	7170.5	56.0	2.5542043616564376	1.5023607917525588	1.0518435699038788	True	0.018076447108605	0.0082000253546723	0.0031722798838418
HCC38	PA2G4	194	5.267858159063328	0.3764696904296344	0.0071702138866234	0.0071702138866234	7.28583859910259e-17	3.347055500027386	0.2482401442741427	0.1817246023014009	0.1494029151942502	5.0	34762.0	7082.0	53.0	1.71702164672781	0.8916140490020633	0.8254075977257468	True	0.0163397612934232	0.0054919873368793	0.001678226549744
HCC38	PARK7	254	5.537334267018537	0.0215311147572859	0.0050560733285705	0.0050560733285705	8.847089727481715e-17	2.227876740019074	0.1479565709754708	0.1092513513919192	0.0889496948117483	1.0	38343.0	7373.5	53.0	1.710567265548525	0.9007798039645544	0.8097874615839706	True	0.0157398633837141	0.0048945686495058	0.0001615046790646
HCC38	PCBD1	428	6.059123195581797	0.0210892465180688	0.0041690086810655	0.0041690086810655	7.979727989493313e-17	1.7392892243046572	0.1014281281695594	0.0813921484549719	0.0694284526269486	1.0	35430.0	7165.5	55.0	0.775830772818279	0.4942722238716602	0.2815585489466187	True	0.0159654279138245	0.0040395020934782	0.0001295065875872
HCC38	PEX14	439	6.084499413075172	0.0049454685061893	0.004391741095693	0.004391741095693	4.9439619065338996e-17	1.8521323648982424	0.1122410874876001	0.0879077016311309	0.0742310586926704	0.0	36938.0	7328.0	62.0	0.4066850584978156	0.3807886775016379	0.0258963809961777	True	0.0166917819485561	0.0040035928071481	0.0003881482885448
HCC38	PFDN5	67	4.204692619390966	0.8201974002162512	0.0091179791241103	0.0091179791241103	2.255140518769849e-17	3.763957430728924	0.1989752787568457	0.1600206789764993	0.1385962888206685	1.0	36769.0	7229.0	63.0	2.0418437454004583	1.3080087318309688	0.7338350135694895	True	0.0161947495752336	0.0089367755868165	0.0001812035372937
HCC38	PMF1	94	4.543294782270004	0.9978434877605236	0.0092008578860405	0.0092008578860405	5.898059818321144e-17	3.907662671107953	0.1851686118601423	0.1652157665258879	0.1493163921756924	0.0	33929.0	7026.0	1.0	0.5067607732222534	0.4495771763798371	0.0571835968424163	True	0.0176654407999732	0.0076099653173109	0.0015908925687295
HCC38	PRDX2	302	5.71042701737487	0.1572365253337959	0.0048643958897732	0.0048643958897732	8.066464163292153e-17	2.130357874677587	0.1366860926083004	0.1043672327789711	0.0851274138384869	1.0	37329.0	7270.5	65.0	1.1204492668940536	0.3993185399374006	0.7211307269566529	True	0.0156638234105692	0.0045788832418797	0.0002855126478934
HCC38	PRPF6	25	3.218875824868201	0.9972796156547944	0.0144798741040019	0.0144798741040019	6.245004513516506e-17	5.908263551904799	0.3006809034205444	0.2489501769284749	0.2158678004680207	16.0	36002.0	7122.0	21.0	0.7501733642260896	0.6816850555962899	0.0684883086297997	True	0.0160597010220824	0.0142489871036283	0.0002308870003735
HCC38	RORC	296	5.69035945432406	0.263229534078098	0.0047603589109585	0.0047603589109585	1.474514954580286e-17	1.944086166826961	0.1033882604213983	0.0830722325333542	0.072411716006244	0.0	34501.0	7067.5	31.5	0.0014271333778412	0.0	0.0014271333778412	True	0.0161038823069208	0.0046092058243007	0.0001511530866577
HCC38	RPS3	69	4.23410650459726	1.0	0.0096911866022176	0.0096911866022176	7.63278329429795e-17	4.1654645837132325	0.3011808400688885	0.2238886269278741	0.1778406526628827	10.0	34576.0	7262.0	21.0	2.872508160213884	2.048226732996976	0.8242814272169086	True	0.0165918848775053	0.0087693399861904	0.0009218466160271
HCC38	RUVBL2	95	4.553876891600541	0.978029448287533	0.0082501146934477	0.0082501146934477	8.673617379884034e-17	3.3300033506603586	0.1625181115706038	0.1358548184041985	0.1191124921474917	2.0	33147.0	7068.0	38.0	0.8453965111815326	0.4949642841365425	0.35043222704499	True	0.0170069005853995	0.0075621743084882	0.0006879403849594
