context	model_id	endpoint_role	release	filename	file_sha256	gene_id_scheme	orientation	historical_numerical_match_release	used_in_current_analysis	upstream_build_status	source_url	extraction_record
HCC38	ACH-000276	primary_probability	25Q3	CRISPRGeneDependency.csv	d314677cb6edf0b7354fc151336b546ece8d343af40dbc35051ba3cf43d7704b	symbol (Entrez ID)	higher probability = stronger dependency	25Q3	True	exact internal Chronos build not reported	https://depmap.org/portal/download/all/	reports/revision/finalization_v2/depmap/run_manifest.json; provenance/revision_depmap_restore/run_manifest.json
HCC38	ACH-000276	gene_effect_sensitivity	25Q3	CRISPRGeneEffect.csv	fa44b6a7cefe8748aaa2bef21bd49aa105f7ebfe819510da3022266d88f24d51	symbol (Entrez ID)	negative gene effect = stronger dependency	25Q3	True	exact internal Chronos build not reported	https://depmap.org/portal/download/all/	reports/revision/finalization_v2/depmap/run_manifest.json; provenance/revision_depmap_restore/run_manifest.json
HCC1143	ACH-000374	primary_probability	25Q3	CRISPRGeneDependency.csv	d314677cb6edf0b7354fc151336b546ece8d343af40dbc35051ba3cf43d7704b	symbol (Entrez ID)	higher probability = stronger dependency	25Q3	True	exact internal Chronos build not reported	https://depmap.org/portal/download/all/	reports/revision/finalization_v2/depmap/run_manifest.json; provenance/revision_depmap_restore/run_manifest.json
HCC1143	ACH-000374	gene_effect_sensitivity	25Q3	CRISPRGeneEffect.csv	fa44b6a7cefe8748aaa2bef21bd49aa105f7ebfe819510da3022266d88f24d51	symbol (Entrez ID)	negative gene effect = stronger dependency	25Q3	True	exact internal Chronos build not reported	https://depmap.org/portal/download/all/	reports/revision/finalization_v2/depmap/run_manifest.json; provenance/revision_depmap_restore/run_manifest.json
K562	ACH-000551	primary_probability	25Q3	CRISPRGeneDependency.csv	d314677cb6edf0b7354fc151336b546ece8d343af40dbc35051ba3cf43d7704b	symbol (Entrez ID)	higher probability = stronger dependency	25Q3	True	exact internal Chronos build not reported	https://depmap.org/portal/download/all/	reports/revision/finalization_v2/depmap/run_manifest.json; provenance/revision_depmap_restore/run_manifest.json
K562	ACH-000551	gene_effect_sensitivity	25Q3	CRISPRGeneEffect.csv	fa44b6a7cefe8748aaa2bef21bd49aa105f7ebfe819510da3022266d88f24d51	symbol (Entrez ID)	negative gene effect = stronger dependency	25Q3	True	exact internal Chronos build not reported	https://depmap.org/portal/download/all/	reports/revision/finalization_v2/depmap/run_manifest.json; provenance/revision_depmap_restore/run_manifest.json
HepG2	ACH-000739	primary_probability	25Q3	CRISPRGeneDependency.csv	d314677cb6edf0b7354fc151336b546ece8d343af40dbc35051ba3cf43d7704b	symbol (Entrez ID)	higher probability = stronger dependency	25Q3	True	exact internal Chronos build not reported	https://depmap.org/portal/download/all/	reports/revision/finalization_v2/depmap/run_manifest.json; provenance/revision_depmap_restore/run_manifest.json
HepG2	ACH-000739	gene_effect_sensitivity	25Q3	CRISPRGeneEffect.csv	fa44b6a7cefe8748aaa2bef21bd49aa105f7ebfe819510da3022266d88f24d51	symbol (Entrez ID)	negative gene effect = stronger dependency	23Q4	True	exact internal Chronos build not reported	https://depmap.org/portal/download/all/	reports/revision/finalization_v2/depmap/run_manifest.json; provenance/revision_depmap_restore/run_manifest.json
Jurkat	ACH-000995	primary_probability	25Q3	CRISPRGeneDependency.csv	d314677cb6edf0b7354fc151336b546ece8d343af40dbc35051ba3cf43d7704b	symbol (Entrez ID)	higher probability = stronger dependency	25Q3	True	exact internal Chronos build not reported	https://depmap.org/portal/download/all/	reports/revision/finalization_v2/depmap/run_manifest.json; provenance/revision_depmap_restore/run_manifest.json
Jurkat	ACH-000995	gene_effect_sensitivity	25Q3	CRISPRGeneEffect.csv	fa44b6a7cefe8748aaa2bef21bd49aa105f7ebfe819510da3022266d88f24d51	symbol (Entrez ID)	negative gene effect = stronger dependency	23Q4	True	exact internal Chronos build not reported	https://depmap.org/portal/download/all/	reports/revision/finalization_v2/depmap/run_manifest.json; provenance/revision_depmap_restore/run_manifest.json
