context	endpoint	source_path	historical_rows	finite_compared	exact_matches	tolerance_matches	max_absolute_error	value_mismatches	missing_status_changes	both_missing	status	candidate_release
HCC38	depmap_gene_effect	data/processed/truth_driven_bridge/combined_target_level_bridge_table.tsv.gz	48	47	47	47	0.0	0	0	1	Verification passed	25Q3
HCC1143	depmap_gene_effect	data/processed/truth_driven_bridge/combined_target_level_bridge_table.tsv.gz	49	48	48	48	0.0	0	0	1	Verification passed	25Q3
K562_essential_day7	depmap_gene_effect	data/processed/truth_driven_bridge_replogle_k562_essential_day7/combined_target_level_bridge_table.tsv.gz	2021	1882	1875	1882	4.440892098500626e-16	0	0	139	Verification passed	25Q3
K562_GWPS_day8	depmap_gene_effect	data/processed/truth_driven_bridge_replogle_k562_gwps_day8/combined_target_level_bridge_table.tsv.gz	9787	9261	9254	9261	4.440892098500626e-16	0	0	526	Verification passed	25Q3
HepG2	depmap_gene_effect	reports/gse264667_endpoint_extension/gse264667_hepg2_day7/target_level_bridge_table.tsv.gz	1061	1000	0	0	0.711318213502337	1000	3	58	Historical endpoint mismatch; provenance unresolved	25Q3
Jurkat	depmap_gene_effect	reports/gse264667_endpoint_extension/gse264667_jurkat_day7/target_level_bridge_table.tsv.gz	1815	1687	0	0	0.9224437335467699	1687	11	117	Historical endpoint mismatch; provenance unresolved	25Q3
dixit_2016_k562_tf_7d_gse90063	depmap_gene_effect	data/processed/truth_driven_bridge_gse90063_7d/combined_target_level_bridge_table.tsv.gz	10	10	10	10	0.0	0	0	0	Verification passed	25Q3
dixit_2016_k562_tf_13d_gse90063	depmap_gene_effect	data/processed/truth_driven_bridge_gse90063_13d/combined_target_level_bridge_table.tsv.gz	10	10	10	10	0.0	0	0	0	Verification passed	25Q3
HCC38	depmap_gene_effect	data/processed/truth_driven_bridge/combined_target_level_bridge_table.tsv.gz	48	47	0	0	0.23705266387811208	47	0	1	Historical endpoint mismatch; provenance unresolved	23Q2
HCC1143	depmap_gene_effect	data/processed/truth_driven_bridge/combined_target_level_bridge_table.tsv.gz	49	48	0	0	0.7100605016092647	48	0	1	Historical endpoint mismatch; provenance unresolved	23Q2
K562_essential_day7	depmap_gene_effect	data/processed/truth_driven_bridge_replogle_k562_essential_day7/combined_target_level_bridge_table.tsv.gz	2021	1882	0	0	0.8348325474736686	1882	11	128	Historical endpoint mismatch; provenance unresolved	23Q2
K562_GWPS_day8	depmap_gene_effect	data/processed/truth_driven_bridge_replogle_k562_gwps_day8/combined_target_level_bridge_table.tsv.gz	9787	9261	0	0	0.8348325474736686	9261	38	488	Historical endpoint mismatch; provenance unresolved	23Q2
HepG2	depmap_gene_effect	reports/gse264667_endpoint_extension/gse264667_hepg2_day7/target_level_bridge_table.tsv.gz	1061	1003	0	0	0.5197552266249326	1003	0	58	Historical endpoint mismatch; provenance unresolved	23Q2
Jurkat	depmap_gene_effect	reports/gse264667_endpoint_extension/gse264667_jurkat_day7/target_level_bridge_table.tsv.gz	1815	1698	0	0	0.6990092448364447	1698	0	117	Historical endpoint mismatch; provenance unresolved	23Q2
dixit_2016_k562_tf_7d_gse90063	depmap_gene_effect	data/processed/truth_driven_bridge_gse90063_7d/combined_target_level_bridge_table.tsv.gz	10	10	0	0	0.145254549300015	10	0	0	Historical endpoint mismatch; provenance unresolved	23Q2
dixit_2016_k562_tf_13d_gse90063	depmap_gene_effect	data/processed/truth_driven_bridge_gse90063_13d/combined_target_level_bridge_table.tsv.gz	10	10	0	0	0.145254549300015	10	0	0	Historical endpoint mismatch; provenance unresolved	23Q2
HCC38	depmap_gene_effect	data/processed/truth_driven_bridge/combined_target_level_bridge_table.tsv.gz	48	47	0	0	0.4667719980822428	47	0	1	Historical endpoint mismatch; provenance unresolved	23Q4
HCC1143	depmap_gene_effect	data/processed/truth_driven_bridge/combined_target_level_bridge_table.tsv.gz	49	48	0	0	0.926794740445751	48	0	1	Historical endpoint mismatch; provenance unresolved	23Q4
K562_essential_day7	depmap_gene_effect	data/processed/truth_driven_bridge_replogle_k562_essential_day7/combined_target_level_bridge_table.tsv.gz	2021	1882	0	0	0.8066766928784772	1882	11	128	Historical endpoint mismatch; provenance unresolved	23Q4
K562_GWPS_day8	depmap_gene_effect	data/processed/truth_driven_bridge_replogle_k562_gwps_day8/combined_target_level_bridge_table.tsv.gz	9787	9261	0	0	0.8066766928784772	9261	38	488	Historical endpoint mismatch; provenance unresolved	23Q4
HepG2	depmap_gene_effect	reports/gse264667_endpoint_extension/gse264667_hepg2_day7/target_level_bridge_table.tsv.gz	1061	1003	997	1003	4.440892098500626e-16	0	0	58	Verification passed	23Q4
Jurkat	depmap_gene_effect	reports/gse264667_endpoint_extension/gse264667_jurkat_day7/target_level_bridge_table.tsv.gz	1815	1698	1693	1698	4.440892098500626e-16	0	0	117	Verification passed	23Q4
dixit_2016_k562_tf_7d_gse90063	depmap_gene_effect	data/processed/truth_driven_bridge_gse90063_7d/combined_target_level_bridge_table.tsv.gz	10	10	0	0	0.17708526794064688	10	0	0	Historical endpoint mismatch; provenance unresolved	23Q4
dixit_2016_k562_tf_13d_gse90063	depmap_gene_effect	data/processed/truth_driven_bridge_gse90063_13d/combined_target_level_bridge_table.tsv.gz	10	10	0	0	0.17708526794064688	10	0	0	Historical endpoint mismatch; provenance unresolved	23Q4
HCC38	depmap_gene_effect	data/processed/truth_driven_bridge/combined_target_level_bridge_table.tsv.gz	48	47	0	0	0.22042046714218078	47	0	1	Historical endpoint mismatch; provenance unresolved	24Q4
HCC1143	depmap_gene_effect	data/processed/truth_driven_bridge/combined_target_level_bridge_table.tsv.gz	49	48	0	0	0.7033841721457779	48	0	1	Historical endpoint mismatch; provenance unresolved	24Q4
K562_essential_day7	depmap_gene_effect	data/processed/truth_driven_bridge_replogle_k562_essential_day7/combined_target_level_bridge_table.tsv.gz	2021	1882	0	0	0.9287666686478948	1882	6	133	Historical endpoint mismatch; provenance unresolved	24Q4
K562_GWPS_day8	depmap_gene_effect	data/processed/truth_driven_bridge_replogle_k562_gwps_day8/combined_target_level_bridge_table.tsv.gz	9787	9261	0	0	0.9287666686478948	9261	13	513	Historical endpoint mismatch; provenance unresolved	24Q4
HepG2	depmap_gene_effect	reports/gse264667_endpoint_extension/gse264667_hepg2_day7/target_level_bridge_table.tsv.gz	1061	1002	0	0	0.3065574597874188	1002	1	58	Historical endpoint mismatch; provenance unresolved	24Q4
Jurkat	depmap_gene_effect	reports/gse264667_endpoint_extension/gse264667_jurkat_day7/target_level_bridge_table.tsv.gz	1815	1694	0	0	0.5917308633245515	1694	4	117	Historical endpoint mismatch; provenance unresolved	24Q4
dixit_2016_k562_tf_7d_gse90063	depmap_gene_effect	data/processed/truth_driven_bridge_gse90063_7d/combined_target_level_bridge_table.tsv.gz	10	10	0	0	0.2757113034658702	10	0	0	Historical endpoint mismatch; provenance unresolved	24Q4
dixit_2016_k562_tf_13d_gse90063	depmap_gene_effect	data/processed/truth_driven_bridge_gse90063_13d/combined_target_level_bridge_table.tsv.gz	10	10	0	0	0.2757113034658702	10	0	0	Historical endpoint mismatch; provenance unresolved	24Q4
HCC38	depmap_gene_effect	data/processed/truth_driven_bridge/combined_target_level_bridge_table.tsv.gz	48	47	0	0	0.21086715450088067	47	0	1	Historical endpoint mismatch; provenance unresolved	25Q2
HCC1143	depmap_gene_effect	data/processed/truth_driven_bridge/combined_target_level_bridge_table.tsv.gz	49	48	0	0	0.6913852092857082	48	0	1	Historical endpoint mismatch; provenance unresolved	25Q2
K562_essential_day7	depmap_gene_effect	data/processed/truth_driven_bridge_replogle_k562_essential_day7/combined_target_level_bridge_table.tsv.gz	2021	1882	0	0	0.8497250661892979	1882	6	133	Historical endpoint mismatch; provenance unresolved	25Q2
K562_GWPS_day8	depmap_gene_effect	data/processed/truth_driven_bridge_replogle_k562_gwps_day8/combined_target_level_bridge_table.tsv.gz	9787	9261	0	0	0.8497250661892979	9261	13	513	Historical endpoint mismatch; provenance unresolved	25Q2
HepG2	depmap_gene_effect	reports/gse264667_endpoint_extension/gse264667_hepg2_day7/target_level_bridge_table.tsv.gz	1061	1002	0	0	0.4292912098439054	1002	1	58	Historical endpoint mismatch; provenance unresolved	25Q2
Jurkat	depmap_gene_effect	reports/gse264667_endpoint_extension/gse264667_jurkat_day7/target_level_bridge_table.tsv.gz	1815	1694	0	0	0.6298171613146797	1694	4	117	Historical endpoint mismatch; provenance unresolved	25Q2
dixit_2016_k562_tf_7d_gse90063	depmap_gene_effect	data/processed/truth_driven_bridge_gse90063_7d/combined_target_level_bridge_table.tsv.gz	10	10	0	0	0.26971944393560204	10	0	0	Historical endpoint mismatch; provenance unresolved	25Q2
dixit_2016_k562_tf_13d_gse90063	depmap_gene_effect	data/processed/truth_driven_bridge_gse90063_13d/combined_target_level_bridge_table.tsv.gz	10	10	0	0	0.26971944393560204	10	0	0	Historical endpoint mismatch; provenance unresolved	25Q2
HCC38	depmap_gene_effect	data/processed/truth_driven_bridge/combined_target_level_bridge_table.tsv.gz	48	47	0	0	0.2052950586098301	47	0	1	Historical endpoint mismatch; provenance unresolved	26Q1
HCC1143	depmap_gene_effect	data/processed/truth_driven_bridge/combined_target_level_bridge_table.tsv.gz	49	48	0	0	0.2078030985941668	48	0	1	Historical endpoint mismatch; provenance unresolved	26Q1
K562_essential_day7	depmap_gene_effect	data/processed/truth_driven_bridge_replogle_k562_essential_day7/combined_target_level_bridge_table.tsv.gz	2021	1882	0	0	0.4923657210407255	1882	0	139	Historical endpoint mismatch; provenance unresolved	26Q1
K562_GWPS_day8	depmap_gene_effect	data/processed/truth_driven_bridge_replogle_k562_gwps_day8/combined_target_level_bridge_table.tsv.gz	9787	9261	0	0	0.510387881221614	9261	0	526	Historical endpoint mismatch; provenance unresolved	26Q1
HepG2	depmap_gene_effect	reports/gse264667_endpoint_extension/gse264667_hepg2_day7/target_level_bridge_table.tsv.gz	1061	1000	0	0	0.6982149316543489	1000	3	58	Historical endpoint mismatch; provenance unresolved	26Q1
Jurkat	depmap_gene_effect	reports/gse264667_endpoint_extension/gse264667_jurkat_day7/target_level_bridge_table.tsv.gz	1815	1687	0	0	0.8938040832785421	1687	11	117	Historical endpoint mismatch; provenance unresolved	26Q1
dixit_2016_k562_tf_7d_gse90063	depmap_gene_effect	data/processed/truth_driven_bridge_gse90063_7d/combined_target_level_bridge_table.tsv.gz	10	10	0	0	0.03877343447774531	10	0	0	Historical endpoint mismatch; provenance unresolved	26Q1
