cell_line	context_role	entrant_id	entrant_kind	reference_type	reference_seed	full_endpoint_n_targets	contract_n_targets	endpoint_coverage_fraction	missing_endpoint_targets	contract_n_genes	endpoint_alignment_spearman	endpoint_alignment_ci_low	endpoint_alignment_ci_high	endpoint_alignment_status	endpoint_alignment_n	directional_recovery_median_signed_cosine	directional_recovery_ci_low	directional_recovery_ci_high	directional_recovery_n	anchor_separation_auc	anchor_separation_ci_low	anchor_separation_ci_high	anchor_n	low_information_n	target_identity_spearman	target_identity_label_permutation_pvalue	target_identity_status	target_identity_n_targets	target_identity_n_pairs	predicted_homogenization_uncentered	observed_homogenization_uncentered	excess_homogenization_uncentered	predicted_homogenization_uncentered_n	observed_homogenization_uncentered_n	predicted_homogenization_centered	observed_homogenization_centered	excess_homogenization_centered	predicted_homogenization_centered_n	observed_homogenization_centered_n	conventional_pearson_median	conventional_pearson_ci_low	conventional_pearson_ci_high	conventional_pearson_n	conventional_normalized_rmse_median	conventional_normalized_rmse_ci_low	conventional_normalized_rmse_ci_high	conventional_normalized_rmse_n	secondary_absolute_projection_median	secondary_absolute_projection_ci_low	secondary_absolute_projection_ci_high	secondary_absolute_projection_n	entrant_role	display_name	model_family	endpoint_alignment_label_permutation_pvalue	endpoint_alignment_permutation_qvalue_bh	target_identity_permutation_qvalue_bh	scored_target_held_out	training_seed	predicted_homogenization_uncentered_ci_low	predicted_homogenization_uncentered_ci_high	predicted_homogenization_uncentered_jackknife_status	observed_homogenization_uncentered_ci_low	observed_homogenization_uncentered_ci_high	observed_homogenization_uncentered_jackknife_status	excess_homogenization_uncentered_ci_low	excess_homogenization_uncentered_ci_high	excess_homogenization_uncentered_jackknife_status	predicted_homogenization_centered_ci_low	predicted_homogenization_centered_ci_high	predicted_homogenization_centered_jackknife_status	observed_homogenization_centered_ci_low	observed_homogenization_centered_ci_high	observed_homogenization_centered_jackknife_status	excess_homogenization_centered_ci_low	excess_homogenization_centered_ci_high	excess_homogenization_centered_jackknife_status
HCC1143	qualified_primary_context	cellot_hcc_seed123_retrain_v1	formal	NA	NA	48	47	0.9791666666666666	SS18L2	47	0.488030534083456	0.189054248604445	0.7175288779178958	estimated	47	0.1384657840067752	0.0926960643875057	0.1833934772633985	47	0.8125	0.5416666666666666	1.0	8	6	-0.0028502833440583	0.5141485851414859	estimated	47	1081	0.5665588833822041	0.0605282495699902	0.5060306338122138	47	47	-0.0060251124092239	0.0361300359567065	-0.0421551483659305	47	47	0.1188964974818149	0.0616947084581097	0.1902505109449024	47	15.79724637743221	11.771028820685862	19.641488240465367	47	0.6987158795060492	0.5488274828867802	0.8870048163725458	47	formal	CellOT	CellOT	0.0006999300069993	0.0031496850314968	0.7976202379762024	False	123.0	0.5330500390694182	0.60006772769499	target_delete_one_jackknife	0.021331611724677534	0.09972488741530289	target_delete_one_jackknife	0.4539217319817397	0.5581395356426879	target_delete_one_jackknife	-0.030888296247880132	0.018838071429432165	target_delete_one_jackknife	0.0006229633227230885	0.07163710859068997	target_delete_one_jackknife	-0.0893939128501516	0.005083616118290571	target_delete_one_jackknife
HCC1143	qualified_primary_context	cpa_v0.8.8	formal	NA	NA	48	47	0.9791666666666666	SS18L2	47	-0.1615589232499024	-0.4180724270644452	0.124735404618935	estimated	47	0.0979063444666777	-0.0103470352456814	0.1306755458124085	47	0.5416666666666666	0.2291666666666666	0.8338541666666591	8	6	0.0061119841227771	0.4306569343065693	estimated	47	1081	0.9387438609106422	0.0605282495699902	0.8782156113406521	47	47	-0.0207442749579501	0.0361300359567065	-0.0568743109146566	47	47	0.0603296248651467	-0.0147802634193097	0.1073027405333175	47	1.0517264653774263	1.0268453477532016	1.1007567546580894	47	0.0158025407833423	0.0138358502499044	0.017174737396377	47	formal	CPA	CPA	0.2724727527247275	0.5237476252374762	0.7841815818418157	NA	NA	0.9156465392368762	0.9618411825844082	target_delete_one_jackknife	0.021331611724677534	0.09972488741530289	target_delete_one_jackknife	0.8329655231340979	0.923465699547206	target_delete_one_jackknife	-0.026033474680187442	-0.015455075235712766	target_delete_one_jackknife	0.0006229633227230885	0.07163710859068997	target_delete_one_jackknife	-0.09207397898292648	-0.021674642846386802	target_delete_one_jackknife
HCC1143	qualified_primary_context	gears_hcc_formal_v1	formal	NA	NA	48	47	0.9791666666666666	SS18L2	47	0.0157279982548222	-0.2648265892670836	0.2988310358229276	estimated	47	0.2077752686848556	0.1719393051852434	0.2738607377377234	47	0.375	0.0833333333333333	0.7083333333333334	8	6	0.0034259390670155	0.4356564343565643	estimated	47	1081	0.4724202434574844	0.0605282495699902	0.4118919938874942	47	47	-0.000509808486096	0.0361300359567065	-0.0366398444428025	47	47	0.2065485810400836	0.1521984298748786	0.2760554723446336	47	1.6386190345487297	1.2493660278599443	2.021230420694504	47	0.0923707019444861	0.0621193106297169	0.132949943436838	47	formal	GEARS	GEARS	0.9177082291770824	0.9773022697730228	0.7841815818418157	NA	NA	0.42578426668948177	0.519056220225487	target_delete_one_jackknife	0.021331611724677534	0.09972488741530289	target_delete_one_jackknife	0.35351651002515994	0.47026747774982847	target_delete_one_jackknife	-0.014515968617158276	0.013496351644966209	target_delete_one_jackknife	0.0006229633227230885	0.07163710859068997	target_delete_one_jackknife	-0.07267211352549033	-0.0006075753601147982	target_delete_one_jackknife
HCC1143	qualified_primary_context	geneformer_hcc_formal_v1	formal	NA	NA	48	47	0.9791666666666666	SS18L2	47	0.1460622190870627	-0.1764051252744024	0.4548128251782566	estimated	47	0.1018667240083994	0.012885852542448	0.2001729229072599	47	0.8541666666666666	0.6041666666666666	1.0	8	6	-0.0296412539525389	0.7094290570942906	estimated	47	1081	0.4777565643621391	0.0605282495699902	0.4172283147921489	47	47	0.0039246225213689	0.0361300359567065	-0.0322054134353376	47	47	0.0548174166549044	-0.0065718716944594	0.1608303201445787	47	1.07541717397271	1.0170747332800505	1.1259698248659142	47	0.0244260759327618	0.0183681548839951	0.0344126987218766	47	formal	Geneformer kernel	Geneformer	0.328967103289671	0.538309805383098	0.7976202379762024	NA	NA	0.3857549157711623	0.5697582129531155	target_delete_one_jackknife	0.021331611724677534	0.09972488741530289	target_delete_one_jackknife	0.3142784728976317	0.5201781566866657	target_delete_one_jackknife	-0.018611111997604776	0.026460357040342587	target_delete_one_jackknife	0.0006229633227230885	0.07163710859068997	target_delete_one_jackknife	-0.07403302361686252	0.009622196746187264	target_delete_one_jackknife
HCC1143	qualified_primary_context	lm_g_geneformer_ridge_hcc_formal_v1	formal	NA	NA	48	47	0.9791666666666666	SS18L2	47	-0.001040823413922	-0.3145256376889962	0.3075714211974016	estimated	47	0.0998583302201844	0.0350549556376031	0.1742472050565116	47	0.3541666666666667	0.0625	0.6666666666666666	8	6	-0.0180060508543069	0.6876312368763123	estimated	47	1081	0.0367955238109856	0.0605282495699902	-0.0237327257590045	47	47	-0.0128985329310137	0.0361300359567065	-0.0490285688877202	47	47	0.0858472564985408	0.0118398528971233	0.1517952555354155	47	1.7856987571127376	1.4186873497048085	2.1366950940622345	47	0.0973621816400455	0.0514920741141252	0.1107098240850106	47	formal	Geneformer ridge	linear_embedding	0.9943005699430058	0.994300569943006	0.7976202379762024	NA	NA	-0.006656320554109557	0.08024736817608089	target_delete_one_jackknife	0.021331611724677534	0.09972488741530289	target_delete_one_jackknife	-0.07818951491777766	0.03072406339976856	target_delete_one_jackknife	-0.023167311431205123	-0.002629754430822322	target_delete_one_jackknife	0.0006229633227230885	0.07163710859068997	target_delete_one_jackknife	-0.08644878420618415	-0.011608353569256352	target_delete_one_jackknife
HCC1143	qualified_primary_context	lm_g_scgpt_ridge_hcc_formal_v1	formal	NA	NA	48	47	0.9791666666666666	SS18L2	47	0.0402451720049864	-0.277842744602135	0.3536656802499938	estimated	47	0.0429988869741037	-0.0418031342687724	0.1057298733049315	47	0.5833333333333334	0.2291666666666666	0.9166666666666666	8	6	0.0107242215994295	0.3455654434556544	estimated	47	1081	0.0272587066867515	0.0605282495699902	-0.0332695428832386	47	47	-0.0185442318032757	0.0361300359567065	-0.0546742677599823	47	47	0.0274537910170578	-0.0748040038812562	0.0987292570633958	47	2.328098930127477	2.031217174717856	2.854255768992315	47	0.0729616709973814	0.0569977278224475	0.0964103131289117	47	formal	scGPT ridge	linear_embedding	0.7851214878512148	0.9773022697730228	0.7775222477752224	NA	NA	-0.012679582137784078	0.06719699551128716	target_delete_one_jackknife	0.021331611724677534	0.09972488741530289	target_delete_one_jackknife	-0.09521065944302035	0.028671573676543	target_delete_one_jackknife	-0.02197693978612426	-0.015111523820427259	target_delete_one_jackknife	0.0006229633227230885	0.07163710859068997	target_delete_one_jackknife	-0.09021761649989626	-0.019130919020068318	target_delete_one_jackknife
HCC1143	qualified_primary_context	lm_train_lowrank_hcc_formal_v1	formal	NA	NA	48	47	0.9791666666666666	SS18L2	47	0.1952122136333824	-0.0933444189993199	0.4559828021916772	estimated	47	0.0003769660044216	-0.022239326963013	0.1197545980905113	47	0.625	0.3125	0.9583333333333334	8	6	0.0281941444951152	0.1918808119188081	estimated	47	1081	0.0325874415324252	0.0605282495699902	-0.0279408080375649	47	47	-0.0188106616741164	0.0361300359567065	-0.054940697630823	47	47	0.004775871929632	-0.0279578196830232	0.0962369271768772	47	1.9137659926429853	1.5438249725723323	2.602298082356626	47	0.0715437297654849	0.0440601236426048	0.0923320614282905	47	formal	Linear low-rank	linear	0.1872812718728127	0.4213828617138286	0.5756424357564243	NA	NA	-0.005448205789435244	0.07062308885428578	target_delete_one_jackknife	0.021331611724677534	0.09972488741530289	target_delete_one_jackknife	-0.0862495677539764	0.03036795167884651	target_delete_one_jackknife	-0.02320689830001392	-0.014414425048219005	target_delete_one_jackknife	0.0006229633227230885	0.07163710859068997	target_delete_one_jackknife	-0.0901739329565853	-0.0197074623050607	target_delete_one_jackknife
HCC1143	qualified_primary_context	null_model	diagnostic	NA	NA	48	47	0.9791666666666666	SS18L2	47	NA	NA	NA	non_estimable_constant_score	47	NA	NA	NA	0	0.5	0.5	0.5	8	6	NA	NA	non_estimable_too_few_targets	0	0	NA	0.0605282495699902	NA	0	47	NA	0.0361300359567065	NA	0	47	NA	NA	NA	0	1.0	1.0	1.0	47	NA	NA	NA	0	diagnostic	Zero-output reference	diagnostic	NA	NA	NA	NA	NA	NA	NA	not_estimable_zero_vectors	0.021331611724677534	0.09972488741530289	target_delete_one_jackknife	NA	NA	not_estimable_zero_vectors	NA	NA	not_estimable_zero_vectors	0.0006229633227230885	0.07163710859068997	target_delete_one_jackknife	NA	NA	not_estimable_zero_vectors
HCC1143	qualified_primary_context	scgen_hcc_formal_v1	formal	NA	NA	48	47	0.9791666666666666	SS18L2	47	0.5200647658230573	0.2569661036335257	0.7228543432578319	estimated	47	0.5355425925563859	0.3382121871408243	0.6163973514315927	47	0.875	0.5625	1.0	8	6	0.3272104246902518	9.999000099990002e-05	estimated	47	1081	0.7789692471597668	0.0605282495699902	0.7184409975897765	47	47	0.0782975618026569	0.0361300359567065	0.0421675258459504	47	47	0.5537551036574543	0.4031423710959043	0.6306256636588075	47	1.859120079082673	1.3103627406870513	2.558952780698889	47	0.3264279254340068	0.2056729171922838	0.4671881186938992	47	formal	scGen	scGen	9.999000099990002e-05	0.0008999100089991	0.0008999100089991	NA	NA	0.7274428268192694	0.8304956675002637	target_delete_one_jackknife	0.021331611724677534	0.09972488741530289	target_delete_one_jackknife	0.6634984295621214	0.7733835656174313	target_delete_one_jackknife	0.0227739657758423	0.13382115782947163	target_delete_one_jackknife	0.0006229633227230885	0.07163710859068997	target_delete_one_jackknife	0.01717303720696501	0.06716201448493586	target_delete_one_jackknife
HCC1143	qualified_primary_context	scgpt_hcc_formal_v1	formal	NA	NA	48	47	0.9791666666666666	SS18L2	47	0.2626344414463338	-0.0344691603332609	0.5249549899340281	estimated	47	0.1595910513790243	0.0954998501056495	0.2167694945489785	47	0.5833333333333334	0.2083333333333333	0.8958333333333334	8	6	-0.0338890114335079	0.7976202379762024	estimated	47	1081	0.2535636536365696	0.0605282495699902	0.1930354040665793	47	47	0.046521141741883	0.0361300359567065	0.0103911057851764	47	47	0.1161903752252268	0.0571296045671054	0.2252993937821105	47	1.1534134564503935	1.1011668597664677	1.183352857247624	47	0.0486091853026407	0.0338162944512439	0.0666055359345575	47	formal	scGPT kernel	scGPT	0.0738926107389261	0.2216778322167782	0.7976202379762024	NA	NA	0.20119376084977383	0.3059335464233654	target_delete_one_jackknife	0.021331611724677534	0.09972488741530289	target_delete_one_jackknife	0.12499278921274828	0.2610780189204106	target_delete_one_jackknife	0.011182055903052136	0.08186022758071387	target_delete_one_jackknife	0.0006229633227230885	0.07163710859068997	target_delete_one_jackknife	-0.03724382356029013	0.05802603513064308	target_delete_one_jackknife
