cell_line	context_role	entrant_id	entrant_kind	reference_type	reference_seed	full_endpoint_n_targets	contract_n_targets	endpoint_coverage_fraction	missing_endpoint_targets	contract_n_genes	endpoint_alignment_spearman	endpoint_alignment_ci_low	endpoint_alignment_ci_high	endpoint_alignment_status	endpoint_alignment_n	directional_recovery_median_signed_cosine	directional_recovery_ci_low	directional_recovery_ci_high	directional_recovery_n	anchor_separation_auc	anchor_separation_ci_low	anchor_separation_ci_high	anchor_n	low_information_n	target_identity_spearman	target_identity_label_permutation_pvalue	target_identity_status	target_identity_n_targets	target_identity_n_pairs	predicted_homogenization_uncentered	observed_homogenization_uncentered	excess_homogenization_uncentered	predicted_homogenization_uncentered_n	observed_homogenization_uncentered_n	predicted_homogenization_centered	observed_homogenization_centered	excess_homogenization_centered	predicted_homogenization_centered_n	observed_homogenization_centered_n	conventional_pearson_median	conventional_pearson_ci_low	conventional_pearson_ci_high	conventional_pearson_n	conventional_normalized_rmse_median	conventional_normalized_rmse_ci_low	conventional_normalized_rmse_ci_high	conventional_normalized_rmse_n	secondary_absolute_projection_median	secondary_absolute_projection_ci_low	secondary_absolute_projection_ci_high	secondary_absolute_projection_n	endpoint_alignment_label_permutation_pvalue	predicted_homogenization_uncentered_ci_low	predicted_homogenization_uncentered_ci_high	observed_homogenization_uncentered_ci_low	observed_homogenization_uncentered_ci_high	excess_homogenization_uncentered_ci_low	excess_homogenization_uncentered_ci_high	predicted_homogenization_centered_ci_low	predicted_homogenization_centered_ci_high	observed_homogenization_centered_ci_low	observed_homogenization_centered_ci_high	excess_homogenization_centered_ci_low	excess_homogenization_centered_ci_high	training_seed	model_family	entrant_role	scored_target_held_out	endpoint_alignment_permutation_qvalue_bh	target_identity_permutation_qvalue_bh	inference_family
HCC38	sensitivity_boundary_context	scgen_training_seed123_sensitivity	reference		NA	47	47	1.0		47	0.45618802597768293	0.174780793305333	0.6659164818439588	estimated	47	0.42101297837755786	0.24541865219168343	0.6579468620723901	47	1.0	1.0	1.0	7	6	0.42008504406571506	9.999000099990002e-05	estimated	47	1081	0.7455999377098003	0.05731255625356057	0.6882873814562397	47	47	0.05236074872538665	0.02214992680773614	0.030210821917650513	47	47	0.5018086021509208	0.3147184449969484	0.7240272649317121	47	2.0136688381508727	1.4064513771067841	2.4764057950027283	47	0.21505322905625612	0.10628236504980265	0.4198238156049662	47	0.0017998200179982	0.6820004687619797	0.8091994066576208	0.025554880463540597	0.08907023204358054	0.6377736453516107	0.7388011175608686	-0.0032465356400365464	0.10796803309080985	-0.006005815162228298	0.050305668777700575	0.0006101481541455449	0.059811495681155485	123	scgen	training_seed_sensitivity	False	0.0053994600539946	0.00029997000299970003	A013_eighteen_HCC_training_sensitivity_outputs
HCC38	sensitivity_boundary_context	scgen_training_seed124_sensitivity	reference		NA	47	47	1.0		47	0.47931542906907365	0.18003069543721337	0.7033473893347946	estimated	47	0.4781732043599939	0.3604608221742853	0.6547312142480882	47	0.9523809523809523	0.8095238095238095	1.0	7	6	0.44213839220319834	9.999000099990002e-05	estimated	47	1081	0.7649459750906895	0.05731255625356057	0.7076334188371289	47	47	0.05364720517624947	0.02214992680773614	0.031497278368513335	47	47	0.510332677048719	0.43999417459127244	0.6373937822659193	47	2.1616171725212303	1.252110040243061	2.5869741752207385	47	0.2596957659712284	0.18504202999913835	0.43616706403713	47	0.0007999200079992001	0.7068066510235025	0.8230852991578765	0.025554880463540597	0.08907023204358054	0.6626997758787637	0.7525670617954942	0.004769835556313044	0.1025245747961859	-0.006005815162228298	0.050305668777700575	0.007362360746389469	0.0556321959906372	124	scgen	training_seed_sensitivity	False	0.00323967603239676	0.00029997000299970003	A013_eighteen_HCC_training_sensitivity_outputs
HCC38	sensitivity_boundary_context	scgen_training_seed125_sensitivity	reference		NA	47	47	1.0		47	0.4842878207337226	0.20301246445585022	0.6927046766933337	estimated	47	0.41227841830636663	0.3553117270602307	0.6191886886576901	47	1.0	1.0	1.0	7	6	0.4259150710692293	9.999000099990002e-05	estimated	47	1081	0.7628352460009509	0.05731255625356057	0.7055226897473903	47	47	0.047091370484362384	0.02214992680773614	0.024941443676626245	47	47	0.5219182889509651	0.41850687540982595	0.753837196862645	47	2.1370689829627842	1.4329215100418764	2.60117692063498	47	0.21607287706064562	0.17960289759203926	0.36976120529059353	47	0.0007999200079992001	0.6997526613124307	0.825917830689471	0.025554880463540597	0.08907023204358054	0.6571275738510921	0.7539178056436885	-0.0017365913995138482	0.09591933236823862	-0.006005815162228298	0.050305668777700575	0.0008173958954552432	0.04906549145779725	125	scgen	training_seed_sensitivity	False	0.00323967603239676	0.00029997000299970003	A013_eighteen_HCC_training_sensitivity_outputs
HCC1143	qualified_primary_context	scgen_training_seed123_sensitivity	reference		NA	48	47	0.9791666666666666	SS18L2	47	0.47912571154212286	0.20983037603032526	0.6794526361660234	estimated	47	0.5737072314436937	0.4703538882705768	0.6944043123212681	47	0.8541666666666666	0.5625	1.0	8	6	0.3487659661864247	9.999000099990002e-05	estimated	47	1081	0.7496068276352703	0.060528249569990214	0.6890785780652801	47	47	0.07434662064501656	0.03613003595670653	0.038216584688310025	47	47	0.6295824663565429	0.4945240641573266	0.7095739115759784	47	1.72650238451245	1.1713127647667705	2.3767783383953014	47	0.3363246464072133	0.2598020271591205	0.46738231685649256	47	0.0004999500049995	0.6910778012992842	0.8081358539712564	0.021331611724677534	0.09972488741530289	0.6285589190078409	0.7495982371227192	0.020139444490679524	0.12855379679935358	0.0006229633227230885	0.07163710859068997	0.014124142507510328	0.06230902686910972	123	scgen	training_seed_sensitivity	False	0.00323967603239676	0.00029997000299970003	A013_eighteen_HCC_training_sensitivity_outputs
HCC1143	qualified_primary_context	scgen_training_seed124_sensitivity	reference		NA	48	47	0.9791666666666666	SS18L2	47	0.475771947208374	0.21884492830164304	0.6651241817105106	estimated	47	0.5998396137106977	0.44131676102598166	0.6880969934177033	47	0.8958333333333334	0.6666666666666666	1.0	8	6	0.3376424391204982	9.999000099990002e-05	estimated	47	1081	0.7374680032154033	0.060528249569990214	0.676939753645413	47	47	0.07072420051077595	0.03613003595670653	0.03459416455406942	47	47	0.6568944551532258	0.49329849584747554	0.7066096292398871	47	1.7464418395451118	1.0294932914471702	2.225194276080884	47	0.317396473304935	0.23741356234073407	0.46743555748321763	47	0.0008999100089991	0.6776488066736411	0.7972871997571654	0.021331611724677534	0.09972488741530289	0.6156408499976654	0.7382386572931606	0.01286299604002461	0.1285854049815273	0.0006229633227230885	0.07163710859068997	0.009428485237065982	0.05975984387107286	124	scgen	training_seed_sensitivity	False	0.00323967603239676	0.00029997000299970003	A013_eighteen_HCC_training_sensitivity_outputs
HCC1143	qualified_primary_context	scgen_training_seed125_sensitivity	reference		NA	48	47	0.9791666666666666	SS18L2	47	0.5159014721673691	0.25254007462164824	0.7145209097120054	estimated	47	0.4842304328566954	0.42228301814086455	0.6876383236622741	47	0.8541666666666666	0.5	1.0	8	6	0.3440057442077718	9.999000099990002e-05	estimated	47	1081	0.7537835427945991	0.060528249569990214	0.6932552932246089	47	47	0.07417558453263455	0.03613003595670653	0.03804554857592802	47	47	0.6137339910127608	0.5171305360429393	0.6986184027086003	47	1.7142303153218221	1.1651044394812442	2.4963447839249997	47	0.29986828924150644	0.23025191800014752	0.47907792543614436	47	0.00019998000199980003	0.6970647619098553	0.8105023236793429	0.021331611724677534	0.09972488741530289	0.6338040595465229	0.7527065269026949	0.02097224132740181	0.1273789277378673	0.0006229633227230885	0.07163710859068997	0.015948345421652136	0.060142751730203906	125	scgen	training_seed_sensitivity	False	0.00323967603239676	0.00029997000299970003	A013_eighteen_HCC_training_sensitivity_outputs
HCC38	sensitivity_boundary_context	cpa_training_seed123_sensitivity	reference		NA	47	47	1.0		47	0.04168714407223186	-0.2473751216673498	0.3173277047682004	estimated	47	0.1671285117140891	0.0929048930453874	0.2469653387756196	47	0.6190476190476191	0.2857142857142857	0.9047619047619048	7	6	0.0029994932922495373	0.4487551244875512	estimated	47	1081	0.9453070448885917	0.05731255625356057	0.8879944886350312	47	47	-0.015052323792335953	0.02214992680773614	-0.037202250600072095	47	47	0.15766022033581276	0.09036232860750189	0.2357610208540676	47	1.0277703931930604	1.0203867569666998	1.0778376375191188	47	0.020566927029773762	0.01437356226388613	0.026666074315920364	47	0.7802219778022198	0.9210543512999014	0.969559738477282	0.025554880463540597	0.08907023204358054	0.8455964788656751	0.9303924984043872	-0.04660333031357157	0.016498682728899663	-0.006005815162228298	0.050305668777700575	-0.08328750737902739	0.008883006178883199	123	cpa	training_seed_sensitivity	False	0.8261173882611739	0.6213532492904557	A013_eighteen_HCC_training_sensitivity_outputs
HCC38	sensitivity_boundary_context	cpa_training_seed124_sensitivity	reference		NA	47	47	1.0		47	-0.07331386779970873	-0.393847194253339	0.2546798446759634	estimated	47	0.14262867502112217	0.0688480177224051	0.19185433220471523	47	0.38095238095238093	0.0708333333333359	0.7142857142857143	7	6	-0.0210978990912509	0.6665333466653335	estimated	47	1081	0.9582968080412197	0.05731255625356057	0.9009842517876592	47	47	-0.019704950986500585	0.02214992680773614	-0.041854877794236724	47	47	0.17216295432546197	0.07972583663763165	0.21617377537014112	47	1.0831798489776134	1.0169792627018517	1.143098075743586	47	0.021259981999172402	0.017542815248292706	0.025321678805858915	47	0.627037296270373	0.9421553375477503	0.9744382785346892	0.025554880463540597	0.08907023204358054	0.8653928453463058	0.9365756582290126	-0.03113245463768143	-0.008277447335319741	-0.006005815162228298	0.050305668777700575	-0.07271849685279994	-0.010991258735673519	124	cpa	training_seed_sensitivity	False	0.7691980801919808	0.783980425486863	A013_eighteen_HCC_training_sensitivity_outputs
HCC38	sensitivity_boundary_context	cpa_training_seed125_sensitivity	reference		NA	47	47	1.0		47	0.21462230068810634	-0.07977614606863613	0.4943730926770856	estimated	47	0.12285906624365758	0.04157157031666312	0.16959828681801747	47	0.5238095238095238	0.14285714285714285	0.8571428571428571	7	6	-0.02811556394558715	0.7127287271272873	estimated	47	1081	0.9929210492141896	0.05731255625356057	0.935608492960629	47	47	-0.01958660452004734	0.02214992680773614	-0.041736531327783474	47	47	0.11573123269286206	0.07798894471515157	0.15500434713294645	47	1.0571166794205038	0.9972221886326439	1.2276892278764155	47	0.019313963857097907	0.009977156942058068	0.024758494212395704	47	0.14488551144885511	0.9903874669237893	0.9954546315045898	0.025554880463540597	0.08907023204358054	0.9034589562666602	0.9677580296545978	-0.03150152287567333	-0.00767168616442135	-0.006005815162228298	0.050305668777700575	-0.07677123421142733	-0.006701828444139621	125	cpa	training_seed_sensitivity	False	0.27141285871412857	0.783980425486863	A013_eighteen_HCC_training_sensitivity_outputs
HCC1143	qualified_primary_context	cpa_training_seed123_sensitivity	reference		NA	48	47	0.9791666666666666	SS18L2	47	-0.17277668671106242	-0.4549203105670847	0.12624318539232565	estimated	47	0.13148528599143436	0.0756313638616268	0.18017864428657815	47	0.3333333333333333	0.08333333333333333	0.6666666666666666	8	6	0.01614255568038007	0.34966503349665035	estimated	47	1081	0.9361790903195948	0.060528249569990214	0.8756508407496045	47	47	-0.019962987009857082	0.03613003595670653	-0.05609302296656361	47	47	0.1543312788160167	0.07164627960820948	0.19918989563311065	47	1.02453814054019	1.0143180677740382	1.0525378982259102	47	0.018953396413503246	0.015297509054401767	0.025959958134823487	47	0.24727527247275272	0.9109492842988894	0.9614088963403001	0.021331611724677534	0.09972488741530289	0.8279366117934219	0.9233650697057871	-0.025029109985819944	-0.01489686403389422	0.0006229633227230885	0.07163710859068997	-0.0923304005748323	-0.01985564535829492	123	cpa	training_seed_sensitivity	False	0.4046322640463227	0.5244975502449755	A013_eighteen_HCC_training_sensitivity_outputs
