cell_line	covariate	outcome	n_targets	spearman_rho
HCC38	n_cells_target	observed_shift_mean_abs	47	-0.9139900002575772
HCC38	n_cells_target	depmap_gene_dependency	47	-0.783190703286887
HCC38	median_raw_library_size	observed_shift_mean_abs	47	-0.12800647548566144
HCC38	median_raw_library_size	depmap_gene_dependency	47	-0.2304067532979805
HCC38	median_detected_gene_count	observed_shift_mean_abs	47	-0.08961868697913922
HCC38	median_detected_gene_count	depmap_gene_dependency	47	-0.11488869615495807
HCC38	median_protospacer_umis	observed_shift_mean_abs	47	-0.39745387408005795
HCC38	median_protospacer_umis	depmap_gene_dependency	47	-0.473046285399542
HCC38	baseline_target_expression	observed_shift_mean_abs	47	0.42102220166512483
HCC38	baseline_target_expression	depmap_gene_dependency	47	0.4140383338436232
HCC38	rna_level_reduction_strength	observed_shift_mean_abs	47	0.37476873265494914
HCC38	rna_level_reduction_strength	depmap_gene_dependency	47	0.34078228455164294
HCC38	real_DEG_burden	observed_shift_mean_abs	47	0.7606258438024233
HCC38	real_DEG_burden	depmap_gene_dependency	47	0.5510637306326212
HCC1143	n_cells_target	observed_shift_mean_abs	48	-0.8562744246634824
HCC1143	n_cells_target	depmap_gene_dependency	48	-0.770128699855887
HCC1143	median_raw_library_size	observed_shift_mean_abs	48	-0.1105080330004342
HCC1143	median_raw_library_size	depmap_gene_dependency	48	0.02204245697155376
HCC1143	median_detected_gene_count	observed_shift_mean_abs	48	-0.09254735941549878
HCC1143	median_detected_gene_count	depmap_gene_dependency	48	0.06140732037532535
HCC1143	median_protospacer_umis	observed_shift_mean_abs	48	-0.2574951665725176
HCC1143	median_protospacer_umis	depmap_gene_dependency	48	-0.372195387374249
HCC1143	baseline_target_expression	observed_shift_mean_abs	48	0.32316543638732087
HCC1143	baseline_target_expression	depmap_gene_dependency	48	0.3367175323585626
HCC1143	rna_level_reduction_strength	observed_shift_mean_abs	48	0.3425966131133304
HCC1143	rna_level_reduction_strength	depmap_gene_dependency	48	0.3919865500852664
HCC1143	real_DEG_burden	observed_shift_mean_abs	48	0.808525144703635
HCC1143	real_DEG_burden	depmap_gene_dependency	48	0.7135785375072098
