cell_line	target_gene	n_cells_target	observed_shift_mean_abs	noise_corrected_shift	depmap_gene_dependency
HCC1143	ARID1A	195	0.0073327186787757	0.0025274853359367	0.2654515287532237
HCC1143	CDKN2A	169	0.0050523230156554	-5.524423694538636e-05	6.198489826465077e-05
HCC1143	COMMD6	324	0.0045342930040741	0.0005475981761952	0.1351756293730245
HCC1143	ENY2	161	0.0105137437444661	0.0052970777139176	0.148881151602389
HCC1143	ERC1	412	0.0048784834929897	0.0011727642485481	0.0303840215886299
HCC1143	ETV3	187	0.0053871026377591	0.0004824127798667	0.1444988533493548
HCC1143	GON4L	115	0.0076879048971422	0.001639764285359	0.1493363288328347
HCC1143	HDGF	319	0.0039901671750222	-2.232035737835883e-06	0.0196252078195258
HCC1143	HLX	213	0.0050212083343797	0.0003806089003583	0.0236239287972883
HCC1143	KLF3	223	0.0053919861225157	0.0008195901120722	0.0369385703770605
HCC1143	LAMTOR5	274	0.0093777769035242	0.0051478700974567	0.1226400958971878
HCC1143	MAML3	341	0.0042930848646172	0.0003873163964322	0.0050198572939971
HCC1143	MIER1	254	0.0057833931966825	0.001451416208981	0.0105919574277721
HCC1143	MTDH	290	0.0047338690320834	0.0006004795018292	0.0123435627679496
HCC1143	MYBL1	142	0.0084130142568229	0.002892924147223	0.0210310036855235
HCC1143	NCOA1	334	0.0039071575713196	-3.731790556072735e-05	0.0248991192692647
HCC1143	NPM1	125	0.0074812035133293	0.0016454699152962	0.1622748801750765
HCC1143	PA2G4	154	0.0059315461556859	0.0006252623413598	0.0861889371200693
HCC1143	PARK7	215	0.0061480042391653	0.0015154817356561	0.1318604273725387
HCC1143	PCBD1	214	0.004675198066501	3.5101351587623654e-05	0.0111916491629234
HCC1143	PEX14	282	0.0044493142820248	0.000275420560782	0.0227993432195642
HCC1143	PRDX2	186	0.0055213995831513	0.0006112575546722	0.1660158727868937
HCC1143	RORC	230	0.0045634026869297	5.970803625961543e-05	0.0451125018855452
HCC1143	SMAD1	299	0.0045476060135123	0.0004516434159773	0.0296077539081418
HCC1143	STAT3	305	0.0045791788860737	0.0005131955358154	0.0037329167002494
HCC1143	TAB3	222	0.0060275444241772	0.0014569268678928	0.0084525379475361
HCC1143	TADA3	133	0.0103750807743799	0.0047211986633615	0.2498577956515995
HCC1143	THAP8	335	0.0050716034302432	0.0011315266762759	0.0157775614105068
HCC1143	THRA	188	0.0053431820384494	0.0004492409036489	0.0463338341696651
HCC1143	TMF1	145	0.0058951763799742	0.0004469662783664	0.1394316818255967
HCC1143	TMSB4X	266	0.0039703565382887	-0.0002807008856658	0.0090048231316929
HCC1143	UBP1	267	0.0046551429363536	0.000382982434592	0.0108785135935251
HCC1143	VEZF1	255	0.0060274132373266	0.0016981011330781	0.0275909199432945
HCC1143	XBP1	314	0.0045885756847594	0.0005622989990018	0.0085039693399301
HCC1143	YBX1	177	0.0077493948528648	0.0027372039056544	0.9913468022551738
HCC1143	ZBTB20	315	0.0043814448697306	0.0003629878206648	0.0078803596044426
HCC1143	ZBTB5	212	0.0053368219337521	0.0006902378432346	0.0773557703888747
HCC1143	ZNF24	462	0.0043616307953344	0.0007716042444563	0.0092505619875028
HCC1143	ZNF566	372	0.0044548810181222	0.0006522417044015	0.0082561267211935
HCC38	ARID1A	365	0.0085365617536346	0.0042572862999502	0.0939245801107399
HCC38	BMPR1A	212	0.0056197913890013	0.000340389816312	0.2329854350238944
HCC38	CDKN2A	399	0.0040551040534158	-7.83487363521405e-05	0.0034117871973033
HCC38	COMMD6	395	0.0042202270388882	6.78145213169612e-05	0.0087958879569685
HCC38	ERC1	433	0.00417172244801	0.0001540531423909	0.0054295617631019
HCC38	ETV3	244	0.0051298888376656	0.0001472977658825	0.0807914252803547
HCC38	GON4L	167	0.0060144581054616	0.0001679449755795	0.3129469325001975
HCC38	HDGF	254	0.0053940020400889	0.000499433390583	0.0286996254177853
HCC38	HLX	289	0.0052991294769277	0.0006534833889089	0.006315463793662
HCC38	KLF3	236	0.0054676604656395	0.0004151878526526	0.1616884807733207
HCC38	LAMTOR5	157	0.0106435490794122	0.0046119790678145	0.0890975409858624
HCC38	MAML3	423	0.0039010408237359	-0.0001588297680574	0.009549016733777
HCC38	MIER1	267	0.0049938655360828	0.0001888196382934	0.0068709338808792
HCC38	MTDH	282	0.0056310162158605	0.0009157505297965	0.0342163047187118
HCC38	MYBL1	220	0.0071407239504648	0.0019411097801427	0.0145675964421822
HCC38	NCOA1	389	0.0043489041564256	0.0001819874491868	0.0459486880054965
HCC38	PA2G4	194	0.0071702138866234	0.001678226549744	0.3764696904296344
HCC38	PARK7	254	0.0050560733285705	0.0001615046790646	0.0215311147572859
HCC38	PCBD1	428	0.0041690086810655	0.0001295065875872	0.0210892465180688
HCC38	PEX14	439	0.004391741095693	0.0003881482885448	0.0049454685061893
HCC38	PRDX2	302	0.0048643958897732	0.0002855126478934	0.1572365253337959
HCC38	RORC	296	0.0047603589109585	0.0001511530866577	0.263229534078098
HCC38	SMAD1	321	0.0045644798021591	8.928461131540999e-05	0.0125810954880103
HCC38	STAT3	394	0.0049421595924907	0.0007970097757102	0.0235621693286022
HCC38	TAB3	246	0.005355838101385	0.0003845878513856	0.0271522701939877
HCC38	TADA3	177	0.0091400872937874	0.0034369248792146	0.035551946395066
HCC38	THAP8	276	0.0050563694115236	0.0003178300330347	0.0267473201978675
HCC38	THRA	266	0.0058419151883759	0.0010262530786392	0.0573416619307745
HCC38	TMF1	206	0.00630257681098	0.0009563640545694	0.0809743969956026
HCC38	TMSB4X	352	0.0045126915949235	0.0001961393063308	0.2174493812731642
HCC38	UBP1	371	0.004398069047543	0.0001585391625746	0.0201784564207119
HCC38	VEZF1	226	0.0073740581188237	0.0022365591295995	0.0694464693745538
HCC38	XBP1	394	0.0040282961697656	-0.0001168536470148	0.0113924113087519
HCC38	YBX1	177	0.0076494599161971	0.0019462975016243	1.0
HCC38	ZBTB17	139	0.0079465191255336	0.0015980088443709	0.2634223656448051
HCC38	ZBTB20	471	0.0048062658192207	0.0008809511967314	0.0018330352467763
HCC38	ZBTB5	363	0.0046384099549855	0.0003590051660145	0.0143722132742512
HCC38	ZNF131	118	0.0098454685363047	0.003003726532435	0.6622862073859538
HCC38	ZNF24	472	0.0039710221358838	5.247577735052831e-05	0.0403071652767106
HCC38	ZNF566	372	0.0045411647163488	0.0002923370664005	0.0863639716532793
