cell_line	context_role	entrant_id	entrant_kind	reference_type	reference_seed	full_endpoint_n_targets	contract_n_targets	endpoint_coverage_fraction	missing_endpoint_targets	contract_n_genes	endpoint_alignment_spearman	endpoint_alignment_ci_low	endpoint_alignment_ci_high	endpoint_alignment_status	endpoint_alignment_n	directional_recovery_median_signed_cosine	directional_recovery_ci_low	directional_recovery_ci_high	directional_recovery_n	anchor_separation_auc	anchor_separation_ci_low	anchor_separation_ci_high	anchor_n	low_information_n	target_identity_spearman	target_identity_label_permutation_pvalue	target_identity_status	target_identity_n_targets	target_identity_n_pairs	predicted_homogenization_uncentered	observed_homogenization_uncentered	excess_homogenization_uncentered	predicted_homogenization_uncentered_n	observed_homogenization_uncentered_n	predicted_homogenization_centered	observed_homogenization_centered	excess_homogenization_centered	predicted_homogenization_centered_n	observed_homogenization_centered_n	conventional_pearson_median	conventional_pearson_ci_low	conventional_pearson_ci_high	conventional_pearson_n	conventional_normalized_rmse_median	conventional_normalized_rmse_ci_low	conventional_normalized_rmse_ci_high	conventional_normalized_rmse_n	secondary_absolute_projection_median	secondary_absolute_projection_ci_low	secondary_absolute_projection_ci_high	secondary_absolute_projection_n	entrant_role	display_name	model_family	endpoint_alignment_label_permutation_pvalue	endpoint_alignment_permutation_qvalue_bh	target_identity_permutation_qvalue_bh
HCC1143	qualified_primary_context	cellot_hcc_formal_v1	formal	NA	NA	48	47	0.9791666666666666	SS18L2	47	0.044177171568692	-0.22651707795468262	0.3268806871210106	estimated	47	0.08049599817371433	0.031080803038774113	0.14756084305102543	47	0.6666666666666666	0.3333333333333333	0.9791666666666666	8	6	0.0317567825596778	0.270972902709729	estimated	47	1081	0.30896808080510985	0.0605282495699902	0.24843983123511965	47	47	0.1697981336702764	0.03613003595670656	0.13366809771356986	47	47	0.05796030544629515	-0.014886921684005487	0.12223681506320966	47	24.458114884630767	17.76123278957261	30.577831320237266	47	0.9295799311935404	0.7258446780436579	1.407084832148776	47	formal	CellOT	CellOT	0.7728227177282272	0.9773022697730227	0.541945805419458
HCC1143	qualified_primary_context	cpa_v0.8.8	formal	NA	NA	48	47	0.9791666666666666	SS18L2	47	-0.1615589232499024	-0.4180724270644452	0.12473540461893501	estimated	47	0.0979063444666777	-0.010347035245681457	0.1306755458124085	47	0.5416666666666666	0.22916666666666666	0.8338541666666591	8	6	0.006111984122777168	0.4306569343065693	estimated	47	1081	0.9387438609106422	0.0605282495699902	0.8782156113406521	47	47	-0.02074427495795011	0.03613003595670656	-0.05687431091465667	47	47	0.06032962486514672	-0.014780263419309764	0.10730274053331754	47	1.0517264653774265	1.0268453477532016	1.1007567546580894	47	0.015802540783342398	0.013835850249904491	0.017174737396377048	47	formal	CPA	CPA	0.27247275272472754	0.581941805819418	0.6534846515348466
HCC1143	qualified_primary_context	gears_hcc_formal_v1	formal	NA	NA	48	47	0.9791666666666666	SS18L2	47	0.01572799825482228	-0.2648265892670836	0.29883103582292764	estimated	47	0.20777526868485569	0.17193930518524347	0.27386073773772346	47	0.375	0.08333333333333333	0.7083333333333334	8	6	0.003425939067015567	0.43565643435656437	estimated	47	1081	0.4724202434574844	0.0605282495699902	0.4118919938874942	47	47	-0.0005098084860960334	0.03613003595670656	-0.03663984444280259	47	47	0.20654858104008367	0.15219842987487867	0.2760554723446336	47	1.6386190345487297	1.2493660278599443	2.0212304206945038	47	0.09237070194448613	0.06211931062971692	0.13294994343683808	47	formal	GEARS	GEARS	0.9177082291770823	0.9773022697730227	0.6534846515348466
HCC1143	qualified_primary_context	geneformer_hcc_formal_v1	formal	NA	NA	48	47	0.9791666666666666	SS18L2	47	0.14606221908706277	-0.1764051252744024	0.45481282517825666	estimated	47	0.10186672400839947	0.012885852542448019	0.20017292290725996	47	0.8541666666666666	0.6041666666666666	1.0	8	6	-0.029641253952538943	0.7094290570942906	estimated	47	1081	0.4777565643621391	0.0605282495699902	0.4172283147921489	47	47	0.0039246225213689055	0.03613003595670656	-0.03220541343533766	47	47	0.05481741665490442	-0.00657187169445946	0.16083032014457876	47	1.0754171739727099	1.0170747332800505	1.1259698248659142	47	0.02442607593276181	0.01836815488399514	0.03441269872187666	47	formal	Geneformer kernel	Geneformer	0.32896710328967105	0.5921407859214078	0.751160178099837
HCC1143	qualified_primary_context	scgen_hcc_formal_v1	formal	NA	NA	48	47	0.9791666666666666	SS18L2	47	0.5200647658230573	0.2569661036335257	0.7228543432578319	estimated	47	0.5355425925563859	0.3382121871408243	0.6163973514315927	47	0.875	0.5625	1.0	8	6	0.32721042469025186	9.999000099990002e-05	estimated	47	1081	0.7789692471597668	0.0605282495699902	0.7184409975897765	47	47	0.07829756180265698	0.03613003595670656	0.042167525845950425	47	47	0.5537551036574543	0.40314237109590434	0.6306256636588075	47	1.859120079082673	1.3103627406870513	2.558952780698889	47	0.32642792543400684	0.2056729171922838	0.4671881186938992	47	formal	scGen	scGen	9.999000099990002e-05	0.0017998200179982003	0.0008999100089991002
HCC1143	qualified_primary_context	scgpt_hcc_formal_v1	formal	NA	NA	48	47	0.9791666666666666	SS18L2	47	0.2626344414463338	-0.03446916033326093	0.5249549899340281	estimated	47	0.15959105137902435	0.09549985010564956	0.2167694945489785	47	0.5833333333333334	0.20833333333333334	0.8958333333333334	8	6	-0.033889011433507955	0.7976202379762024	estimated	47	1081	0.2535636536365696	0.0605282495699902	0.19303540406657937	47	47	0.04652114174188303	0.03613003595670656	0.01039110578517647	47	47	0.11619037522522688	0.05712960456710549	0.22529939378211056	47	1.1534134564503937	1.1011668597664677	1.183352857247624	47	0.048609185302640794	0.033816294451243935	0.06660553593455752	47	formal	scGPT kernel	scGPT	0.07389261073892611	0.33251674832516753	0.7976202379762024
HCC1143	qualified_primary_context	lm_train_lowrank_hcc_formal_v1	formal	NA	NA	48	47	0.9791666666666666	SS18L2	47	0.1952122136333824	-0.09334441899931996	0.4559828021916772	estimated	47	0.00037696600442162307	-0.02223932696301309	0.11975459809051137	47	0.625	0.3125	0.9583333333333334	8	6	0.02819414449511522	0.19188081191880813	estimated	47	1081	0.03258744153242527	0.0605282495699902	-0.027940808037564928	47	47	-0.01881066167411646	0.03613003595670656	-0.054940697630823015	47	47	0.0047758719296320685	-0.02795781968302327	0.09623692717687722	47	1.9137659926429857	1.5438249725723325	2.602298082356626	47	0.07154372976548498	0.04406012364260484	0.09233206142829053	47	formal	Linear low-rank	linear	0.1872812718728127	0.4815804133872327	0.49340780207693513
HCC1143	qualified_primary_context	lm_g_geneformer_ridge_hcc_formal_v1	formal	NA	NA	48	47	0.9791666666666666	SS18L2	47	-0.0010408234139220626	-0.3145256376889962	0.3075714211974016	estimated	47	0.09985833022018449	0.035054955637603157	0.17424720505651162	47	0.3541666666666667	0.0625	0.6666666666666666	8	6	-0.01800605085430699	0.6876312368763123	estimated	47	1081	0.03679552381098566	0.0605282495699902	-0.023732725759004543	47	47	-0.012898532931013722	0.03613003595670656	-0.04902856888772028	47	47	0.08584725649854084	0.011839852897123379	0.15179525553541554	47	1.7856987571127376	1.4186873497048083	2.1366950940622345	47	0.09736218164004551	0.0514920741141252	0.11070982408501065	47	formal	Geneformer ridge	linear_embedding	0.9943005699430058	0.9943005699430059	0.751160178099837
HCC1143	qualified_primary_context	lm_g_scgpt_ridge_hcc_formal_v1	formal	NA	NA	48	47	0.9791666666666666	SS18L2	47	0.040245172004986424	-0.277842744602135	0.3536656802499938	estimated	47	0.04299888697410376	-0.04180313426877245	0.1057298733049315	47	0.5833333333333334	0.22916666666666666	0.9166666666666666	8	6	0.010724221599429568	0.34556544345565443	estimated	47	1081	0.027258706686751535	0.0605282495699902	-0.03326954288323866	47	47	-0.01854423180327576	0.03613003595670656	-0.05467426775998232	47	47	0.027453791017057805	-0.0748040038812562	0.09872925706339586	47	2.3280989301274775	2.0312171747178556	2.854255768992315	47	0.07296167099738145	0.056997727822447566	0.09641031312891173	47	formal	scGPT ridge	linear_embedding	0.7851214878512148	0.9773022697730227	0.622017798220178
HCC1143	qualified_primary_context	null_model	diagnostic	NA	NA	48	47	0.9791666666666666	SS18L2	47	NA	NA	NA	non_estimable_constant_score	47	NA	NA	NA	0	0.5	0.5	0.5	8	6	NA	NA	non_estimable_too_few_targets	0	0	NA	0.0605282495699902	NA	0	47	NA	0.03613003595670656	NA	0	47	NA	NA	NA	0	1.0	1.0	1.0	47	NA	NA	NA	0	diagnostic	Zero-output reference	diagnostic	NA	NA	NA
