output_id	context	model	role	n_targets	n_genes	target_axis	gene_axis	observed_file	observed_sha256	predicted_file	predicted_sha256	reference_seed	dtype	matrix_type	normalization	control_definition	archive
m3|HCC1143|observed_shift_oracle	HCC1143	observed_shift_oracle	diagnostic_reference	47	47	manifests/axes/target_de4f9fb8d6aed127.tsv	manifests/axes/gene_de4f9fb8d6aed127.tsv	reports/revision/m3_metric_validity/observed_shift_HCC1143.tsv.gz	453eb845e3ee1514b74d9453ba8f1903a0288832d4ec6d018ca572f7dd7361d9	generated:observed_shift_oracle	generated_at_scoring		float64	signed_shift	log1p after library normalization to 10000	same-context; see frozen metric/contract config	WTShiftBench_v1.2.1_matrices_20260912.zip
m3|HCC1143|negated_oracle	HCC1143	negated_oracle	diagnostic_reference	47	47	manifests/axes/target_de4f9fb8d6aed127.tsv	manifests/axes/gene_de4f9fb8d6aed127.tsv	reports/revision/m3_metric_validity/observed_shift_HCC1143.tsv.gz	453eb845e3ee1514b74d9453ba8f1903a0288832d4ec6d018ca572f7dd7361d9	generated:negated_oracle	generated_at_scoring		float64	signed_shift	log1p after library normalization to 10000	same-context; see frozen metric/contract config	WTShiftBench_v1.2.1_matrices_20260912.zip
m3|HCC1143|shared_mean_baseline	HCC1143	shared_mean_baseline	diagnostic_reference	47	47	manifests/axes/target_de4f9fb8d6aed127.tsv	manifests/axes/gene_de4f9fb8d6aed127.tsv	reports/revision/m3_metric_validity/observed_shift_HCC1143.tsv.gz	453eb845e3ee1514b74d9453ba8f1903a0288832d4ec6d018ca572f7dd7361d9	data/predictions/hcc_scorer_ready/shared_mean_baseline/HCC1143/predicted_shift.tsv.gz	a367bf5953e29a2096b1ad3785520ca1fb096b741a565539d0edbe87629b3f61		float64	signed_shift	log1p after library normalization to 10000	same-context; see frozen metric/contract config	WTShiftBench_v1.2.1_matrices_20260912.zip
m3|HCC1143|observed_magnitude_random_direction_seed20260920	HCC1143	observed_magnitude_random_direction_seed20260920	diagnostic_reference	47	47	manifests/axes/target_de4f9fb8d6aed127.tsv	manifests/axes/gene_de4f9fb8d6aed127.tsv	reports/revision/m3_metric_validity/observed_shift_HCC1143.tsv.gz	453eb845e3ee1514b74d9453ba8f1903a0288832d4ec6d018ca572f7dd7361d9	generated:observed_magnitude_random_direction	generated_at_scoring	20260920	float64	signed_shift	log1p after library normalization to 10000	same-context; see frozen metric/contract config	WTShiftBench_v1.2.1_matrices_20260912.zip
m3|HCC1143|observed_magnitude_random_direction_seed20260921	HCC1143	observed_magnitude_random_direction_seed20260921	diagnostic_reference	47	47	manifests/axes/target_de4f9fb8d6aed127.tsv	manifests/axes/gene_de4f9fb8d6aed127.tsv	reports/revision/m3_metric_validity/observed_shift_HCC1143.tsv.gz	453eb845e3ee1514b74d9453ba8f1903a0288832d4ec6d018ca572f7dd7361d9	generated:observed_magnitude_random_direction	generated_at_scoring	20260921	float64	signed_shift	log1p after library normalization to 10000	same-context; see frozen metric/contract config	WTShiftBench_v1.2.1_matrices_20260912.zip
m3|HCC1143|observed_magnitude_random_direction_seed20260922	HCC1143	observed_magnitude_random_direction_seed20260922	diagnostic_reference	47	47	manifests/axes/target_de4f9fb8d6aed127.tsv	manifests/axes/gene_de4f9fb8d6aed127.tsv	reports/revision/m3_metric_validity/observed_shift_HCC1143.tsv.gz	453eb845e3ee1514b74d9453ba8f1903a0288832d4ec6d018ca572f7dd7361d9	generated:observed_magnitude_random_direction	generated_at_scoring	20260922	float64	signed_shift	log1p after library normalization to 10000	same-context; see frozen metric/contract config	WTShiftBench_v1.2.1_matrices_20260912.zip
m3|HCC1143|observed_magnitude_random_direction_seed20260923	HCC1143	observed_magnitude_random_direction_seed20260923	diagnostic_reference	47	47	manifests/axes/target_de4f9fb8d6aed127.tsv	manifests/axes/gene_de4f9fb8d6aed127.tsv	reports/revision/m3_metric_validity/observed_shift_HCC1143.tsv.gz	453eb845e3ee1514b74d9453ba8f1903a0288832d4ec6d018ca572f7dd7361d9	generated:observed_magnitude_random_direction	generated_at_scoring	20260923	float64	signed_shift	log1p after library normalization to 10000	same-context; see frozen metric/contract config	WTShiftBench_v1.2.1_matrices_20260912.zip
m3|HCC1143|observed_magnitude_random_direction_seed20260924	HCC1143	observed_magnitude_random_direction_seed20260924	diagnostic_reference	47	47	manifests/axes/target_de4f9fb8d6aed127.tsv	manifests/axes/gene_de4f9fb8d6aed127.tsv	reports/revision/m3_metric_validity/observed_shift_HCC1143.tsv.gz	453eb845e3ee1514b74d9453ba8f1903a0288832d4ec6d018ca572f7dd7361d9	generated:observed_magnitude_random_direction	generated_at_scoring	20260924	float64	signed_shift	log1p after library normalization to 10000	same-context; see frozen metric/contract config	WTShiftBench_v1.2.1_matrices_20260912.zip
m3|HCC1143|observed_magnitude_random_direction_seed20260925	HCC1143	observed_magnitude_random_direction_seed20260925	diagnostic_reference	47	47	manifests/axes/target_de4f9fb8d6aed127.tsv	manifests/axes/gene_de4f9fb8d6aed127.tsv	reports/revision/m3_metric_validity/observed_shift_HCC1143.tsv.gz	453eb845e3ee1514b74d9453ba8f1903a0288832d4ec6d018ca572f7dd7361d9	generated:observed_magnitude_random_direction	generated_at_scoring	20260925	float64	signed_shift	log1p after library normalization to 10000	same-context; see frozen metric/contract config	WTShiftBench_v1.2.1_matrices_20260912.zip
m3|HCC1143|observed_magnitude_random_direction_seed20260926	HCC1143	observed_magnitude_random_direction_seed20260926	diagnostic_reference	47	47	manifests/axes/target_de4f9fb8d6aed127.tsv	manifests/axes/gene_de4f9fb8d6aed127.tsv	reports/revision/m3_metric_validity/observed_shift_HCC1143.tsv.gz	453eb845e3ee1514b74d9453ba8f1903a0288832d4ec6d018ca572f7dd7361d9	generated:observed_magnitude_random_direction	generated_at_scoring	20260926	float64	signed_shift	log1p after library normalization to 10000	same-context; see frozen metric/contract config	WTShiftBench_v1.2.1_matrices_20260912.zip
