cell_line,depmap_model_id,target_gene,n_cells_target,n_sgrnas_observed,raw_shift_mean_abs,depmap_gene_column_found,depmap_gene_dependency,passes_minimum_cells,endpoint_nonmissing,final_eligible,exclusion_reason,expression_feature_match_count
HCC1143,ACH-000374,ARID1A,195,3,0.007332718678775701,True,0.2654515287532237,True,True,True,retained,1
HCC1143,ACH-000374,BMPR1A,93,3,0.007028128205242438,True,0.307130270365165,True,True,True,retained,1
HCC1143,ACH-000374,CDKN2A,169,3,0.005052323015655487,True,6.198489826465077e-05,True,True,True,retained,1
HCC1143,ACH-000374,COMMD6,324,3,0.004534293004074199,True,0.1351756293730245,True,True,True,retained,1
HCC1143,ACH-000374,ENY2,161,3,0.010513743744466194,True,0.148881151602389,True,True,True,retained,1
HCC1143,ACH-000374,ERC1,412,3,0.004878483492989722,True,0.0303840215886299,True,True,True,retained,1
HCC1143,ACH-000374,ETV3,187,3,0.00538710263775914,True,0.1444988533493548,True,True,True,retained,1
HCC1143,ACH-000374,GON4L,115,3,0.0076879048971422,True,0.1493363288328347,True,True,True,retained,1
HCC1143,ACH-000374,HDGF,319,3,0.003990167175022284,True,0.0196252078195258,True,True,True,retained,1
HCC1143,ACH-000374,HLX,213,3,0.00502120833437971,True,0.0236239287972883,True,True,True,retained,1
HCC1143,ACH-000374,KLF3,223,3,0.005391986122515777,True,0.0369385703770605,True,True,True,retained,1
HCC1143,ACH-000374,LAMTOR5,274,3,0.009377776903524227,True,0.1226400958971878,True,True,True,retained,1
HCC1143,ACH-000374,MAML3,341,3,0.004293084864617274,True,0.0050198572939971,True,True,True,retained,1
HCC1143,ACH-000374,MIER1,254,3,0.005783393196682597,True,0.0105919574277721,True,True,True,retained,1
HCC1143,ACH-000374,MTDH,290,3,0.004733869032083436,True,0.0123435627679496,True,True,True,retained,1
HCC1143,ACH-000374,MYBL1,142,3,0.008413014256822941,True,0.0210310036855235,True,True,True,retained,1
HCC1143,ACH-000374,NCOA1,334,3,0.003907157571319614,True,0.0248991192692647,True,True,True,retained,1
HCC1143,ACH-000374,NPM1,125,3,0.007481203513329398,True,0.1622748801750765,True,True,True,retained,1
HCC1143,ACH-000374,PA2G4,154,3,0.005931546155685907,True,0.0861889371200693,True,True,True,retained,1
HCC1143,ACH-000374,PARK7,215,3,0.006148004239165333,True,0.1318604273725387,True,True,True,retained,1
HCC1143,ACH-000374,PCBD1,214,3,0.004675198066501021,True,0.0111916491629234,True,True,True,retained,1
HCC1143,ACH-000374,PEX14,282,3,0.004449314282024882,True,0.0227993432195642,True,True,True,retained,1
HCC1143,ACH-000374,PFDN5,57,3,0.010232949999385592,True,0.9694975960688984,True,True,True,retained,1
HCC1143,ACH-000374,PMF1,40,3,0.012775693256778122,True,0.9510487581740272,True,True,True,retained,1
HCC1143,ACH-000374,PRDX2,186,3,0.005521399583151324,True,0.1660158727868937,True,True,True,retained,1
HCC1143,ACH-000374,PRPF6,23,3,0.015411189696165832,True,1.0,True,True,True,retained,1
HCC1143,ACH-000374,RORC,230,3,0.004563402686929758,True,0.0451125018855452,True,True,True,retained,1
HCC1143,ACH-000374,RPS3,72,3,0.00786094832855505,True,1.0,True,True,True,retained,1
HCC1143,ACH-000374,RUVBL2,51,3,0.011932773070348205,True,1.0,True,True,True,retained,1
HCC1143,ACH-000374,SMAD1,299,3,0.004547606013512387,True,0.0296077539081418,True,True,True,retained,1
HCC1143,ACH-000374,SMAD5,186,3,0.0053676664600747475,True,,True,False,False,exact_model_endpoint_missing,1
HCC1143,ACH-000374,SS18L2,26,3,0.02432791811833033,True,1.0,True,True,True,retained,1
HCC1143,ACH-000374,STAT3,305,3,0.004579178886073782,True,0.0037329167002494,True,True,True,retained,1
HCC1143,ACH-000374,TAB3,222,3,0.00602754442417726,True,0.0084525379475361,True,True,True,retained,1
HCC1143,ACH-000374,TADA3,133,3,0.010375080774379914,True,0.2498577956515995,True,True,True,retained,1
HCC1143,ACH-000374,THAP8,335,3,0.0050716034302432725,True,0.0157775614105068,True,True,True,retained,1
HCC1143,ACH-000374,THRA,188,3,0.005343182038449481,True,0.0463338341696651,True,True,True,retained,1
HCC1143,ACH-000374,TMF1,145,3,0.005895176379974277,True,0.1394316818255967,True,True,True,retained,1
HCC1143,ACH-000374,TMSB4X,266,3,0.003970356538288791,True,0.0090048231316929,True,True,True,retained,1
HCC1143,ACH-000374,UBP1,267,3,0.004655142936353638,True,0.0108785135935251,True,True,True,retained,1
HCC1143,ACH-000374,UXT,19,3,0.01885140752623974,True,0.9790010779577124,False,True,False,below_minimum_cells,1
HCC1143,ACH-000374,VEZF1,255,3,0.006027413237326677,True,0.0275909199432945,True,True,True,retained,1
HCC1143,ACH-000374,XBP1,314,3,0.004588575684759466,True,0.0085039693399301,True,True,True,retained,1
HCC1143,ACH-000374,YBX1,177,3,0.007749394852864845,True,0.9913468022551738,True,True,True,retained,1
HCC1143,ACH-000374,ZBTB17,75,3,0.010587215682323039,True,0.7578619386258375,True,True,True,retained,1
HCC1143,ACH-000374,ZBTB20,315,3,0.004381444869730686,True,0.0078803596044426,True,True,True,retained,1
HCC1143,ACH-000374,ZBTB5,212,3,0.005336821933752175,True,0.0773557703888747,True,True,True,retained,1
HCC1143,ACH-000374,ZNF131,43,3,0.010552203785438943,True,0.9463812533969612,True,True,True,retained,1
HCC1143,ACH-000374,ZNF24,462,3,0.004361630795334456,True,0.0092505619875028,True,True,True,retained,1
HCC1143,ACH-000374,ZNF566,372,3,0.004454881018122255,True,0.0082561267211935,True,True,True,retained,1
HCC38,ACH-000276,ARID1A,365,3,0.008536561753634623,True,0.0939245801107399,True,True,True,retained,1
HCC38,ACH-000276,BMPR1A,212,3,0.00561979138900136,True,0.2329854350238944,True,True,True,retained,1
HCC38,ACH-000276,CDKN2A,399,3,0.004055104053415835,True,0.0034117871973033,True,True,True,retained,1
HCC38,ACH-000276,COMMD6,395,3,0.004220227038888243,True,0.0087958879569685,True,True,True,retained,1
HCC38,ACH-000276,ENY2,93,3,0.010339785802070166,True,0.4895161201697765,True,True,True,retained,1
HCC38,ACH-000276,ERC1,433,3,0.004171722448010009,True,0.0054295617631019,True,True,True,retained,1
HCC38,ACH-000276,ETV3,244,3,0.005129888837665661,True,0.0807914252803547,True,True,True,retained,1
HCC38,ACH-000276,GON4L,167,3,0.0060144581054616415,True,0.3129469325001975,True,True,True,retained,1
HCC38,ACH-000276,HDGF,254,3,0.005394002040088988,True,0.0286996254177853,True,True,True,retained,1
HCC38,ACH-000276,HLX,289,3,0.005299129476927784,True,0.006315463793662,True,True,True,retained,1
HCC38,ACH-000276,KLF3,236,3,0.005467660465639567,True,0.1616884807733207,True,True,True,retained,1
HCC38,ACH-000276,LAMTOR5,157,3,0.010643549079412291,True,0.0890975409858624,True,True,True,retained,1
HCC38,ACH-000276,MAML3,423,3,0.0039010408237359715,True,0.009549016733777,True,True,True,retained,1
HCC38,ACH-000276,MIER1,267,3,0.004993865536082876,True,0.0068709338808792,True,True,True,retained,1
HCC38,ACH-000276,MTDH,282,3,0.005631016215860502,True,0.0342163047187118,True,True,True,retained,1
HCC38,ACH-000276,MYBL1,220,3,0.007140723950464897,True,0.0145675964421822,True,True,True,retained,1
HCC38,ACH-000276,NCOA1,389,3,0.004348904156425673,True,0.0459486880054965,True,True,True,retained,1
HCC38,ACH-000276,NPM1,80,3,0.01137230523851424,True,0.8555302996262993,True,True,True,retained,1
HCC38,ACH-000276,PA2G4,194,3,0.0071702138866234725,True,0.3764696904296344,True,True,True,retained,1
HCC38,ACH-000276,PARK7,254,3,0.005056073328570589,True,0.0215311147572859,True,True,True,retained,1
HCC38,ACH-000276,PCBD1,428,3,0.00416900868106558,True,0.0210892465180688,True,True,True,retained,1
HCC38,ACH-000276,PEX14,439,3,0.004391741095693049,True,0.0049454685061893,True,True,True,retained,1
HCC38,ACH-000276,PFDN5,67,3,0.009117979124110323,True,0.8201974002162512,True,True,True,retained,1
HCC38,ACH-000276,PMF1,94,3,0.009200857886040558,True,0.9978434877605236,True,True,True,retained,1
HCC38,ACH-000276,PRDX2,302,3,0.004864395889773281,True,0.1572365253337959,True,True,True,retained,1
HCC38,ACH-000276,PRPF6,25,3,0.014479874104001962,True,0.9972796156547944,True,True,True,retained,1
HCC38,ACH-000276,RORC,296,3,0.0047603589109585145,True,0.263229534078098,True,True,True,retained,1
HCC38,ACH-000276,RPS3,69,3,0.009691186602217676,True,1.0,True,True,True,retained,1
HCC38,ACH-000276,RUVBL2,95,3,0.008250114693447786,True,0.978029448287533,True,True,True,retained,1
HCC38,ACH-000276,SMAD1,321,3,0.004564479802159118,True,0.0125810954880103,True,True,True,retained,1
HCC38,ACH-000276,SMAD5,290,3,0.005688207224826785,True,,True,False,False,exact_model_endpoint_missing,1
HCC38,ACH-000276,SS18L2,8,3,0.02376829049902504,True,1.0,False,True,False,below_minimum_cells,1
HCC38,ACH-000276,STAT3,394,3,0.004942159592490753,True,0.0235621693286022,True,True,True,retained,1
HCC38,ACH-000276,TAB3,246,3,0.005355838101385048,True,0.0271522701939877,True,True,True,retained,1
HCC38,ACH-000276,TADA3,177,3,0.00914008729378748,True,0.035551946395066,True,True,True,retained,1
HCC38,ACH-000276,THAP8,276,3,0.005056369411523649,True,0.0267473201978675,True,True,True,retained,1
HCC38,ACH-000276,THRA,266,3,0.005841915188375929,True,0.0573416619307745,True,True,True,retained,1
HCC38,ACH-000276,TMF1,206,3,0.006302576810980054,True,0.0809743969956026,True,True,True,retained,1
HCC38,ACH-000276,TMSB4X,352,3,0.004512691594923522,True,0.2174493812731642,True,True,True,retained,1
HCC38,ACH-000276,UBP1,371,3,0.004398069047543032,True,0.0201784564207119,True,True,True,retained,1
HCC38,ACH-000276,UXT,12,3,0.02142191271229322,True,0.7604185997179438,False,True,False,below_minimum_cells,1
HCC38,ACH-000276,VEZF1,226,3,0.007374058118823742,True,0.0694464693745538,True,True,True,retained,1
HCC38,ACH-000276,XBP1,394,3,0.004028296169765673,True,0.0113924113087519,True,True,True,retained,1
HCC38,ACH-000276,YBX1,177,3,0.007649459916197103,True,1.0,True,True,True,retained,1
HCC38,ACH-000276,ZBTB17,139,3,0.007946519125533668,True,0.2634223656448051,True,True,True,retained,1
HCC38,ACH-000276,ZBTB20,471,3,0.00480626581922073,True,0.0018330352467763,True,True,True,retained,1
HCC38,ACH-000276,ZBTB5,363,3,0.004638409954985529,True,0.0143722132742512,True,True,True,retained,1
HCC38,ACH-000276,ZNF131,118,3,0.009845468536304707,True,0.6622862073859538,True,True,True,retained,1
HCC38,ACH-000276,ZNF24,472,3,0.003971022135883837,True,0.0403071652767106,True,True,True,retained,1
HCC38,ACH-000276,ZNF566,372,3,0.004541164716348827,True,0.0863639716532793,True,True,True,retained,1
