cell_line,context_role,target_gene,n_cells_target,observed_shift_mean_abs,matched_null_shift_mean,noise_corrected_shift,equal_n_primary_shift,depmap_gene_dependency,corrected_shift_percentile,corrected_dependency_percentile,corrected_shift_band,corrected_dependency_band,endpoint_category,raw_category,category_changed_from_raw
HCC1143,qualified_primary_context,ARID1A,195,0.0073327186787757,0.0048052333428389,0.0025274853359367,0.0149698629334307,0.2654515287532237,0.7916666666666666,0.7916666666666666,high,high,endpoint_anchor,middle,True
HCC1143,qualified_primary_context,BMPR1A,93,0.0070281282052424,0.0066565208193519,0.0003716073858904,0.013708179679072,0.307130270365165,0.1875,0.8125,low,high,dependency_excess,middle,True
HCC1143,qualified_primary_context,CDKN2A,169,0.0050523230156554,0.0051075672526007,-5.524423694538636e-05,0.0137339112205155,6.198489826465077e-05,0.041666666666666664,0.020833333333333332,low,low,low_information,middle,True
HCC1143,qualified_primary_context,COMMD6,324,0.0045342930040741,0.0039866948278788,0.0005475981761952,0.014072970551924,0.1351756293730245,0.3958333333333333,0.625,middle,middle,middle,middle,False
HCC1143,qualified_primary_context,ENY2,161,0.0105137437444661,0.0052166660305484,0.0052970777139176,0.0176433942167485,0.148881151602389,0.9791666666666666,0.6875,high,middle,middle,middle,False
HCC1143,qualified_primary_context,ERC1,412,0.0048784834929897,0.0037057192444415,0.0011727642485481,0.0140050132111776,0.0303840215886299,0.625,0.4583333333333333,middle,middle,middle,middle,False
HCC1143,qualified_primary_context,ETV3,187,0.0053871026377591,0.0049046898578923,0.0004824127798667,0.0136492645426465,0.1444988533493548,0.3541666666666667,0.6666666666666666,middle,middle,middle,middle,False
HCC1143,qualified_primary_context,GON4L,115,0.0076879048971422,0.0060481406117831,0.001639764285359,0.0150544461269532,0.1493363288328347,0.7083333333333334,0.7083333333333334,middle,middle,middle,middle,False
HCC1143,qualified_primary_context,HDGF,319,0.0039901671750222,0.00399239921076,-2.232035737835883e-06,0.0139084989174735,0.0196252078195258,0.08333333333333333,0.3125,low,middle,middle,middle,False
HCC1143,qualified_primary_context,HLX,213,0.0050212083343797,0.0046405994340213,0.0003806089003583,0.0136070111463687,0.0236239287972883,0.20833333333333334,0.375,low,middle,middle,middle,False
HCC1143,qualified_primary_context,KLF3,223,0.0053919861225157,0.0045723960104434,0.0008195901120722,0.0141017240814643,0.0369385703770605,0.5625,0.4791666666666667,middle,middle,middle,middle,False
HCC1143,qualified_primary_context,LAMTOR5,274,0.0093777769035242,0.0042299068060674,0.0051478700974567,0.0167635470247819,0.1226400958971878,0.9583333333333334,0.5833333333333334,high,middle,middle,middle,False
HCC1143,qualified_primary_context,MAML3,341,0.0042930848646172,0.0039057684681849,0.0003873163964322,0.0140282318980046,0.0050198572939971,0.25,0.0625,low,low,low_information,low_information,False
HCC1143,qualified_primary_context,MIER1,254,0.0057833931966825,0.0043319769877014,0.001451416208981,0.0147550627671587,0.0105919574277721,0.6458333333333334,0.20833333333333334,middle,low,middle,middle,False
HCC1143,qualified_primary_context,MTDH,290,0.0047338690320834,0.0041333895302541,0.0006004795018292,0.0140549787094812,0.0123435627679496,0.4375,0.2708333333333333,middle,middle,middle,middle,False
HCC1143,qualified_primary_context,MYBL1,142,0.0084130142568229,0.0055200901095998,0.002892924147223,0.0155542507092412,0.0210310036855235,0.8541666666666666,0.3333333333333333,high,middle,middle,middle,False
HCC1143,qualified_primary_context,NCOA1,334,0.0039071575713196,0.0039444754768803,-3.731790556072735e-05,0.0137410260822874,0.0248991192692647,0.0625,0.3958333333333333,low,middle,middle,middle,False
HCC1143,qualified_primary_context,NPM1,125,0.0074812035133293,0.005835733598033,0.0016454699152962,0.0150195113414971,0.1622748801750765,0.7291666666666666,0.7291666666666666,middle,middle,middle,middle,False
HCC1143,qualified_primary_context,PA2G4,154,0.0059315461556859,0.005306283814326,0.0006252623413598,0.0141723685067049,0.0861889371200693,0.4791666666666667,0.5625,middle,middle,middle,middle,False
HCC1143,qualified_primary_context,PARK7,215,0.0061480042391653,0.0046325225035091,0.0015154817356561,0.0155558797909663,0.1318604273725387,0.6875,0.6041666666666666,middle,middle,middle,middle,False
HCC1143,qualified_primary_context,PCBD1,214,0.004675198066501,0.0046400967149133,3.5101351587623654e-05,0.0136014740086021,0.0111916491629234,0.10416666666666667,0.25,low,low,low_information,middle,True
HCC1143,qualified_primary_context,PEX14,282,0.0044493142820248,0.0041738937212427,0.000275420560782,0.0137277437581533,0.0227993432195642,0.14583333333333334,0.3541666666666667,low,middle,middle,middle,False
HCC1143,qualified_primary_context,PFDN5,57,0.0102329499993855,0.0083087201758618,0.0019242298235236,0.0150359383243839,0.9694975960688984,0.7708333333333334,0.8958333333333334,high,high,endpoint_anchor,endpoint_anchor,False
HCC1143,qualified_primary_context,PMF1,40,0.0127756932567781,0.0098333755627161,0.0029423176940619,0.0165014583059142,0.9510487581740272,0.875,0.875,high,high,endpoint_anchor,endpoint_anchor,False
HCC1143,qualified_primary_context,PRDX2,186,0.0055213995831513,0.004910142028479,0.0006112575546722,0.0144906463072833,0.1660158727868937,0.4583333333333333,0.75,middle,high,middle,middle,False
HCC1143,qualified_primary_context,PRPF6,23,0.0154111896961658,0.0128228694347261,0.0025883202614396,0.0161807344389335,1.0,0.8125,0.96875,high,high,endpoint_anchor,endpoint_anchor,False
HCC1143,qualified_primary_context,RORC,230,0.0045634026869297,0.00450369465067,5.970803625961543e-05,0.0139372663017795,0.0451125018855452,0.125,0.5,low,middle,middle,middle,False
