pathway	ES	NES	pval	padj	log2err	size	n_genes_in_set	direction	leading_edge	context	contrast_id	positive_category	negative_category	collection	ranking_method	claim_boundary	padj_within_context_contrast	display_label	q_value	minus_log10_FDR	term_order	panel	genome_wide_pearson_r	genome_wide_sign_agreement	mean_NES	mean_ES	mean_pval	mean_padj	median_NES	median_ES	median_pval	median_padj	NES_difference	sign_agree	pathway_label	full_NES	full_padj	loo_NES_min	loo_NES_max	loo_NES_median	loo_NES_mean	loo_sign_retained_fraction	loo_fdr010_retained_fraction	loo_fdr005_retained_fraction
Myc Targets V1										HCC38												c	0.8127372686727716	0.6304282473832363	-1.95026327884799	-0.820747297256772	1e-10	5e-09	-1.8277889610088	-0.781859256326189	1e-10	5e-09	-0.1224743178391898	True	MYC Targets V1									
E2F Targets										HCC38												c	0.8127372686727716	0.6304282473832363	-1.65190353703246	-0.694495803968757	1.84098612011713e-06	3.06831020019522e-05	-1.4785951423661	-0.632382845715489	0.0003767498838778	0.0033493890399072	-0.17330839466636	True	E2F Targets									
G2-M Checkpoint										HCC38												c	0.8127372686727716	0.6304282473832363	-1.62495522546412	-0.684303950614596	5.01325688848203e-06	6.26657111060254e-05	-1.51296243737521	-0.647612145353431	0.0002159883800896	0.0026998547511211	-0.11199278808891	True	G2-M Checkpoint									
Mitotic Spindle										HCC38												c	0.8127372686727716	0.6304282473832363	-1.44338904739184	-0.60642729915171	0.0022913508771254	0.0127297270951415	-1.37955959378275	-0.589786498453131	0.0056173463655769	0.0274666756353771	-0.0638294536090899	True	Mitotic Spindle									
mTORC1 Signaling										HCC38												c	0.8127372686727716	0.6304282473832363	-1.75366985582011	-0.737280554893339	7.0597826793527805e-09	1.76494566983819e-07	-1.65702733741786	-0.708696811615262	2.28785826075519e-07	5.71964565188798e-06	-0.0966425184022501	True	mTORC1 Signaling									
Glycolysis										HCC38												c	0.8127372686727716	0.6304282473832363	-1.5029410085967	-0.631447535419893	0.0004997010756215	0.0041641756301798	-1.49583641137278	-0.639496925901687	0.0004019266847888	0.0033493890399072	-0.00710459722392	True	Glycolysis									
p53 Pathway										HCC38												c	0.8127372686727716	0.6304282473832363	0.989898520618659	0.348511541327117	0.446601941747573	0.55291504108486	-1.02994809451782	-0.440572991966111	0.408395228449246	0.499890134036476	2.019846615136479	False	p53 Pathway									
TNF-alpha Signaling via NF-kB										HCC38												c	0.8127372686727716	0.6304282473832363	0.979809473844066	0.34443554647265	0.498759305210918	0.579952680477812	-0.896381072885171	-0.383027468207463	0.735973967684022	0.782951029451087	1.876190546729237	False	TNF-alpha / NF-κB									
Myc Targets V1										HCC1143												c	0.9136740058063056	0.6348828947008828	-1.62552959573515	-0.718803278188061	4.14853006831949e-06	5.18566258539937e-05	-1.61986526022951	-0.730571828385586	7.33041378358762e-06	9.16301722948453e-05	-0.00566433550564	True	MYC Targets V1									
E2F Targets										HCC1143												c	0.9136740058063056	0.6348828947008828	-1.7932426190015	-0.79225248047855	1.05720765058616e-10	2.64301912646539e-09	-1.73472186503913	-0.782105449289055	2.70542809623743e-09	6.76357024059356e-08	-0.05852075396237	True	E2F Targets									
