evidence_type	cell_line	analysis	n_targets	estimate	interval_low	interval_high	interval_type	source_file	note
anchor_influence	HCC1143	all_four_anchors	44	0.724838			not_applicable	reports/truth_driven_bridge/sensitivity/leave_anchor_out_summary.tsv	rho_delta=-0.054412
anchor_influence	HCC1143	jackknife_max	47	0.806489			not_applicable	reports/truth_driven_bridge/sensitivity/leave_anchor_out_summary.tsv	rho_delta=0.027239
anchor_influence	HCC1143	jackknife_min	47	0.765583			not_applicable	reports/truth_driven_bridge/sensitivity/leave_anchor_out_summary.tsv	rho_delta=-0.013666
anchor_influence	HCC1143	none	48	0.77925			not_applicable	reports/truth_driven_bridge/sensitivity/leave_anchor_out_summary.tsv	rho_delta=0.000000
anchor_influence	HCC38	all_four_anchors	43	0.664552			not_applicable	reports/truth_driven_bridge/sensitivity/leave_anchor_out_summary.tsv	rho_delta=-0.061243
anchor_influence	HCC38	jackknife_max	46	0.751303			not_applicable	reports/truth_driven_bridge/sensitivity/leave_anchor_out_summary.tsv	rho_delta=0.025507
anchor_influence	HCC38	jackknife_min	46	0.710352			not_applicable	reports/truth_driven_bridge/sensitivity/leave_anchor_out_summary.tsv	rho_delta=-0.015444
anchor_influence	HCC38	none	47	0.725796			not_applicable	reports/truth_driven_bridge/sensitivity/leave_anchor_out_summary.tsv	rho_delta=0.000000
control_cell_subsampling	HCC1143	real_DEG_burden	48	0.7051065293757022	0.6653687907228616	0.7421523073685213	24_replicate_interval	reports/truth_driven_bridge/sensitivity/control_subsample_summary.tsv	control subsample n=24 replicates
control_cell_subsampling	HCC1143	real_Edistance	48	0.7342848235510563	0.695461234158897	0.7565734031948704	24_replicate_interval	reports/truth_driven_bridge/sensitivity/control_subsample_summary.tsv	control subsample n=24 replicates
control_cell_subsampling	HCC1143	real_shift_L2	48	0.7608334970956124	0.7458779253047323	0.774415034776833	24_replicate_interval	reports/truth_driven_bridge/sensitivity/control_subsample_summary.tsv	control subsample n=24 replicates
control_cell_subsampling	HCC1143	real_shift_mean_abs	48	0.7794080675177621	0.7651487876250599	0.7931579096733963	24_replicate_interval	reports/truth_driven_bridge/sensitivity/control_subsample_summary.tsv	control subsample n=24 replicates
control_cell_subsampling	HCC1143	real_shift_top100_mean	48	0.7264962172956109	0.7058879678076333	0.7407948587186196	24_replicate_interval	reports/truth_driven_bridge/sensitivity/control_subsample_summary.tsv	control subsample n=24 replicates
control_cell_subsampling	HCC1143	real_shift_top20_mean	48	0.7061956211479586	0.6811119204210111	0.7268228727540152	24_replicate_interval	reports/truth_driven_bridge/sensitivity/control_subsample_summary.tsv	control subsample n=24 replicates
control_cell_subsampling	HCC1143	real_shift_top50_concentration	48	0.2664911331154473	0.1919173207147036	0.3255524306930453	24_replicate_interval	reports/truth_driven_bridge/sensitivity/control_subsample_summary.tsv	control subsample n=24 replicates
control_cell_subsampling	HCC1143	real_shift_top50_mean	48	0.7157215639134771	0.6968022407776097	0.7366605407423048	24_replicate_interval	reports/truth_driven_bridge/sensitivity/control_subsample_summary.tsv	control subsample n=24 replicates
control_cell_subsampling	HCC38	real_DEG_burden	47	0.5705137233301059	0.4947132622736594	0.6692809300568351	24_replicate_interval	reports/truth_driven_bridge/sensitivity/control_subsample_summary.tsv	control subsample n=24 replicates
control_cell_subsampling	HCC38	real_Edistance	47	0.6182942579169114	0.5886184270043728	0.6364863695527788	24_replicate_interval	reports/truth_driven_bridge/sensitivity/control_subsample_summary.tsv	control subsample n=24 replicates
control_cell_subsampling	HCC38	real_shift_L2	47	0.7005483124741358	0.6832947879470607	0.7139834063866429	24_replicate_interval	reports/truth_driven_bridge/sensitivity/control_subsample_summary.tsv	control subsample n=24 replicates
control_cell_subsampling	HCC38	real_shift_mean_abs	47	0.7252922246774353	0.7057890783788247	0.7410713772574343	24_replicate_interval	reports/truth_driven_bridge/sensitivity/control_subsample_summary.tsv	control subsample n=24 replicates
control_cell_subsampling	HCC38	real_shift_top100_mean	47	0.6326404751470397	0.6017706920499082	0.6572099681853583	24_replicate_interval	reports/truth_driven_bridge/sensitivity/control_subsample_summary.tsv	control subsample n=24 replicates
control_cell_subsampling	HCC38	real_shift_top20_mean	47	0.6322020181300987	0.6085051027375825	0.650831141320214	24_replicate_interval	reports/truth_driven_bridge/sensitivity/control_subsample_summary.tsv	control subsample n=24 replicates
control_cell_subsampling	HCC38	real_shift_top50_concentration	47	0.2266702322360277	0.154605244203254	0.2718264867719682	24_replicate_interval	reports/truth_driven_bridge/sensitivity/control_subsample_summary.tsv	control subsample n=24 replicates
control_cell_subsampling	HCC38	real_shift_top50_mean	47	0.6287256803529241	0.6048090546310396	0.6515278543383421	24_replicate_interval	reports/truth_driven_bridge/sensitivity/control_subsample_summary.tsv	control subsample n=24 replicates
shift_metric_definition	HCC1143	alternative_real_DEG_burden	48	0.7135785375072098	0.5380464917763861	0.8294508240281689	target_bootstrap_95pct	reports/revision/m1_bridge_confounding/bridge_inference_summary.tsv	dependency-probability endpoint
shift_metric_definition	HCC1143	alternative_real_shift_L2	48	0.7612248502417618	0.5950625772752184	0.8626936443510284	target_bootstrap_95pct	reports/revision/m1_bridge_confounding/bridge_inference_summary.tsv	dependency-probability endpoint
shift_metric_definition	HCC1143	alternative_real_shift_top100_mean	48	0.7324502142936743	0.5615122415742879	0.8395836926109942	target_bootstrap_95pct	reports/revision/m1_bridge_confounding/bridge_inference_summary.tsv	dependency-probability endpoint
shift_metric_definition	HCC1143	alternative_real_shift_top20_mean	48	0.7044899548346837	0.5223266333095454	0.818937375705432	target_bootstrap_95pct	reports/revision/m1_bridge_confounding/bridge_inference_summary.tsv	dependency-probability endpoint
shift_metric_definition	HCC1143	alternative_real_shift_top50_mean	48	0.7276725388909729	0.5596723116849398	0.8350557041548535	target_bootstrap_95pct	reports/revision/m1_bridge_confounding/bridge_inference_summary.tsv	dependency-probability endpoint
shift_metric_definition	HCC1143	raw_observed_shift	48	0.7792497165337711	0.6241579278848234	0.8815112842415379	target_bootstrap_95pct	reports/revision/m1_bridge_confounding/bridge_inference_summary.tsv	dependency-probability endpoint
shift_metric_definition	HCC38	alternative_real_DEG_burden	47	0.5510637306326212	0.3072230003939364	0.746613479311831	target_bootstrap_95pct	reports/revision/m1_bridge_confounding/bridge_inference_summary.tsv	dependency-probability endpoint
shift_metric_definition	HCC38	alternative_real_shift_L2	47	0.7019745023314382	0.5203313531719492	0.8199205265079686	target_bootstrap_95pct	reports/revision/m1_bridge_confounding/bridge_inference_summary.tsv	dependency-probability endpoint
shift_metric_definition	HCC38	alternative_real_shift_top100_mean	47	0.6400508805542395	0.4383332166667537	0.7824149811982153	target_bootstrap_95pct	reports/revision/m1_bridge_confounding/bridge_inference_summary.tsv	dependency-probability endpoint
shift_metric_definition	HCC38	alternative_real_shift_top20_mean	47	0.6333439336577362	0.4232707011039382	0.7817462580836079	target_bootstrap_95pct	reports/revision/m1_bridge_confounding/bridge_inference_summary.tsv	dependency-probability endpoint
shift_metric_definition	HCC38	alternative_real_shift_top50_mean	47	0.6273886273617031	0.4184947208423303	0.7753891770582597	target_bootstrap_95pct	reports/revision/m1_bridge_confounding/bridge_inference_summary.tsv	dependency-probability endpoint
shift_metric_definition	HCC38	raw_observed_shift	47	0.7257957275155708	0.5526321122193196	0.8355684783264452	target_bootstrap_95pct	reports/revision/m1_bridge_confounding/bridge_inference_summary.tsv	dependency-probability endpoint
