cell_line	depth	status	n_targets	target_genes	median_observed_shift	min_observed_shift	max_observed_shift	median_dependency	min_dependency	max_dependency
HCC1143	20	retained	48	ARID1A,BMPR1A,CDKN2A,COMMD6,ENY2,ERC1,ETV3,GON4L,HDGF,HLX,KLF3,LAMTOR5,MAML3,MIER1,MTDH,MYBL1,NCOA1,NPM1,PA2G4,PARK7,PCBD1,PEX14,PFDN5,PMF1,PRDX2,PRPF6,RORC,RPS3,RUVBL2,SMAD1,SS18L2,STAT3,TAB3,TADA3,THAP8,THRA,TMF1,TMSB4X,UBP1,VEZF1,XBP1,YBX1,ZBTB17,ZBTB20,ZBTB5,ZNF131,ZNF24,ZNF566	0.0054566928528335	0.0039071575713196	0.0243279181183303	0.04572316802760515	6.198489826465077e-05	1.0
HCC1143	20	excluded	0							
HCC1143	25	retained	47	ARID1A,BMPR1A,CDKN2A,COMMD6,ENY2,ERC1,ETV3,GON4L,HDGF,HLX,KLF3,LAMTOR5,MAML3,MIER1,MTDH,MYBL1,NCOA1,NPM1,PA2G4,PARK7,PCBD1,PEX14,PFDN5,PMF1,PRDX2,RORC,RPS3,RUVBL2,SMAD1,SS18L2,STAT3,TAB3,TADA3,THAP8,THRA,TMF1,TMSB4X,UBP1,VEZF1,XBP1,YBX1,ZBTB17,ZBTB20,ZBTB5,ZNF131,ZNF24,ZNF566	0.0053919861225157	0.0039071575713196	0.0243279181183303	0.0451125018855452	6.198489826465077e-05	1.0
HCC1143	25	excluded	1	PRPF6	0.0154111896961658	0.0154111896961658	0.0154111896961658	1.0	1.0	1.0
HCC1143	50	retained	44	ARID1A,BMPR1A,CDKN2A,COMMD6,ENY2,ERC1,ETV3,GON4L,HDGF,HLX,KLF3,LAMTOR5,MAML3,MIER1,MTDH,MYBL1,NCOA1,NPM1,PA2G4,PARK7,PCBD1,PEX14,PFDN5,PRDX2,RORC,RPS3,RUVBL2,SMAD1,STAT3,TAB3,TADA3,THAP8,THRA,TMF1,TMSB4X,UBP1,VEZF1,XBP1,YBX1,ZBTB17,ZBTB20,ZBTB5,ZNF24,ZNF566	0.00536514233810425	0.0039071575713196	0.0119327730703482	0.0336612959828452	6.198489826465077e-05	1.0
HCC1143	50	excluded	4	PMF1,PRPF6,SS18L2,ZNF131	0.01409344147647195	0.0105522037854389	0.0243279181183303	0.9755243790870136	0.9463812533969612	1.0
HCC1143	100	retained	39	ARID1A,CDKN2A,COMMD6,ENY2,ERC1,ETV3,GON4L,HDGF,HLX,KLF3,LAMTOR5,MAML3,MIER1,MTDH,MYBL1,NCOA1,NPM1,PA2G4,PARK7,PCBD1,PEX14,PRDX2,RORC,SMAD1,STAT3,TAB3,TADA3,THAP8,THRA,TMF1,TMSB4X,UBP1,VEZF1,XBP1,YBX1,ZBTB20,ZBTB5,ZNF24,ZNF566	0.0050716034302432	0.0039071575713196	0.0105137437444661	0.0275909199432945	6.198489826465077e-05	0.9913468022551738
HCC1143	100	excluded	9	BMPR1A,PFDN5,PMF1,PRPF6,RPS3,RUVBL2,SS18L2,ZBTB17,ZNF131	0.010587215682323	0.0070281282052424	0.0243279181183303	0.9694975960688984	0.307130270365165	1.0
HCC38	20	retained	47	ARID1A,BMPR1A,CDKN2A,COMMD6,ENY2,ERC1,ETV3,GON4L,HDGF,HLX,KLF3,LAMTOR5,MAML3,MIER1,MTDH,MYBL1,NCOA1,NPM1,PA2G4,PARK7,PCBD1,PEX14,PFDN5,PMF1,PRDX2,PRPF6,RORC,RPS3,RUVBL2,SMAD1,STAT3,TAB3,TADA3,THAP8,THRA,TMF1,TMSB4X,UBP1,VEZF1,XBP1,YBX1,ZBTB17,ZBTB20,ZBTB5,ZNF131,ZNF24,ZNF566	0.005355838101385	0.0039010408237359	0.0144798741040019	0.0573416619307745	0.0018330352467763	1.0
HCC38	20	excluded	0							
