cell_line	depth	target_gene	n_cells_available	equal_n_shift_mean	equal_n_shift_sd	equal_n_shift_q025	equal_n_shift_q975
HCC38	20	ARID1A	365	0.018730510896531993	0.0012366686581610075	0.01668932684660761	0.021398233977772487
HCC38	20	BMPR1A	212	0.015810949388342925	0.0008467370536781525	0.01439878629007361	0.01782406587843494
HCC38	20	CDKN2A	399	0.01579686381859818	0.0010447283043752637	0.014294371639351211	0.01821253129524157
HCC38	20	COMMD6	395	0.015861046752318912	0.0008185858774103879	0.014585425928236058	0.01771972542806565
HCC38	20	ENY2	93	0.017483248729256325	0.0009002131323115881	0.01592648913102349	0.019436565532276753
HCC38	20	ERC1	433	0.016056468420298998	0.0009236889411291734	0.014570169904401959	0.018235692765095998
HCC38	20	ETV3	244	0.015638488896232684	0.0009259393615934355	0.014257999233738652	0.017955245602810636
HCC38	20	GON4L	167	0.01591782934056566	0.0008294641377308594	0.014536619346946483	0.017704846682324388
HCC38	20	HDGF	254	0.01612950460664559	0.00088111922193651	0.014751260994232266	0.018206653728811088
HCC38	20	HLX	289	0.01636875724332468	0.0010344070704029504	0.014632326410413071	0.018663353421819802
HCC38	20	KLF3	236	0.01627687652027444	0.0009059126099263223	0.014851120518386956	0.018248707285417855
HCC38	20	LAMTOR5	157	0.0184613157123066	0.001115621937316764	0.016444399124512284	0.020898010111082433
HCC38	20	MAML3	423	0.015750230523774843	0.0008795883943556534	0.014360008611541592	0.01780156476654544
HCC38	20	MIER1	267	0.01571894031073215	0.0009301363546809087	0.014260577623628397	0.017867877257135137
HCC38	20	MTDH	282	0.016839023907451966	0.0012965121240547204	0.014920737144046974	0.020011508798678062
HCC38	20	MYBL1	220	0.016116475198679644	0.0006967854296725159	0.014941253693840853	0.017599550278158346
HCC38	20	NCOA1	389	0.016101789680617342	0.0011254672336667767	0.014501010867012458	0.018666936871913353
HCC38	20	NPM1	80	0.01807644710860506	0.0012830683534512037	0.01594126351993993	0.020805034259675864
HCC38	20	PA2G4	194	0.01633976129342324	0.0008171308934940224	0.015058355159311011	0.018314991212715556
HCC38	20	PARK7	254	0.015739863383714123	0.0008545768597768063	0.014367530651836722	0.017856543198901512
HCC38	20	PCBD1	428	0.015965427913824506	0.000990059083477385	0.014431134744764814	0.018072889606127858
HCC38	20	PEX14	439	0.016691781948556122	0.0015865330303710006	0.014524579699758709	0.020733960383090326
HCC38	20	PFDN5	67	0.016194749575233657	0.0009143740791960848	0.014762609567609351	0.018334616537324756
HCC38	20	PMF1	94	0.017665440799973252	0.0016646488750767987	0.015204201626693123	0.021591612300256843
HCC38	20	PRDX2	302	0.01566382341056922	0.0009079002374588329	0.01425143077184668	0.017675266022379333
HCC38	20	PRPF6	25	0.016059701022082484	0.0003679912889301516	0.015361878630608894	0.016775105863137
HCC38	20	RORC	296	0.01610388230692081	0.0009826610393506672	0.014564187934415378	0.018486009708434125
HCC38	20	RPS3	69	0.016591884877505365	0.0010446941201464567	0.014963294564895821	0.01901811221985196
HCC38	20	RUVBL2	95	0.0170069005853995	0.0012324247490629989	0.015020676515688815	0.01987891586803788
HCC38	20	SMAD1	321	0.01597370632158639	0.001153530175065904	0.014331897765057522	0.018953978571833657
HCC38	20	STAT3	394	0.016368559392303854	0.0009348712974879979	0.014821314872303872	0.018382661259360767
HCC38	20	TAB3	246	0.01579454357003908	0.0009604386082050199	0.014346645920797941	0.01811660086832603
HCC38	20	TADA3	177	0.017478220320837304	0.00096239121523808	0.015879480277230417	0.019661255479521765
HCC38	20	THAP8	276	0.01587140413168277	0.0009483181889603829	0.01442018668885687	0.01806891467865214
HCC38	20	THRA	266	0.01621383100907029	0.0009800995054950205	0.014683472998329693	0.018611138525980907
HCC38	20	TMF1	206	0.01622865686877566	0.0012475933805185843	0.014469769159943843	0.019297518987396855
HCC38	20	TMSB4X	352	0.016015804561714524	0.0009857520604693185	0.014460192540386474	0.018255168313333927
HCC38	20	UBP1	371	0.01565502639947472	0.0007903456862972948	0.0143996684463166	0.01751321344317753
HCC38	20	VEZF1	226	0.017160406991650404	0.001139098834870027	0.015343273234887142	0.019571166148938446
HCC38	20	XBP1	394	0.015437540800106543	0.0008508215054148725	0.014146050129584694	0.017531025124089605
HCC38	20	YBX1	177	0.016674742128020056	0.000821885892613335	0.015340957958183674	0.018608121381942035
HCC38	20	ZBTB17	139	0.016890436285926572	0.0010364975198093472	0.015212799019295429	0.01914025811606792
