cell_line	target_gene	n_cells_target	observed_shift_mean_abs	matched_null_shift_mean	matched_null_shift_sd	matched_null_shift_q025	matched_null_shift_q975	noise_corrected_shift
HCC38	ARID1A	365	0.0085365617536346	0.004279275453684401	0.0001808003619358418	0.004044805101304719	0.004746117904346477	0.0042572862999502
HCC38	BMPR1A	212	0.0056197913890013	0.005279401572689277	0.00021209679767546469	0.004988021420254168	0.005795997502509035	0.00034038981631202316
HCC38	CDKN2A	399	0.0040551040534158	0.00413345278976794	0.00016372274582148057	0.003922358555867767	0.004571363324884246	-7.83487363521405e-05
HCC38	COMMD6	395	0.0042202270388882	0.004152412517571239	0.00017926038591268236	0.003919996079733199	0.004603949734949983	6.78145213169612e-05
HCC38	ENY2	93	0.0103397858020701	0.007645528491639819	0.00034729783384688644	0.007173904685234331	0.008530918321086595	0.0026942573104302816
HCC38	ERC1	433	0.00417172244801	0.004017669305619045	0.0001672161123016561	0.003815468692247875	0.0044792278857493754	0.00015405314239095528
HCC38	ETV3	244	0.0051298888376656	0.004982591071783028	0.00020872823851065977	0.004710418534700665	0.005550247329079717	0.000147297765882572
HCC38	GON4L	167	0.0060144581054616	0.005846513129882053	0.0002293757651659162	0.005516509157277494	0.006408156819337954	0.00016794497557954657
HCC38	HDGF	254	0.0053940020400889	0.004894568649505838	0.00019160497286258065	0.0046253206624430636	0.005364732703549269	0.0004994333905830621
HCC38	HLX	289	0.0052991294769277	0.004645646088018761	0.00017319385340715382	0.004396855392835781	0.0050924646810064445	0.0006534833889089387
HCC38	KLF3	236	0.0054676604656395	0.005052472612986864	0.0002103659718576283	0.004766319214938622	0.005603999689709013	0.000415187852652636
HCC38	LAMTOR5	157	0.0106435490794122	0.006031570011597674	0.0002724072477651447	0.005665625826663324	0.006673213165396983	0.004611979067814525
HCC38	MAML3	423	0.0039010408237359	0.0040598705917933775	0.00016432363547597915	0.0038323333163299608	0.004476509428243761	-0.00015882976805747752
HCC38	MIER1	267	0.0049938655360828	0.004805045897789356	0.00019258289662545697	0.004543038392137921	0.0053136872927926175	0.00018881963829344393
HCC38	MTDH	282	0.0056310162158605	0.004715265686063973	0.00020436368226320854	0.0044497529876082395	0.005266241183426913	0.0009157505297965269
HCC38	MYBL1	220	0.0071407239504648	0.005199614170322037	0.0002287322705973616	0.004901936474302642	0.005816456770711396	0.0019411097801427628
HCC38	NCOA1	389	0.0043489041564256	0.004166916707238754	0.00016691089079358263	0.003956468385796378	0.004598915728284329	0.00018198744918684548
HCC38	NPM1	80	0.0113723052385142	0.008200025354672381	0.0003835433461960892	0.007672196020374442	0.009135238138379553	0.0031722798838418192
HCC38	PA2G4	194	0.0071702138866234	0.005491987336879326	0.00023287329019847634	0.005171185861455993	0.006066182369896241	0.0016782265497440737
HCC38	PARK7	254	0.0050560733285705	0.004894568649505838	0.00019160497286258065	0.0046253206624430636	0.005364732703549269	0.00016150467906466195
HCC38	PCBD1	428	0.0041690086810655	0.00403950209347828	0.00015927078697785757	0.0038263276294320165	0.0044495228912102966	0.00012950658758721992
HCC38	PEX14	439	0.004391741095693	0.004003592807148117	0.0001621726365181641	0.0037942968911211213	0.004401755895930573	0.0003881482885448829
HCC38	PFDN5	67	0.0091179791241103	0.008936775586816562	0.0004566346761715288	0.008282690856294616	0.010136747036834303	0.0001812035372937386
HCC38	PMF1	94	0.0092008578860405	0.007609965317310903	0.0003556405358868342	0.007122510165405205	0.008464988696178302	0.0015908925687295964
HCC38	PRDX2	302	0.0048643958897732	0.004578883241879755	0.00017959327748867646	0.0043330375444582325	0.005042069896949597	0.0002855126478934454
HCC38	PRPF6	25	0.0144798741040019	0.01424898710362837	0.0008500007969208009	0.012916954653819921	0.01628312329743689	0.00023088700037353013
HCC38	RORC	296	0.0047603589109585	0.004609205824300779	0.0001846884963069664	0.004363300395090634	0.005080211677646593	0.00015115308665772115
HCC38	RPS3	69	0.0096911866022176	0.008769339986190481	0.00041260136583192326	0.008196564867918255	0.009727845376840854	0.0009218466160271187
HCC38	RUVBL2	95	0.0082501146934477	0.0075621743084882415	0.00033683010926979654	0.007057674176389636	0.008412224252813922	0.0006879403849594581
HCC38	SMAD1	321	0.0045644798021591	0.00447519519084369	0.00018518556215518117	0.004241552651284734	0.004978055004817711	8.928461131540999e-05
HCC38	STAT3	394	0.0049421595924907	0.004145149816780485	0.00016246650971860066	0.003928965386127454	0.004541671981185293	0.0007970097757102152
HCC38	TAB3	246	0.005355838101385	0.004971250249999301	0.00021234276713187356	0.004702700112923838	0.0054958945907022305	0.0003845878513856994
HCC38	TADA3	177	0.0091400872937874	0.005703162414572752	0.0002458366983334335	0.005371723499379047	0.006301088922988682	0.003436924879214648
HCC38	THAP8	276	0.0050563694115236	0.004738539378488821	0.00019410431173610065	0.0044661833320302595	0.005214487965592429	0.00031783003303477875
HCC38	THRA	266	0.0058419151883759	0.004815662109736622	0.00019827870217276189	0.0045566764165975125	0.005301834678668157	0.0010262530786392787
HCC38	TMF1	206	0.00630257681098	0.005346212756410591	0.00021994457865682858	0.005054626612161097	0.005904498349053066	0.0009563640545694092
HCC38	TMSB4X	352	0.0045126915949235	0.004316552288592655	0.00016965638715352922	0.004104729492661516	0.004771957664586423	0.00019613930633084493
HCC38	UBP1	371	0.004398069047543	0.0042395298849683665	0.0001687720855732421	0.004020553963075446	0.004708421951928159	0.00015853916257463352
HCC38	VEZF1	226	0.0073740581188237	0.005137498989224135	0.00020175933585295531	0.004864900076031802	0.005659584017101105	0.0022365591295995654
HCC38	XBP1	394	0.0040282961697656	0.004145149816780485	0.00016246650971860066	0.003928965386127454	0.004541671981185293	-0.00011685364701488534
HCC38	YBX1	177	0.0076494599161971	0.005703162414572752	0.0002458366983334335	0.005371723499379047	0.006301088922988682	0.0019462975016243476
HCC38	ZBTB17	139	0.0079465191255336	0.006348510281162673	0.00027620780140816145	0.005963292153579533	0.006996012521698549	0.001598008844370927
