cell_line	context_role	model_id	display_name	model_family	metric	raw_value	ci_low	ci_high	orientation_multiplier	oriented_value	direction	display_zscore_within_context_metric
HCC1143	qualified_primary_context	cellot_hcc_formal_v1	CellOT	CellOT	total_shift_endpoint_alignment	0.044177171568692	-0.22651707795468262	0.3268806871210106	1.0	0.044177171568692	higher_better	-0.40164971441075087
HCC1143	qualified_primary_context	cellot_hcc_formal_v1	CellOT	CellOT	directional_response_recovery	0.08049599817371433	0.031080803038774113	0.14756084305102543	1.0	0.08049599817371433	higher_better	-0.4506721643260963
HCC1143	qualified_primary_context	cellot_hcc_formal_v1	CellOT	CellOT	endpoint_anchor_separation	0.6666666666666666	0.3333333333333333	0.9791666666666666	1.0	0.6666666666666666	higher_better	0.3541432474340775
HCC1143	qualified_primary_context	cellot_hcc_formal_v1	CellOT	CellOT	target_identity_preservation	0.0317567825596778	NA	NA	1.0	0.0317567825596778	higher_better	-0.04233184924576615
HCC1143	qualified_primary_context	cellot_hcc_formal_v1	CellOT	CellOT	excess_output_homogenization	0.24843983123511965	NA	NA	-1.0	-0.24843983123511965	higher_is_warning	0.19497518446575388
HCC1143	qualified_primary_context	cpa_v0.8.8	CPA	CPA	total_shift_endpoint_alignment	-0.1615589232499024	-0.4180724270644452	0.12473540461893501	1.0	-0.1615589232499024	higher_better	-1.521805362804852
HCC1143	qualified_primary_context	cpa_v0.8.8	CPA	CPA	directional_response_recovery	0.0979063444666777	-0.010347035245681457	0.1306755458124085	1.0	0.0979063444666777	higher_better	-0.33335770357270295
HCC1143	qualified_primary_context	cpa_v0.8.8	CPA	CPA	endpoint_anchor_separation	0.5416666666666666	0.22916666666666666	0.8338541666666591	1.0	0.5416666666666666	higher_better	-0.38138503569823673
HCC1143	qualified_primary_context	cpa_v0.8.8	CPA	CPA	target_identity_preservation	0.006111984122777168	NA	NA	1.0	0.006111984122777168	higher_better	-0.28612594571047567
HCC1143	qualified_primary_context	cpa_v0.8.8	CPA	CPA	excess_output_homogenization	0.8782156113406521	NA	NA	-1.0	-0.8782156113406521	higher_is_warning	-1.8277476787698166
HCC1143	qualified_primary_context	gears_hcc_formal_v1	GEARS	GEARS	total_shift_endpoint_alignment	0.01572799825482228	-0.2648265892670836	0.29883103582292764	1.0	0.01572799825482228	higher_better	-0.5565447619121274
HCC1143	qualified_primary_context	gears_hcc_formal_v1	GEARS	GEARS	directional_response_recovery	0.20777526868485569	0.17193930518524347	0.27386073773772346	1.0	0.20777526868485569	higher_better	0.40696149406556276
HCC1143	qualified_primary_context	gears_hcc_formal_v1	GEARS	GEARS	endpoint_anchor_separation	0.375	0.08333333333333333	0.7083333333333334	1.0	0.375	higher_better	-1.3620894132079888
HCC1143	qualified_primary_context	gears_hcc_formal_v1	GEARS	GEARS	target_identity_preservation	0.003425939067015567	NA	NA	1.0	0.003425939067015567	higher_better	-0.31166102367352333
HCC1143	qualified_primary_context	gears_hcc_formal_v1	GEARS	GEARS	excess_output_homogenization	0.4118919938874942	NA	NA	-1.0	-0.4118919938874942	higher_is_warning	-0.33000281069762794
HCC1143	qualified_primary_context	geneformer_hcc_formal_v1	Geneformer kernel	Geneformer	total_shift_endpoint_alignment	0.14606221908706277	-0.1764051252744024	0.45481282517825666	1.0	0.14606221908706277	higher_better	0.1530760451368617
HCC1143	qualified_primary_context	geneformer_hcc_formal_v1	Geneformer kernel	Geneformer	directional_response_recovery	0.10186672400839947	0.012885852542448019	0.20017292290725996	1.0	0.10186672400839947	higher_better	-0.30667185927656515
HCC1143	qualified_primary_context	geneformer_hcc_formal_v1	Geneformer kernel	Geneformer	endpoint_anchor_separation	0.8541666666666666	0.6041666666666666	1.0	1.0	0.8541666666666666	higher_better	1.4574356721325488
HCC1143	qualified_primary_context	geneformer_hcc_formal_v1	Geneformer kernel	Geneformer	target_identity_preservation	-0.029641253952538943	NA	NA	1.0	-0.029641253952538943	higher_better	-0.626016641038272
HCC1143	qualified_primary_context	geneformer_hcc_formal_v1	Geneformer kernel	Geneformer	excess_output_homogenization	0.4172283147921489	NA	NA	-1.0	-0.4172283147921489	higher_is_warning	-0.34714208254704426
HCC1143	qualified_primary_context	scgen_hcc_formal_v1	scGen	scGen	total_shift_endpoint_alignment	0.5200647658230573	0.2569661036335257	0.7228543432578319	1.0	0.5200647658230573	higher_better	2.189379230581787
