scope	metric_x	metric_y	n_model_contexts	spearman_rho	inference_role
HCC1143	endpoint_alignment_spearman	endpoint_alignment_spearman	9	1.0	descriptive_not_independent_model_trials
HCC1143	endpoint_alignment_spearman	directional_recovery_median_signed_cosine	9	0.26666666666666666	descriptive_not_independent_model_trials
HCC1143	endpoint_alignment_spearman	anchor_separation_auc	9	0.7698812160552652	descriptive_not_independent_model_trials
HCC1143	endpoint_alignment_spearman	target_identity_spearman	9	0.19999999999999998	descriptive_not_independent_model_trials
HCC1143	endpoint_alignment_spearman	negative_excess_homogenization_uncentered	9	0.049999999999999996	descriptive_not_independent_model_trials
HCC1143	endpoint_alignment_spearman	conventional_pearson_median	9	0.09999999999999999	descriptive_not_independent_model_trials
HCC1143	endpoint_alignment_spearman	negative_conventional_normalized_rmse_median	9	-0.2333333333333333	descriptive_not_independent_model_trials
HCC1143	directional_recovery_median_signed_cosine	directional_recovery_median_signed_cosine	9	1.0	descriptive_not_independent_model_trials
HCC1143	directional_recovery_median_signed_cosine	anchor_separation_auc	9	0.07531446678801507	descriptive_not_independent_model_trials
HCC1143	directional_recovery_median_signed_cosine	target_identity_spearman	9	-0.25	descriptive_not_independent_model_trials
HCC1143	directional_recovery_median_signed_cosine	negative_excess_homogenization_uncentered	9	-0.5833333333333334	descriptive_not_independent_model_trials
HCC1143	directional_recovery_median_signed_cosine	conventional_pearson_median	9	0.9	descriptive_not_independent_model_trials
HCC1143	directional_recovery_median_signed_cosine	negative_conventional_normalized_rmse_median	9	0.45	descriptive_not_independent_model_trials
HCC1143	anchor_separation_auc	anchor_separation_auc	9	1.0	descriptive_not_independent_model_trials
HCC1143	anchor_separation_auc	target_identity_spearman	9	0.4602550748156477	descriptive_not_independent_model_trials
HCC1143	anchor_separation_auc	negative_excess_homogenization_uncentered	9	-0.24267994853915967	descriptive_not_independent_model_trials
HCC1143	anchor_separation_auc	conventional_pearson_median	9	-0.1422606594884729	descriptive_not_independent_model_trials
HCC1143	anchor_separation_auc	negative_conventional_normalized_rmse_median	9	-0.25941649671427414	descriptive_not_independent_model_trials
HCC1143	target_identity_spearman	target_identity_spearman	9	1.0	descriptive_not_independent_model_trials
HCC1143	target_identity_spearman	negative_excess_homogenization_uncentered	9	-0.049999999999999996	descriptive_not_independent_model_trials
HCC1143	target_identity_spearman	conventional_pearson_median	9	-0.08333333333333334	descriptive_not_independent_model_trials
