cell_line	context_role	entrant_id	entrant_kind	reference_type	reference_seed	full_endpoint_n_targets	contract_n_targets	endpoint_coverage_fraction	missing_endpoint_targets	contract_n_genes	endpoint_alignment_spearman	endpoint_alignment_ci_low	endpoint_alignment_ci_high	endpoint_alignment_status	endpoint_alignment_n	directional_recovery_median_signed_cosine	directional_recovery_ci_low	directional_recovery_ci_high	directional_recovery_n	anchor_separation_auc	anchor_separation_ci_low	anchor_separation_ci_high	anchor_n	low_information_n	target_identity_spearman	target_identity_label_permutation_pvalue	target_identity_status	target_identity_n_targets	target_identity_n_pairs	predicted_homogenization_uncentered	observed_homogenization_uncentered	excess_homogenization_uncentered	predicted_homogenization_uncentered_n	observed_homogenization_uncentered_n	predicted_homogenization_centered	observed_homogenization_centered	excess_homogenization_centered	predicted_homogenization_centered_n	observed_homogenization_centered_n	conventional_pearson_median	conventional_pearson_ci_low	conventional_pearson_ci_high	conventional_pearson_n	conventional_normalized_rmse_median	conventional_normalized_rmse_ci_low	conventional_normalized_rmse_ci_high	conventional_normalized_rmse_n	secondary_absolute_projection_median	secondary_absolute_projection_ci_low	secondary_absolute_projection_ci_high	secondary_absolute_projection_n	entrant_role	display_name	model_family
HCC1143	qualified_primary_context	cellot_hcc_sens_iter100_seed1	reference	NA	NA	48	47	0.9791666666666666	SS18L2	47	-0.15207586547861252	-0.17956441149212232	-0.17956441149212232	estimated	47	-0.08232235869131073	-0.10330506223773833	-0.10330506223773833	47	0.4166666666666667	0.4791666666666667	0.4791666666666667	8	6	-0.04834640760924187	NA	estimated	47	1081	0.9954802218443373	0.0605282495699902	0.9349519722743471	47	47	-0.020577871878147407	0.03613003595670656	-0.056707907834853966	47	47	0.09804776846010083	0.09804776846010083	0.09804776846010083	47	412.0541985086025	470.50816826401586	470.50816826401586	47	17.352318996474953	15.243288967654994	15.243288967654994	47	sensitivity	cellot_hcc_sens_iter100_seed1	CellOT
HCC1143	qualified_primary_context	cellot_hcc_sens_iter200_seed2	reference	NA	NA	48	47	0.9791666666666666	SS18L2	47	0.16618480508955602	-0.060309084081136694	-0.060309084081136694	estimated	47	-0.0677218437732668	-0.11812358663287446	-0.11812358663287446	47	0.6666666666666666	0.5416666666666666	0.5416666666666666	8	6	-0.016145538549402295	NA	estimated	47	1081	0.995560509996865	0.0605282495699902	0.9350322604268748	47	47	-0.020904143649526058	0.03613003595670656	-0.05703417960623262	47	47	0.02126246597736785	0.019756287898091564	0.019756287898091564	47	432.82194842014815	377.8891398283595	377.8891398283595	47	17.737064152587944	16.832288469268875	16.832288469268875	47	sensitivity	cellot_hcc_sens_iter200_seed2	CellOT
HCC1143	qualified_primary_context	cellot_hcc_sens_iter500_seed1_full	reference	NA	NA	48	47	0.9791666666666666	SS18L2	47	0.28807679156442867	0.16200388491428286	0.16200388491428286	estimated	47	0.016344998609912748	-0.037893552271009066	-0.037893552271009066	47	0.75	0.6875	0.6875	8	6	0.10130062588951719	NA	estimated	47	1081	0.6842188729206985	0.0605282495699902	0.6236906233507082	47	47	-0.008415163815455965	0.03613003595670656	-0.04454519977216252	47	47	-0.0001087337657339732	0.010436031833551579	0.010436031833551579	47	300.31907900715487	190.52827543298767	190.52827543298767	47	8.790507976856974	10.483147593732989	10.483147593732989	47	sensitivity	cellot_hcc_sens_iter500_seed1_full	CellOT
HCC1143	qualified_primary_context	cpa_hcc_sens_e200_latent32_seed1	reference	NA	NA	48	47	0.9791666666666666	SS18L2	47	0.23036891561474984	-0.04813763540520187	-0.04813763540520187	estimated	47	0.028472818589463707	0.028472818589463707	0.028472818589463707	47	0.5833333333333334	0.6875	0.6875	8	6	0.05270442674862146	NA	estimated	47	1081	0.9124302766243876	0.0605282495699902	0.8519020270543973	47	47	-0.02032388758807764	0.03613003595670656	-0.0564539235447842	47	47	0.061441783014932985	0.07405330625696206	0.07405330625696206	47	1.049585853704779	1.0287639766535401	1.0287639766535401	47	0.014537709392361488	0.013557181746996137	0.013557181746996137	47	sensitivity	cpa_hcc_sens_e200_latent32_seed1	CPA
HCC1143	qualified_primary_context	cpa_hcc_sens_e200_latent64_seed2	reference	NA	NA	48	47	0.9791666666666666	SS18L2	47	-0.1615589232499024	-0.17026212473843774	-0.17026212473843774	estimated	47	0.0979063444666777	-0.010347035245681457	-0.010347035245681457	47	0.5416666666666666	0.5208333333333334	0.5208333333333334	8	6	0.006111984122777168	NA	estimated	47	1081	0.9387438609106422	0.0605282495699902	0.8782156113406521	47	47	-0.02074427495795011	0.03613003595670656	-0.05687431091465667	47	47	0.06032962486514672	0.06032962486514672	0.06032962486514672	47	1.0517264653774265	1.0642602486416506	1.0642602486416506	47	0.015802540783342398	0.015802540783342398	0.015802540783342398	47	sensitivity	cpa_hcc_sens_e200_latent64_seed2	CPA
HCC1143	qualified_primary_context	gears_hcc_formal_v1_e20_lr1e-03_wd1e-06	reference	NA	NA	48	47	0.9791666666666666	SS18L2	47	-0.2304845626607412	-0.2124232240120524	-0.2124232240120524	estimated	47	0.17438558313610983	0.17438558313610983	0.17438558313610983	47	0.3958333333333333	0.5416666666666666	0.5416666666666666	8	6	0.06322627873410078	NA	estimated	47	1081	0.5608439204019287	0.0605282495699902	0.5003156708319385	47	47	-0.01402305841413458	0.03613003595670656	-0.05015309437084114	47	47	0.15461004388698107	0.22535311958616358	0.22535311958616358	47	1.7257829014438661	1.5200442518420363	1.5200442518420363	47	0.0869656600931227	0.09430069283817497	0.09430069283817497	47	sensitivity	gears_hcc_formal_v1_e20_lr1e-03_wd1e-06	GEARS
HCC1143	qualified_primary_context	gears_hcc_formal_v1_e30_lr1e-03_wd1e-05	reference	NA	NA	48	47	0.9791666666666666	SS18L2	47	0.05967387573153159	0.42294778562980745	0.42294778562980745	estimated	47	0.10526841139619751	0.10748853629101275	0.10748853629101275	47	0.5416666666666666	0.4791666666666667	0.4791666666666667	8	6	0.037488640873779226	NA	estimated	47	1081	0.3929365713742335	0.0605282495699902	0.3324083218042433	47	47	-0.005692085919791135	0.03613003595670656	-0.0418221218764977	47	47	0.10379258168524833	0.2410433138972335	0.2410433138972335	47	1.6308593556694857	1.5903674723084789	1.5903674723084789	47	0.04784724118498501	0.04784724118498501	0.04784724118498501	47	sensitivity	gears_hcc_formal_v1_e30_lr1e-03_wd1e-05	GEARS
HCC1143	qualified_primary_context	gears_hcc_formal_v1_e30_lr2e-03_wd1e-06	reference	NA	NA	48	47	0.9791666666666666	SS18L2	47	0.4942754745669884	0.4735926720389588	0.4735926720389588	estimated	47	0.22841136514804392	0.17811152440053066	0.17811152440053066	47	0.8958333333333334	0.8333333333333334	0.8333333333333334	8	6	0.10808334706023057	NA	estimated	47	1081	0.46435650276799945	0.0605282495699902	0.40382825319800925	47	47	-0.0060525280028565585	0.03613003595670656	-0.042182563959563116	47	47	0.22999853261797595	0.25338945035941746	0.25338945035941746	47	1.8521680400835805	1.8420283902795405	1.8420283902795405	47	0.10234918973456354	0.11089947046694415	0.11089947046694415	47	sensitivity	gears_hcc_formal_v1_e30_lr2e-03_wd1e-06	GEARS
HCC1143	qualified_primary_context	gears_hcc_formal_v1_e30_lr5e-04_wd1e-06	reference	NA	NA	48	47	0.9791666666666666	SS18L2	47	0.22632126900505298	0.17031011827211812	0.17031011827211812	estimated	47	0.27163740825269866	0.34459440367303645	0.34459440367303645	47	0.5416666666666666	0.4583333333333333	0.4583333333333333	8	6	-0.00868867948008403	NA	estimated	47	1081	0.3295028559342168	0.0605282495699902	0.2689746063642266	47	47	-0.010778257207223342	0.03613003595670656	-0.0469082931639299	47	47	0.29972476629148137	0.3170008984410486	0.3170008984410486	47	1.8608204010267604	1.59316179336322	1.59316179336322	47	0.12173058266817957	0.20348051698243083	0.20348051698243083	47	sensitivity	gears_hcc_formal_v1_e30_lr5e-04_wd1e-06	GEARS
HCC1143	qualified_primary_context	gears_hcc_formal_v1_e40_lr1e-03_wd1e-06	reference	NA	NA	48	47	0.9791666666666666	SS18L2	47	-0.16572221690559066	0.13832652758793063	0.13832652758793063	estimated	47	0.20769600971809657	0.18493279353672112	0.18493279353672112	47	0.4166666666666667	0.4375	0.4375	8	6	0.023098824730606076	NA	estimated	47	1081	0.6022141880314819	0.0605282495699902	0.5416859384614916	47	47	-0.01538208367055511	0.03613003595670656	-0.05151211962726167	47	47	0.21223956322470355	0.23732622899828754	0.23732622899828754	47	1.5626596325310431	1.4564491598081846	1.4564491598081846	47	0.0898255833138386	0.10329212812562945	0.10329212812562945	47	sensitivity	gears_hcc_formal_v1_e40_lr1e-03_wd1e-06	GEARS
