response_rank	gene_symbol	control_variance	source_position
1	HBG2	1.2589677523214062	4485
2	HIST1H4C	1.0853785985114568	2715
3	HBZ	1.0422992733504328	6114
4	HBG1	0.966819627537063	4484
5	HIST1H1C	0.7086716369612965	2714
6	HIST1H1E	0.6605065537176963	2718
7	HIST1H1B	0.5061028788021061	2740
8	TOP2A	0.47442579072401897	6747
9	VIM	0.4530246521929055	4179
10	HIST1H1D	0.43513698744215645	2724
11	CENPF	0.4107625470898636	787
12	NEAT1	0.41059327538272494	4700
13	UBE2S	0.3934581924363363	7707
14	CHI3L2	0.3850383230911622	477
15	CCNB1	0.38283075941284017	2358
16	TPX2	0.3780447556823395	7821
17	HIST1H2AC	0.3705912902179058	2717
18	HSPA5	0.37004358639842655	4014
19	ASPM	0.36485172219846324	727
20	MKI67	0.35881806451357706	4430
21	KPNA2	0.35273108469794034	6932
22	TXNIP	0.3525509338672229	520
23	TUBB4B	0.3483939665098468	4126
24	GYPB	0.3418722313544975	2202
25	APOE	0.33852110594908374	7579
26	TUBA1C	0.33329768848416513	5057
27	JUND	0.3315690210613024	7417
28	BTG1	0.33080244584628105	5204
29	MS4A3	0.32993230150267444	4615
30	HIST1H2BJ	0.32974687794099694	2734
31	DNAJA1	0.3247244895108315	3840
32	CDK1	0.3219580704963279	4240
33	HSPA8	0.32134300483441275	4905
34	CDC45	0.3208130223155982	8096
35	CKS2	0.31892395107421834	3909
36	MYC	0.31735674398995595	3760
37	PLK1	0.3156610804961543	6284
38	GAS5	0.312286832683713	688
39	SLC3A2	0.3089363283829583	4658
40	IER2	0.30739344797751955	7362
41	HMGB2	0.307121424739003	2235
42	TMSB10	0.30639347019892393	1121
43	TFRC	0.30426047127028405	1937
44	MALAT1	0.303508434094056	4701
45	BLVRB	0.30129441188128153	7543
46	BEX4	0.3005483506795085	8443
47	CCNA2	0.29945453970869534	2171
48	RAB11FIP1	0.29399746021295986	3594
49	JPT1	0.2936246517305936	6948
50	GYPA	0.2910934861826501	2203
51	ARL6IP1	0.29028935942983086	6255
52	PCNA	0.28766985301610715	7777
53	CLSPN	0.28667733924593813	217
54	PCLAF	0.28474549008140165	5967
55	HBD	0.28409964903415696	4483
56	PTTG1	0.2825815250746387	2575
57	MDK	0.2815537529927716	4578
58	EMP3	0.2807127947673298	7627
59	HMMR	0.2795735869319206	2578
60	GAL	0.27929489403742486	4761
61	HSP90B1	0.2788048628682711	5242
62	MCM4	0.27622967828750183	3624
63	MS4A4A	0.2752206237978951	4616
64	PRKAR2B	0.27490169534590625	3390
65	MT-ND6	0.27464608415481134	8556
66	MYL4	0.27388203289453733	6823
67	PITX1	0.27233383334258676	2495
68	KRT18	0.27170006726315904	5081
69	MT-ND4L	0.2712988042587703	8553
70	S100A11	0.26954768912514787	561
71	CLTA	0.2692870224589976	3864
72	ATF4	0.2692488728790467	8225
73	FABP5	0.26904030486454084	3672
74	LMO2	0.2689146667680924	4556
75	MSH6	0.2675388955251763	1024
76	MTRNR2L8	0.26726050202663604	4505
77	TOP2B	0.26707221756433785	1540
78	CKS1B	0.2668135297938436	585
79	SNHG1	0.2666257660321894	4657
80	MACF1	0.2657031500923181	248
81	SMC4	0.2652247825903984	1867
82	PHF19	0.2639254190824712	3991
83	APOC1	0.26185378903887896	7580
84	RPL22L1	0.26179866264151724	1879
85	HSPA1A	0.26166156057349427	2793
86	SNHG3	0.2614132443702069	170
87	H1FX	0.2608448037805751	1797
88	AURKA	0.26081892695301084	7932
89	SH3BGRL3	0.26068650091021234	144
90	TYMS	0.2603647381580025	7054
91	HSPH1	0.26016837951775035	5427
92	STOML2	0.25976904995617334	3856
93	TUBB	0.2595177743234093	2765
94	PIM1	0.2591295067637232	2851
95	LRPPRC	0.25899757313037797	1010
96	LCP1	0.2578511089797429	5463
97	SOCS2	0.25761424760939317	5210
98	SQSTM1	0.2573390489701725	2632
99	MTRNR2L12	0.25614370323369623	1723
100	LAPTM5	0.2557379229442756	179
101	CKAP5	0.25537237805641666	4582
102	DDX3X	0.2550788135593272	8347
103	BHLHE40	0.2550411764596473	1480
104	LBR	0.2547845661657937	809
105	RRM2	0.25477865927683785	910
106	AC079466.1	0.2542028283537141	7459
107	LY6E	0.25385046982013026	3773
108	DUT	0.2537408633871454	5918
109	SLBP	0.2534979289979293	1971
110	CYBA	0.2533136271280015	6505
111	EIF4A2	0.253132181196689	1924
112	SDF2L1	0.2530268424051228	8122
113	SQLE	0.2528120403493718	3756
114	XIST	0.2527817467711628	8414
115	MDN1	0.25248543939070234	2965
116	DANCR	0.2523011697403825	2055
117	ACTG1	0.2522023741250579	7010
118	AL713998.1	0.25183430143533553	2925
119	GADD45A	0.2516705901656977	371
120	HIST2H2AC	0.2512851730015127	526
121	PDIA3	0.2508274969905497	5905
122	LINC02772	0.2505517078593035	629
123	MCM3	0.2504643948357666	2908
124	VCP	0.24988695391644533	3854
125	NOLC1	0.24975312690493573	4365
126	LMNB1	0.2495217700477346	2462
127	SNHG4	0.2492808665169206	2512
128	BIRC5	0.24907380117580155	6991
129	PPP1R14A	0.24896072491278953	7510
130	CMTM6	0.24864253509503295	1548
131	NCAPG	0.24813538254769277	2014
132	GARS	0.2481220707558014	3195
133	IPO5	0.24759948982660185	5520
134	RHOBTB3	0.24735545111319077	2422
135	ACAT2	0.24723646973880065	3097
136	CCNB1IP1	0.2469588990171086	5559
137	NORAD	0.2466414973153446	7863
138	CDC20	0.24582129827192217	274
139	AHCTF1	0.24531321204154063	879
140	LYAR	0.24518016108311422	1991
141	ARPC1B	0.24480435461543235	3326
142	CENPX	0.24474458540481028	7031
143	PICALM	0.24464430656100258	4821
144	MTHFD2	0.24457757058753837	1104
145	FKBP4	0.24456912334206676	4935
146	MAP1B	0.24410344659364835	2372
147	SLC20A1	0.2440700386499606	1202
148	MCM7	0.244050857003229	3343
149	CCDC85B	0.24400977321167572	4715
150	TEX30	0.24400137525842674	5530
151	ATAD2	0.24397308029744277	3748
152	DKC1	0.24372183566055047	8537
153	MSN	0.24320000414297305	8397
154	AC079801.1	0.24317205541817785	7982
155	MAT2A	0.24288347372056254	1127
156	ANKRD11	0.2427809657794214	6516
157	ISOC2	0.24248634884741402	7708
158	APLP2	0.24205851025977748	4924
159	TMPO	0.24205045533107475	5225
160	UBE2M	0.24198098119316763	7738
161	UBAC1	0.2419508876318868	4098
162	ARGLU1	0.24185990985202685	5534
163	SNHG32	0.24162597524472001	2795
164	CKB	0.24158942991016308	5824
165	MCM5	0.2415278655240427	8187
166	SNHG8	0.24148955310706052	2164
167	PDE4DIP	0.24146599196712973	523
168	NME4	0.24145153282970225	6122
169	RANBP2	0.2412095603337591	1189
170	SMARCA5	0.24116058215494351	2200
171	POLR2J3	0.24107309224283693	3372
172	SMC1A	0.24097810534024164	8381
173	EIF4G1	0.24092803237430496	1913
174	DHFR	0.2408390154066021	2398
175	SLC25A37	0.2405320506118521	3562
176	YRDC	0.24039835336287793	237
177	ANP32E	0.24013240548565498	531
178	KIF14	0.23968182625173023	732
179	MSH2	0.23962746585514433	1023
180	PCM1	0.239498839439803	3542
181	DBI	0.23949154086347588	1215
182	CELF2	0.23946592875915823	4156
183	RESF1	0.2394214894955341	5018
184	RAD23A	0.23938905505059313	7356
185	GPATCH4	0.23907977418739298	620
186	ANXA2	0.23906763198168857	5953
187	BAG1	0.23882597217632306	3843
188	EIF3L	0.23879347756458155	8206
189	HNRNPH1	0.23877747416032338	2628
190	SSU72	0.23871927102381477	20
191	HSPA4	0.2382559035953041	2480
192	YARS	0.23819557694533844	201
193	UROD	0.2380964963401241	294
194	SLC39A3	0.2379672401986486	7214
195	BUB3	0.2379347729875279	4422
196	EIF4EBP1	0.23790491565593894	3595
197	SERPINB6	0.23788669875852	2653
198	RSRC2	0.23787791106563072	5345
199	MORF4L2	0.23776780537741693	8447
200	PTMS	0.23757448294996514	4956
201	NDUFB6	0.2374411756939095	3838
202	EIF3B	0.23733947347735387	3129
203	DNMT1	0.23726771965777296	7300
204	CALM1	0.23721587988224987	5783
205	GCSH	0.23721545805981323	6480
206	RRP1B	0.2371695050113323	8050
207	HK1	0.23709920961465358	4260
208	MYB	0.23696926585604455	3046
209	TAF1D	0.23688833248677416	4828
210	HNRNPH3	0.2368184656501203	4249
211	QPRT	0.23677834370959047	6307
212	CBX5	0.23667691017505857	5101
213	PKM	0.23662909278661426	6003
214	ATF7IP2	0.23662731617821298	6228
215	UBC	0.23656453003872088	5369
216	KCNH2	0.2363102999716949	3489
217	BRD2	0.23628156390372265	2810
218	CD47	0.23627116213751564	1741
219	NRDC	0.23587013610642324	321
220	NET1	0.2358609104678239	4144
221	WDR43	0.2357832229979675	970
222	PAK2	0.23576361394157955	1947
223	RAD21	0.23569549974190146	3737
224	DTYMK	0.2356650855245375	1472
225	THAP7	0.2355220465546637	8118
226	SSR4	0.23547844669266274	8519
227	HDLBP	0.2352483005087683	1466
228	SPEN	0.23522810011784717	89
229	MAD2L1	0.23476995852321955	2168
230	SLC25A1	0.23451561124553785	8091
231	G3BP1	0.23439485099448357	2559
232	GYPC	0.23428192624448427	1225
233	KIF5B	0.23414006810978144	4206
234	RTN4	0.23411759394093118	1034
235	MGST1	0.2341028151433469	4987
236	ITM2B	0.23406380427406367	5469
237	TTC3	0.23401522530419364	8033
238	POLR3K	0.23397120398815757	6110
239	MCM6	0.23382172694209188	1250
240	SPN	0.23373363671646907	6306
241	ACIN1	0.23369363714114924	5585
242	COCH	0.23356634583005195	5621
243	KIF2C	0.23355138078023213	290
244	KMT2A	0.2335315844765662	4882
245	ZNF593	0.23352363353958536	142
246	CYC1	0.23351462297480816	3792
247	POP7	0.23350441722048038	3354
248	GAMT	0.23346937280327903	7187
249	PRC1	0.23335101502746455	6091
250	NAA10	0.2332948474475912	8520
251	NEFH	0.23323664824466198	8159
252	MRPL47	0.233236550380761	1892
253	CCNB2	0.2331395857612094	5950
254	PPID	0.233098955562534	2223
255	EIF1B	0.2330380497283222	1571
256	CANX	0.23303505524581664	2629
257	CIRBP	0.2330292328333597	7183
258	MRPL20	0.23287727090415677	17
259	IPO7	0.23285585558056737	4501
260	MRPL12	0.23274631610849278	7018
261	HMGN3	0.23249404624958703	2939
262	BUB1	0.23248520937472153	1192
263	ABCE1	0.23246692354393367	2205
264	ETF1	0.23243624813786848	2508
265	BPTF	0.23238974825912168	6930
266	NAE1	0.23228770094616408	6406
267	TRMT10C	0.23227446576667607	1735
268	SRM	0.23206000833646642	67
269	KDM1A	0.2320471797003554	115
270	RABL6	0.2320041267857526	4112
271	GMNN	0.23192268097257923	2710
272	CMBL	0.23191424680312325	2278
273	PCBP1	0.23188650815162004	1079
274	CDCA8	0.23187756706089738	235
275	PRDX4	0.23186288505871921	8331
276	GTF2I	0.2318176990249863	3279
277	RUVBL1	0.23179914117487704	1786
278	TCEA1	0.23175034103814426	3630
279	NHP2	0.23174905974634408	2623
280	LYL1	0.23170668236900707	7358
281	GP1BB	0.23156915853172777	8098
282	PNISR	0.23135384962823266	2975
283	GLO1	0.2313484011964569	2857
284	BCLAF1	0.23134695964492394	3049
285	KTN1	0.23131654789827424	5692
286	PTBP3	0.23120716215987575	3976
287	YWHAG	0.23118962138412913	3290
288	CLTC	0.23113532389120697	6889
289	PABPC4	0.23104097636894744	249
290	XPO1	0.23101540174856006	1050
291	TMSB4X	0.2307765090202187	8312
292	RSL24D1	0.23076072096084232	5937
293	PPIG	0.2307069674927244	1279
294	SNRPA1	0.23065300316592782	6106
295	SAFB	0.23062721866274868	7252
296	EZR	0.23050932696599874	3094
297	LARS	0.2304181098291226	2541
298	TARS	0.23037726839902956	2293
299	BAZ1A	0.2303261146060198	5634
300	CEP350	0.23029045254529523	702
301	GMPS	0.2302856693606197	1857
302	SEC61G	0.23024378946780388	3241
303	RGS10	0.2302261959436191	4407
304	PGP	0.23022336492419354	6169
305	PPDPF	0.23016421861671335	7965
306	SMCHD1	0.23008746528260995	7060
307	GNL3	0.23003054530453884	1677
308	DNPH1	0.2300251664272799	2882
309	SLIRP	0.23001509222288755	5770
310	SNRNP25	0.22984174881483038	6111
311	NKTR	0.2298214000338159	1579
312	CTPS1	0.22978304317752482	261
313	NIPBL	0.22978295632871415	2302
314	EBNA1BP2	0.22975006856588995	273
315	BAZ1B	0.22972598252912999	3271
316	DCTPP1	0.229723465360887	6325
317	ACSL3	0.2296899332566414	1421
318	CDK4	0.2296893564878267	5153
319	FDPS	0.2296817717975647	598
320	DNAJC9	0.2296435717964363	4276
321	TOMM5	0.2295300505567665	3870
322	NAA50	0.22951171699478268	1751
323	AKIRIN1	0.22946739004431055	246
324	FKBP3	0.22942132081575198	5657
325	TIMM8B	0.2294090946020589	4865
326	NOP58	0.22931448578567826	1370
327	HECTD1	0.22916813107943307	5624
328	MRPL36	0.22915553045366108	2266
329	TAF15	0.22908757870946186	6707
330	CXXC5	0.22906753926083734	2516
331	IARS	0.22905918104316367	3915
332	MRTO4	0.2290487603418095	100
333	BMP2K	0.22901643499767213	2099
334	AP2M1	0.2290060556658884	1908
335	IQGAP2	0.22899600068455936	2386
336	EIF2AK1	0.22893096360558932	3146
337	RIF1	0.2288691769171408	1258
338	CSTB	0.22884101909555213	8052
339	HIC2	0.2287633693011661	8119
340	CAPRIN1	0.22875881233412979	4557
341	EID1	0.22871230619018942	5920
342	NTMT1	0.22863209989743272	4057
343	ARID3A	0.22861068086613592	7172
344	BCAT1	0.22857482264504025	4996
345	MRPS25	0.22835071428274378	1520
346	ACTR2	0.22834065820647173	1064
347	MRPL16	0.2282665008359702	4614
348	HLTF	0.22823550403014028	1843
349	STAG2	0.22809196846466304	8481
350	POLR2H	0.2280285827106543	1914
351	NDUFB4	0.22802053156775356	1761
352	RPL7L1	0.22800724798640762	2872
353	ADRM1	0.22800184023503436	7956
354	HIGD2A	0.2279362013250224	2601
355	MARCKSL1	0.2279263758882231	194
356	G3BP2	0.22778556204359343	2087
357	NIFK	0.22774224033752122	1223
358	CCAR1	0.22773823179503938	4254
359	ZNF706	0.22764881983154336	3718
360	PPIB	0.22762823449814779	5965
361	UBE2G2	0.22762542716126058	8058
362	ORC6	0.22761353975772672	6354
363	TESC	0.22758879542673344	5302
364	BOLA3	0.22756568984877315	1101
365	PSMD1	0.22754519993945016	1434
366	AUP1	0.2275176965997896	1112
367	SNX5	0.22750045070041447	7797
368	PHPT1	0.2274066729760014	4113
369	HDGF	0.22734405605540672	625
370	KIF2A	0.2273174271664095	2342
371	GART	0.22727936758871492	8017
372	CTSC	0.22719991174034193	4825
373	PFDN2	0.2271037793472774	641
374	EIF4B	0.22710080026114934	5082
375	GOLGA4	0.22702897361361432	1561
376	GSTO1	0.22701628862432802	4381
377	AC139493.2	0.22700193101057456	2597
378	DYNC1LI1	0.2269579501031832	1549
379	TNNT1	0.22693253391383258	7699
380	SIVA1	0.2268361317620259	5833
381	SETD2	0.22682718159760018	1600
382	RBM28	0.2267944247865353	3424
383	MRPL18	0.22679158480922235	3099
384	RAP1B	0.22674531167681844	5175
385	SEPTIN2	0.22673013920435242	1467
386	LSM10	0.22671769231113478	229
387	NDUFA2	0.22650647387225528	2524
388	TRAP1	0.2265040794337991	6202
389	CTAG2	0.22649526172336948	8536
390	EXOSC8	0.22647354432940253	5437
391	GINS2	0.22621197797458378	6493
392	ZFR	0.2262028100778231	2291
393	NDUFC1	0.226175649957928	2191
394	MYCBP2	0.2261638682922253	5505
395	SNX6	0.22610820830960018	5632
396	TXNRD1	0.22607998944105853	5247
397	DNAJC2	0.22598705943980293	3377
398	LARP1	0.22597226717966537	2563
399	DNAJB6	0.22596812630635058	3516
400	ACTR3	0.2259207371999418	1208
401	NOC2L	0.2258666106381003	2
402	PSIP1	0.22586497542220432	3825
403	LINC01578	0.22581768882764652	6092
404	MRPS12	0.2257022201439103	7521
405	ZC3H15	0.22567380820864266	1324
406	UBA2	0.2256700734886225	7480
407	U2SURP	0.22566244950686926	1837
408	FSCN1	0.22554288546129503	3141
409	ZNF326	0.225477954211778	414
410	EIF3D	0.22545222777599147	8192
411	DDX17	0.22543446926765676	8213
412	NDUFB3	0.22540766933592507	1362
413	ALYREF	0.2254002686647063	7024
414	TRIP12	0.2253644017343133	1429
415	OSBPL8	0.22529420123630922	5194
416	BRIX1	0.22527251580417115	2296
417	PAPOLA	0.22524238161418372	5805
418	PSMD2	0.22507122276444944	1912
419	FAM136A	0.22505746243614463	1083
420	SBNO1	0.2250542602767894	5354
421	BZW1	0.22505212124868396	1356
422	VPS29	0.22503241978759522	5278
423	GTF3C6	0.22500764052327943	3002
424	YWHAH	0.22497536579318966	8183
425	TIMM10	0.22496583816176738	4601
426	NDUFV1	0.22496433145447176	4752
427	EPB41	0.22496003784574115	176
428	RBMX	0.22490749912269797	8502
429	WASF2	0.2248279568401587	157
430	FAM207A	0.2248158255458754	8061
431	YBX3	0.22477288606404902	4974
432	PSMG1	0.2247691701409411	8039
433	DNAJC1	0.22474272122202354	4185
434	DNAJA2	0.22473409921900048	6357
435	EIF3F	0.22473158083644026	4494
436	CST3	0.22462973426617133	7811
437	CALR	0.22459713388600355	7355
438	COPS9	0.22457740573600599	1459
439	DDX39A	0.22456806244930316	7375
440	TOP1	0.224544555871411	7883
441	VAMP8	0.22450093136003912	1129
442	TMED9	0.22447283780430188	2619
443	GNL2	0.22446534420029138	233
444	MYDGF	0.224410065768734	7244
445	TMCO1	0.22438184657555224	660
446	MZT1	0.22436959520586042	5496
447	FXR1	0.22434869187216316	1896
448	EZH2	0.22433003275131377	3475
449	NOP53	0.22432284927247037	7622
450	SF3B1	0.22430827013656757	1344
451	SRSF5	0.2242591538578697	5733
452	ANAPC5	0.22425142513541962	5332
453	ASH2L	0.22419608855948103	3596
454	EIF4G2	0.22418914533797163	4508
455	CDT1	0.2241889836902891	6510
456	PUF60	0.22414724792027857	3787
457	STIP1	0.22412866113410437	4667
458	STUB1	0.22412735622312527	6128
459	HP1BP3	0.2240439732516182	108
460	MTCH2	0.22403526506610577	4594
461	FAM83A	0.2240250549020058	3745
462	MRPL34	0.22401837357308524	7403
463	CHD1	0.22397925160370263	2428
464	BRD4	0.22397244630497024	7382
465	MRPL4	0.22397107337173566	7301
466	TOR1AIP2	0.22396517091945292	700
467	CAP1	0.2239565357091401	252
468	USP15	0.22393545509905852	5161
469	ZNF22	0.22393071664782233	4220
470	RHEB	0.22390821140499675	3499
471	SF3B5	0.22388590650174425	3065
472	UQCRC1	0.2238798987831611	1616
473	THUMPD1	0.22385375826732978	6263
474	SNRNP200	0.22380608175425626	1152
475	ANAPC11	0.2237121940796302	7025
476	CHD8	0.22370267493529733	5572
477	IMP3	0.22369664690356816	6031
478	HDDC2	0.2236215265939548	3030
479	ARPC5	0.22361087741697797	713
480	VPS25	0.22349914258650974	6777
481	PSMD11	0.2234908826026082	6698
482	SSR3	0.22348083824805987	1858
483	IMPDH2	0.2234528406402455	1625
