context	cell_line	target_gene	shift_percentile	dependency_percentile	endpoint_category	evidence_role	category_interpretation
HCC1143 day 14	HCC1143	ARID1A	0.6875	0.7916666666666666	middle	primary_model_audit	operational endpoint-aligned recovery annotation; not a causal truth label or direct fitness readout
HCC1143 day 14	HCC1143	BMPR1A	0.6666666666666666	0.8125	middle	primary_model_audit	operational endpoint-aligned recovery annotation; not a causal truth label or direct fitness readout
HCC1143 day 14	HCC1143	CDKN2A	0.3958333333333333	0.020833333333333332	middle	primary_model_audit	operational endpoint-aligned recovery annotation; not a causal truth label or direct fitness readout
HCC1143 day 14	HCC1143	COMMD6	0.1875	0.625	middle	primary_model_audit	operational endpoint-aligned recovery annotation; not a causal truth label or direct fitness readout
HCC1143 day 14	HCC1143	ENY2	0.875	0.6875	middle	primary_model_audit	operational endpoint-aligned recovery annotation; not a causal truth label or direct fitness readout
HCC1143 day 14	HCC1143	ERC1	0.3541666666666667	0.4583333333333333	middle	primary_model_audit	operational endpoint-aligned recovery annotation; not a causal truth label or direct fitness readout
HCC1143 day 14	HCC1143	ETV3	0.4791666666666667	0.6666666666666666	middle	primary_model_audit	operational endpoint-aligned recovery annotation; not a causal truth label or direct fitness readout
HCC1143 day 14	HCC1143	GON4L	0.7291666666666666	0.7083333333333334	middle	primary_model_audit	operational endpoint-aligned recovery annotation; not a causal truth label or direct fitness readout
HCC1143 day 14	HCC1143	HDGF	0.0625	0.3125	middle	primary_model_audit	operational endpoint-aligned recovery annotation; not a causal truth label or direct fitness readout
HCC1143 day 14	HCC1143	HLX	0.375	0.375	middle	primary_model_audit	operational endpoint-aligned recovery annotation; not a causal truth label or direct fitness readout
HCC1143 day 14	HCC1143	KLF3	0.5	0.4791666666666667	middle	primary_model_audit	operational endpoint-aligned recovery annotation; not a causal truth label or direct fitness readout
HCC1143 day 14	HCC1143	LAMTOR5	0.8125	0.5833333333333334	middle	primary_model_audit	operational endpoint-aligned recovery annotation; not a causal truth label or direct fitness readout
HCC1143 day 14	HCC1143	MAML3	0.08333333333333333	0.0625	Q4_low_information	primary_model_audit	operational endpoint-aligned recovery annotation; not a causal truth label or direct fitness readout
HCC1143 day 14	HCC1143	MIER1	0.5416666666666666	0.20833333333333334	middle	primary_model_audit	operational endpoint-aligned recovery annotation; not a causal truth label or direct fitness readout
HCC1143 day 14	HCC1143	MTDH	0.3333333333333333	0.2708333333333333	middle	primary_model_audit	operational endpoint-aligned recovery annotation; not a causal truth label or direct fitness readout
HCC1143 day 14	HCC1143	MYBL1	0.7916666666666666	0.3333333333333333	middle	primary_model_audit	operational endpoint-aligned recovery annotation; not a causal truth label or direct fitness readout
HCC1143 day 14	HCC1143	NCOA1	0.020833333333333332	0.3958333333333333	middle	primary_model_audit	operational endpoint-aligned recovery annotation; not a causal truth label or direct fitness readout
HCC1143 day 14	HCC1143	NPM1	0.7083333333333334	0.7291666666666666	middle	primary_model_audit	operational endpoint-aligned recovery annotation; not a causal truth label or direct fitness readout
HCC1143 day 14	HCC1143	PA2G4	0.5833333333333334	0.5625	middle	primary_model_audit	operational endpoint-aligned recovery annotation; not a causal truth label or direct fitness readout
HCC1143 day 14	HCC1143	PARK7	0.6458333333333334	0.6041666666666666	middle	primary_model_audit	operational endpoint-aligned recovery annotation; not a causal truth label or direct fitness readout
HCC1143 day 14	HCC1143	PCBD1	0.3125	0.25	middle	primary_model_audit	operational endpoint-aligned recovery annotation; not a causal truth label or direct fitness readout
HCC1143 day 14	HCC1143	PEX14	0.14583333333333334	0.3541666666666667	middle	primary_model_audit	operational endpoint-aligned recovery annotation; not a causal truth label or direct fitness readout
HCC1143 day 14	HCC1143	PFDN5	0.8333333333333334	0.8958333333333334	Q1_anchor	primary_model_audit	operational endpoint-aligned recovery annotation; not a causal truth label or direct fitness readout
HCC1143 day 14	HCC1143	PMF1	0.9583333333333334	0.875	Q1_anchor	primary_model_audit	operational endpoint-aligned recovery annotation; not a causal truth label or direct fitness readout
HCC1143 day 14	HCC1143	PRDX2	0.5208333333333334	0.75	middle	primary_model_audit	operational endpoint-aligned recovery annotation; not a causal truth label or direct fitness readout
HCC1143 day 14	HCC1143	PRPF6	0.9791666666666666	0.96875	Q1_anchor	primary_model_audit	operational endpoint-aligned recovery annotation; not a causal truth label or direct fitness readout
HCC1143 day 14	HCC1143	RORC	0.22916666666666666	0.5	middle	primary_model_audit	operational endpoint-aligned recovery annotation; not a causal truth label or direct fitness readout
HCC1143 day 14	HCC1143	RPS3	0.7708333333333334	0.96875	Q1_anchor	primary_model_audit	operational endpoint-aligned recovery annotation; not a causal truth label or direct fitness readout
HCC1143 day 14	HCC1143	RUVBL2	0.9375	0.96875	Q1_anchor	primary_model_audit	operational endpoint-aligned recovery annotation; not a causal truth label or direct fitness readout
HCC1143 day 14	HCC1143	SMAD1	0.20833333333333334	0.4375	middle	primary_model_audit	operational endpoint-aligned recovery annotation; not a causal truth label or direct fitness readout
HCC1143 day 14	HCC1143	SS18L2	1.0	0.96875	Q1_anchor	primary_model_audit	operational endpoint-aligned recovery annotation; not a causal truth label or direct fitness readout
HCC1143 day 14	HCC1143	STAT3	0.25	0.041666666666666664	Q4_low_information	primary_model_audit	operational endpoint-aligned recovery annotation; not a causal truth label or direct fitness readout
HCC1143 day 14	HCC1143	TAB3	0.625	0.125	middle	primary_model_audit	operational endpoint-aligned recovery annotation; not a causal truth label or direct fitness readout
HCC1143 day 14	HCC1143	TADA3	0.8541666666666666	0.7708333333333334	Q1_anchor	primary_model_audit	operational endpoint-aligned recovery annotation; not a causal truth label or direct fitness readout
HCC1143 day 14	HCC1143	THAP8	0.4166666666666667	0.2916666666666667	middle	primary_model_audit	operational endpoint-aligned recovery annotation; not a causal truth label or direct fitness readout
HCC1143 day 14	HCC1143	THRA	0.4583333333333333	0.5208333333333334	middle	primary_model_audit	operational endpoint-aligned recovery annotation; not a causal truth label or direct fitness readout
HCC1143 day 14	HCC1143	TMF1	0.5625	0.6458333333333334	middle	primary_model_audit	operational endpoint-aligned recovery annotation; not a causal truth label or direct fitness readout
HCC1143 day 14	HCC1143	TMSB4X	0.041666666666666664	0.16666666666666666	Q4_low_information	primary_model_audit	operational endpoint-aligned recovery annotation; not a causal truth label or direct fitness readout
HCC1143 day 14	HCC1143	UBP1	0.2916666666666667	0.22916666666666666	middle	primary_model_audit	operational endpoint-aligned recovery annotation; not a causal truth label or direct fitness readout
HCC1143 day 14	HCC1143	VEZF1	0.6041666666666666	0.4166666666666667	middle	primary_model_audit	operational endpoint-aligned recovery annotation; not a causal truth label or direct fitness readout
HCC1143 day 14	HCC1143	XBP1	0.2708333333333333	0.14583333333333334	middle	primary_model_audit	operational endpoint-aligned recovery annotation; not a causal truth label or direct fitness readout
HCC1143 day 14	HCC1143	YBX1	0.75	0.9166666666666666	Q1_anchor	primary_model_audit	operational endpoint-aligned recovery annotation; not a causal truth label or direct fitness readout
HCC1143 day 14	HCC1143	ZBTB17	0.9166666666666666	0.8333333333333334	Q1_anchor	primary_model_audit	operational endpoint-aligned recovery annotation; not a causal truth label or direct fitness readout
HCC1143 day 14	HCC1143	ZBTB20	0.125	0.08333333333333333	Q4_low_information	primary_model_audit	operational endpoint-aligned recovery annotation; not a causal truth label or direct fitness readout
HCC1143 day 14	HCC1143	ZBTB5	0.4375	0.5416666666666666	middle	primary_model_audit	operational endpoint-aligned recovery annotation; not a causal truth label or direct fitness readout
HCC1143 day 14	HCC1143	ZNF131	0.8958333333333334	0.8541666666666666	Q1_anchor	primary_model_audit	operational endpoint-aligned recovery annotation; not a causal truth label or direct fitness readout
HCC1143 day 14	HCC1143	ZNF24	0.10416666666666667	0.1875	Q4_low_information	primary_model_audit	operational endpoint-aligned recovery annotation; not a causal truth label or direct fitness readout
HCC1143 day 14	HCC1143	ZNF566	0.16666666666666666	0.10416666666666667	Q4_low_information	primary_model_audit	operational endpoint-aligned recovery annotation; not a causal truth label or direct fitness readout
HCC38 day 14	HCC38	ARID1A	0.8085106382978723	0.6382978723404256	middle	primary_model_audit	operational endpoint-aligned recovery annotation; not a causal truth label or direct fitness readout
HCC38 day 14	HCC38	BMPR1A	0.574468085106383	0.723404255319149	middle	primary_model_audit	operational endpoint-aligned recovery annotation; not a causal truth label or direct fitness readout
HCC38 day 14	HCC38	CDKN2A	0.0851063829787234	0.0425531914893617	Q4_low_information	primary_model_audit	operational endpoint-aligned recovery annotation; not a causal truth label or direct fitness readout
HCC38 day 14	HCC38	COMMD6	0.14893617021276595	0.14893617021276595	Q4_low_information	primary_model_audit	operational endpoint-aligned recovery annotation; not a causal truth label or direct fitness readout
HCC38 day 14	HCC38	ENY2	0.9361702127659575	0.8297872340425532	Q1_anchor	primary_model_audit	operational endpoint-aligned recovery annotation; not a causal truth label or direct fitness readout
HCC38 day 14	HCC38	ERC1	0.1276595744680851	0.0851063829787234	Q4_low_information	primary_model_audit	operational endpoint-aligned recovery annotation; not a causal truth label or direct fitness readout
HCC38 day 14	HCC38	ETV3	0.46808510638297873	0.5531914893617021	middle	primary_model_audit	operational endpoint-aligned recovery annotation; not a causal truth label or direct fitness readout
HCC38 day 14	HCC38	GON4L	0.6382978723404256	0.7872340425531915	middle	primary_model_audit	operational endpoint-aligned recovery annotation; not a causal truth label or direct fitness readout
HCC38 day 14	HCC38	HDGF	0.5319148936170213	0.40425531914893614	middle	primary_model_audit	operational endpoint-aligned recovery annotation; not a causal truth label or direct fitness readout
HCC38 day 14	HCC38	HLX	0.48936170212765956	0.10638297872340426	middle	primary_model_audit	operational endpoint-aligned recovery annotation; not a causal truth label or direct fitness readout
HCC38 day 14	HCC38	KLF3	0.5531914893617021	0.6808510638297872	middle	primary_model_audit	operational endpoint-aligned recovery annotation; not a causal truth label or direct fitness readout
HCC38 day 14	HCC38	LAMTOR5	0.9574468085106383	0.6170212765957447	middle	primary_model_audit	operational endpoint-aligned recovery annotation; not a causal truth label or direct fitness readout
HCC38 day 14	HCC38	MAML3	0.02127659574468085	0.1702127659574468	Q4_low_information	primary_model_audit	operational endpoint-aligned recovery annotation; not a causal truth label or direct fitness readout
HCC38 day 14	HCC38	MIER1	0.40425531914893614	0.1276595744680851	middle	primary_model_audit	operational endpoint-aligned recovery annotation; not a causal truth label or direct fitness readout
HCC38 day 14	HCC38	MTDH	0.5957446808510638	0.425531914893617	middle	primary_model_audit	operational endpoint-aligned recovery annotation; not a causal truth label or direct fitness readout
HCC38 day 14	HCC38	MYBL1	0.6808510638297872	0.2553191489361702	middle	primary_model_audit	operational endpoint-aligned recovery annotation; not a causal truth label or direct fitness readout
HCC38 day 14	HCC38	NCOA1	0.1702127659574468	0.48936170212765956	middle	primary_model_audit	operational endpoint-aligned recovery annotation; not a causal truth label or direct fitness readout
HCC38 day 14	HCC38	NPM1	0.9787234042553191	0.8936170212765957	Q1_anchor	primary_model_audit	operational endpoint-aligned recovery annotation; not a causal truth label or direct fitness readout
HCC38 day 14	HCC38	PA2G4	0.7021276595744681	0.8085106382978723	middle	primary_model_audit	operational endpoint-aligned recovery annotation; not a causal truth label or direct fitness readout
HCC38 day 14	HCC38	PARK7	0.425531914893617	0.3191489361702128	middle	primary_model_audit	operational endpoint-aligned recovery annotation; not a causal truth label or direct fitness readout
HCC38 day 14	HCC38	PCBD1	0.10638297872340426	0.2978723404255319	middle	primary_model_audit	operational endpoint-aligned recovery annotation; not a causal truth label or direct fitness readout
HCC38 day 14	HCC38	PEX14	0.19148936170212766	0.06382978723404255	Q4_low_information	primary_model_audit	operational endpoint-aligned recovery annotation; not a causal truth label or direct fitness readout
HCC38 day 14	HCC38	PFDN5	0.8297872340425532	0.8723404255319149	Q1_anchor	primary_model_audit	operational endpoint-aligned recovery annotation; not a causal truth label or direct fitness readout
HCC38 day 14	HCC38	PMF1	0.8723404255319149	0.9574468085106383	Q1_anchor	primary_model_audit	operational endpoint-aligned recovery annotation; not a causal truth label or direct fitness readout
HCC38 day 14	HCC38	PRDX2	0.3617021276595745	0.6595744680851063	middle	primary_model_audit	operational endpoint-aligned recovery annotation; not a causal truth label or direct fitness readout
HCC38 day 14	HCC38	PRPF6	1.0	0.9361702127659575	Q1_anchor	primary_model_audit	operational endpoint-aligned recovery annotation; not a causal truth label or direct fitness readout
HCC38 day 14	HCC38	RORC	0.3191489361702128	0.7446808510638298	middle	primary_model_audit	operational endpoint-aligned recovery annotation; not a causal truth label or direct fitness readout
HCC38 day 14	HCC38	RPS3	0.8936170212765957	0.9893617021276596	Q1_anchor	primary_model_audit	operational endpoint-aligned recovery annotation; not a causal truth label or direct fitness readout
HCC38 day 14	HCC38	RUVBL2	0.7872340425531915	0.9148936170212766	Q1_anchor	primary_model_audit	operational endpoint-aligned recovery annotation; not a causal truth label or direct fitness readout
HCC38 day 14	HCC38	SMAD1	0.2765957446808511	0.2127659574468085	middle	primary_model_audit	operational endpoint-aligned recovery annotation; not a causal truth label or direct fitness readout
HCC38 day 14	HCC38	STAT3	0.3829787234042553	0.3404255319148936	middle	primary_model_audit	operational endpoint-aligned recovery annotation; not a causal truth label or direct fitness readout
HCC38 day 14	HCC38	TAB3	0.5106382978723404	0.3829787234042553	middle	primary_model_audit	operational endpoint-aligned recovery annotation; not a causal truth label or direct fitness readout
HCC38 day 14	HCC38	TADA3	0.851063829787234	0.44680851063829785	middle	primary_model_audit	operational endpoint-aligned recovery annotation; not a causal truth label or direct fitness readout
HCC38 day 14	HCC38	THAP8	0.44680851063829785	0.3617021276595745	middle	primary_model_audit	operational endpoint-aligned recovery annotation; not a causal truth label or direct fitness readout
HCC38 day 14	HCC38	THRA	0.6170212765957447	0.5106382978723404	middle	primary_model_audit	operational endpoint-aligned recovery annotation; not a causal truth label or direct fitness readout
HCC38 day 14	HCC38	TMF1	0.6595744680851063	0.574468085106383	middle	primary_model_audit	operational endpoint-aligned recovery annotation; not a causal truth label or direct fitness readout
HCC38 day 14	HCC38	TMSB4X	0.23404255319148937	0.7021276595744681	middle	primary_model_audit	operational endpoint-aligned recovery annotation; not a causal truth label or direct fitness readout
HCC38 day 14	HCC38	UBP1	0.2127659574468085	0.2765957446808511	middle	primary_model_audit	operational endpoint-aligned recovery annotation; not a causal truth label or direct fitness readout
HCC38 day 14	HCC38	VEZF1	0.723404255319149	0.5319148936170213	middle	primary_model_audit	operational endpoint-aligned recovery annotation; not a causal truth label or direct fitness readout
HCC38 day 14	HCC38	XBP1	0.06382978723404255	0.19148936170212766	Q4_low_information	primary_model_audit	operational endpoint-aligned recovery annotation; not a causal truth label or direct fitness readout
HCC38 day 14	HCC38	YBX1	0.7446808510638298	0.9893617021276596	middle	primary_model_audit	operational endpoint-aligned recovery annotation; not a causal truth label or direct fitness readout
HCC38 day 14	HCC38	ZBTB17	0.7659574468085106	0.7659574468085106	Q1_anchor	primary_model_audit	operational endpoint-aligned recovery annotation; not a causal truth label or direct fitness readout
HCC38 day 14	HCC38	ZBTB20	0.3404255319148936	0.02127659574468085	middle	primary_model_audit	operational endpoint-aligned recovery annotation; not a causal truth label or direct fitness readout
HCC38 day 14	HCC38	ZBTB5	0.2978723404255319	0.23404255319148937	middle	primary_model_audit	operational endpoint-aligned recovery annotation; not a causal truth label or direct fitness readout
HCC38 day 14	HCC38	ZNF131	0.9148936170212766	0.851063829787234	Q1_anchor	primary_model_audit	operational endpoint-aligned recovery annotation; not a causal truth label or direct fitness readout
HCC38 day 14	HCC38	ZNF24	0.0425531914893617	0.46808510638297873	middle	primary_model_audit	operational endpoint-aligned recovery annotation; not a causal truth label or direct fitness readout
HCC38 day 14	HCC38	ZNF566	0.2553191489361702	0.5957446808510638	middle	primary_model_audit	operational endpoint-aligned recovery annotation; not a causal truth label or direct fitness readout
HepG2 day 7	HepG2	ARCN1	0.846		Q1_anchor	secondary_endpoint_extension	operational endpoint-aligned recovery annotation; not primary model-audit evidence
